lncRNA.Homo_sapiens	lncRNA.Canis_lupus_familiaris	orthology_type.Homo_sapiens.Canis_lupus_familiaris	lncRNA.Mus_musculus	orthology_type.Homo_sapiens.Mus_musculus	nbTotalIndication	profilIndication
ENSG00000176659	NA	NA	ENSMUSG00000120838	many_to_one	1	many_to_one:1
ENSG00000177133	NA	NA	ENSMUSG00000084987;ENSMUSG00000086565;ENSMUSG00000120023;ENSMUSG00000097871;ENSMUSG00000085069	many_to_many_strict	1	many_to_many_strict:1
ENSG00000177337	NA	NA	ENSMUSG00000097282;ENSMUSG00000117231	many_to_many	1	many_to_many:1
ENSG00000177340	NA	NA	ENSMUSG00000085355	one_to_one	1	one_to_one:1
ENSG00000177410	NA	NA	ENSMUSG00000074578	one_to_one	1	one_to_one:1
ENSG00000177640	NA	NA	ENSMUSG00000091378	many_to_one	1	many_to_one:1
ENSG00000177800	NA	NA	ENSMUSG00000110684;ENSMUSG00000110599	one_to_many	1	one_to_many:1
ENSG00000177822	NA	NA	ENSMUSG00000100706	many_to_one	1	many_to_one:1
ENSG00000178107	NA	NA	ENSMUSG00000115141;ENSMUSG00000115454	one_to_many	1	one_to_many:1
ENSG00000178412	ENSCAFG00845000055	many_to_one	ENSMUSG00000120406;ENSMUSG00000118070	many_to_many	2	many_to_many:1;many_to_one:1
ENSG00000179141	NA	NA	ENSMUSG00000085565	many_to_one	1	many_to_one:1
ENSG00000179219	NA	NA	ENSMUSG00000121010;ENSMUSG00000097983	many_to_many	1	many_to_many:1
ENSG00000179428	NA	NA	ENSMUSG00000105439	one_to_one	1	one_to_one:1
ENSG00000179447	NA	NA	ENSMUSG00000074753	many_to_one	1	many_to_one:1
ENSG00000180458	ENSCAFG00845007584	one_to_one	NA	NA	1	one_to_one:1
ENSG00000180769	NA	NA	ENSMUSG00000106492;ENSMUSG00000092354	many_to_many	1	many_to_many:1
ENSG00000181211	ENSCAFG00845011911	one_to_one	NA	NA	1	one_to_one:1
ENSG00000181800	NA	NA	ENSMUSG00000087079	many_to_one	1	many_to_one:1
ENSG00000182648	NA	NA	ENSMUSG00000119967	many_to_one	1	many_to_one:1
ENSG00000182873	NA	NA	ENSMUSG00000098729	many_to_one	1	many_to_one:1
ENSG00000183242	ENSCAFG00845027246	one_to_one	NA	NA	1	one_to_one:1
ENSG00000183250	ENSCAFG00845021848	one_to_one	NA	NA	1	one_to_one:1
ENSG00000183470	NA	NA	ENSMUSG00000086720;ENSMUSG00000086763;ENSMUSG00000086675	many_to_many_strict	1	many_to_many_strict:1
ENSG00000183674	NA	NA	ENSMUSG00000114640	one_to_one	1	one_to_one:1
ENSG00000183784	NA	NA	ENSMUSG00000120776	many_to_one	1	many_to_one:1
ENSG00000184385	NA	NA	ENSMUSG00000117786;ENSMUSG00000118169	one_to_many	1	one_to_many:1
ENSG00000185168	ENSCAFG00845010832	many_to_one	ENSMUSG00000075389	many_to_one	2	many_to_one:2
ENSG00000185186	NA	NA	ENSMUSG00000117562;ENSMUSG00000120937	one_to_many	1	one_to_many:1
ENSG00000185332	ENSCAFG00845010832	many_to_one	ENSMUSG00000075389	many_to_one	2	many_to_one:2
ENSG00000185837	NA	NA	ENSMUSG00000093739	one_to_one	1	one_to_one:1
ENSG00000186235	NA	NA	ENSMUSG00000100253	one_to_one	1	one_to_one:1
ENSG00000186493	NA	NA	ENSMUSG00000093587	many_to_one	1	many_to_one:1
ENSG00000186960	ENSCAFG00845009216	one_to_one	NA	NA	1	one_to_one:1
ENSG00000187185	NA	NA	ENSMUSG00000110428;ENSMUSG00000110517;ENSMUSG00000110475	many_to_many	1	many_to_many:1
ENSG00000187229	NA	NA	ENSMUSG00000087266	many_to_one	1	many_to_one:1
ENSG00000187979	NA	NA	ENSMUSG00000107736	one_to_one	1	one_to_one:1
ENSG00000188365	NA	NA	ENSMUSG00000119945;ENSMUSG00000120304;ENSMUSG00000119979	many_to_many	1	many_to_many:1
ENSG00000196096	ENSCAFG00845020033	one_to_one	NA	NA	1	one_to_one:1
ENSG00000196166	NA	NA	ENSMUSG00000110017	many_to_one	1	many_to_one:1
ENSG00000196167	NA	NA	ENSMUSG00000044694	one_to_one	1	one_to_one:1
ENSG00000196634	ENSCAFG00845013964	one_to_one	NA	NA	1	one_to_one:1
ENSG00000197085	NA	NA	ENSMUSG00000085969	one_to_one	1	one_to_one:1
ENSG00000197301	NA	NA	ENSMUSG00000034764;ENSMUSG00000090191	many_to_many_strict	1	many_to_many_strict:1
ENSG00000197308	NA	NA	ENSMUSG00000086618;ENSMUSG00000025783	one_to_many	1	one_to_many:1
ENSG00000197322	NA	NA	ENSMUSG00000113710	one_to_one	1	one_to_one:1
ENSG00000197503	NA	NA	ENSMUSG00000072677	one_to_one	1	one_to_one:1
ENSG00000197815	NA	NA	ENSMUSG00000085132	one_to_one	1	one_to_one:1
ENSG00000197989	ENSCAFG00845009830	one_to_one	ENSMUSG00000086290	one_to_one	2	one_to_one:2
ENSG00000198054	ENSCAFG00845028960	one_to_one	NA	NA	1	one_to_one:1
ENSG00000198468	NA	NA	ENSMUSG00000097845	one_to_one	1	one_to_one:1
ENSG00000198711	NA	NA	ENSMUSG00000085581	many_to_one	1	many_to_one:1
ENSG00000203258	NA	NA	ENSMUSG00000085945	many_to_one	1	many_to_one:1
ENSG00000203280	NA	NA	ENSMUSG00000106659	many_to_one	1	many_to_one:1
ENSG00000203288	NA	NA	ENSMUSG00000097515	one_to_one	1	one_to_one:1
ENSG00000203307	NA	NA	ENSMUSG00000097823;ENSMUSG00000102548	many_to_many_strict	1	many_to_many_strict:1
ENSG00000203335	NA	NA	ENSMUSG00000086505	many_to_one	1	many_to_one:1
ENSG00000203441	NA	NA	ENSMUSG00000085615	many_to_one	1	many_to_one:1
ENSG00000203446	NA	NA	ENSMUSG00000113851	one_to_one	1	one_to_one:1
ENSG00000203506	NA	NA	ENSMUSG00000079669	many_to_one	1	many_to_one:1
ENSG00000203585	NA	NA	ENSMUSG00000112854	one_to_one	1	one_to_one:1
ENSG00000203593	ENSCAFG00845030542	many_to_one	NA	NA	1	many_to_one:1
ENSG00000203601	NA	NA	ENSMUSG00000097281	one_to_one	1	one_to_one:1
ENSG00000203620	NA	NA	ENSMUSG00000086369	one_to_one	1	one_to_one:1
ENSG00000203645	NA	NA	ENSMUSG00000106321	one_to_one	1	one_to_one:1
ENSG00000203706	NA	NA	ENSMUSG00000089812	one_to_one	1	one_to_one:1
ENSG00000203711	NA	NA	ENSMUSG00000116644	many_to_one	1	many_to_one:1
ENSG00000204011	NA	NA	ENSMUSG00000086560;ENSMUSG00000085766	many_to_many_strict	1	many_to_many_strict:1
ENSG00000204393	NA	NA	ENSMUSG00000079001	many_to_one	1	many_to_one:1
ENSG00000204464	NA	NA	ENSMUSG00000073728	one_to_one	1	one_to_one:1
ENSG00000204603	ENSCAFG00845029182	one_to_one	NA	NA	1	one_to_one:1
ENSG00000204620	NA	NA	ENSMUSG00000055188	many_to_one	1	many_to_one:1
ENSG00000204706	NA	NA	ENSMUSG00000118092	one_to_one	1	one_to_one:1
ENSG00000204832	NA	NA	ENSMUSG00000104354	one_to_one	1	one_to_one:1
ENSG00000204934	NA	NA	ENSMUSG00000097716	many_to_one	1	many_to_one:1
ENSG00000204990	NA	NA	ENSMUSG00000097484;ENSMUSG00000097406	many_to_many	1	many_to_many:1
ENSG00000205018	NA	NA	ENSMUSG00000090174	many_to_one	1	many_to_one:1
ENSG00000205054	ENSCAFG00845027133;ENSCAFG00845027119	one_to_many	ENSMUSG00000117501	one_to_one	2	one_to_many:1;one_to_one:1
ENSG00000205086	NA	NA	ENSMUSG00000117509	many_to_one	1	many_to_one:1
ENSG00000205181	NA	NA	ENSMUSG00000086250	many_to_one	1	many_to_one:1
ENSG00000205414	NA	NA	ENSMUSG00000121158	many_to_one	1	many_to_one:1
ENSG00000205500	NA	NA	ENSMUSG00000087258	one_to_one	1	one_to_one:1
ENSG00000205559	ENSCAFG00845027295	many_to_one	ENSMUSG00000079242	many_to_one	2	many_to_one:2
ENSG00000205622	NA	NA	ENSMUSG00000085329	one_to_one	1	one_to_one:1
ENSG00000205653	NA	NA	ENSMUSG00000086263	one_to_one	1	one_to_one:1
ENSG00000205682	NA	NA	ENSMUSG00000087431;ENSMUSG00000121076	many_to_many_strict	1	many_to_many_strict:1
ENSG00000205696	NA	NA	ENSMUSG00000114126	one_to_one	1	one_to_one:1
ENSG00000205930	NA	NA	ENSMUSG00000085398	one_to_one	1	one_to_one:1
ENSG00000206028	NA	NA	ENSMUSG00000104538;ENSMUSG00000097986;ENSMUSG00000101683	one_to_many	1	one_to_many:1
ENSG00000206417	ENSCAFG00845019682	one_to_one	ENSMUSG00000084950	one_to_one	2	one_to_one:2
ENSG00000206573	NA	NA	ENSMUSG00000086429	one_to_one	1	one_to_one:1
ENSG00000207955	NA	NA	ENSMUSG00000120522	one_to_one	1	one_to_one:1
ENSG00000212694	ENSCAFG00845023946	one_to_one	NA	NA	1	one_to_one:1
ENSG00000212743	NA	NA	ENSMUSG00000102196;ENSMUSG00000102674;ENSMUSG00000120676	one_to_many	1	one_to_many:1
ENSG00000213904	NA	NA	ENSMUSG00000053714	one_to_one	1	one_to_one:1
ENSG00000213994	NA	NA	ENSMUSG00000102329	one_to_one	1	one_to_one:1
ENSG00000214145	NA	NA	ENSMUSG00000097621	one_to_one	1	one_to_one:1
ENSG00000214293	NA	NA	ENSMUSG00000101013	one_to_one	1	one_to_one:1
ENSG00000214401	NA	NA	ENSMUSG00000121072	many_to_one	1	many_to_one:1
ENSG00000214407	NA	NA	ENSMUSG00000120214	many_to_one	1	many_to_one:1
ENSG00000214559	NA	NA	ENSMUSG00000120160	many_to_one	1	many_to_one:1
ENSG00000214650	NA	NA	ENSMUSG00000105604;ENSMUSG00000106663	one_to_many	1	one_to_many:1
ENSG00000214955	ENSCAFG00845025769;ENSCAFG00845025747	one_to_many	NA	NA	1	one_to_many:1
ENSG00000214970	NA	NA	ENSMUSG00000087410	one_to_one	1	one_to_one:1
ENSG00000215196	ENSCAFG00845003316	many_to_one	ENSMUSG00000115729;ENSMUSG00000056089	many_to_many_strict	2	many_to_many_strict:1;many_to_one:1
ENSG00000215417	NA	NA	ENSMUSG00000089726	one_to_one	1	one_to_one:1
ENSG00000215483	ENSCAFG00845024155	one_to_one	NA	NA	1	one_to_one:1
ENSG00000218018	NA	NA	ENSMUSG00000087442;ENSMUSG00000092596	one_to_many	1	one_to_many:1
ENSG00000218109	ENSCAFG00845008952	many_to_one	ENSMUSG00000053889	many_to_one	2	many_to_one:2
ENSG00000218416	NA	NA	ENSMUSG00000100781;ENSMUSG00000101995	one_to_many	1	one_to_many:1
ENSG00000219410	NA	NA	ENSMUSG00000108034	one_to_one	1	one_to_one:1
ENSG00000220256	NA	NA	ENSMUSG00000120000	one_to_one	1	one_to_one:1
ENSG00000221817	NA	NA	ENSMUSG00000084925	one_to_one	1	one_to_one:1
ENSG00000222000	ENSCAFG00845020262	one_to_one	NA	NA	1	one_to_one:1
ENSG00000222007	NA	NA	ENSMUSG00000102009;ENSMUSG00000121272	one_to_many	1	one_to_many:1
ENSG00000222012	NA	NA	ENSMUSG00000099907	many_to_one	1	many_to_one:1
ENSG00000222035	NA	NA	ENSMUSG00000101409;ENSMUSG00000099811	many_to_many	1	many_to_many:1
ENSG00000222043	NA	NA	ENSMUSG00000087222	many_to_one	1	many_to_one:1
ENSG00000223373	NA	NA	ENSMUSG00000099804	one_to_one	1	one_to_one:1
ENSG00000223436	NA	NA	ENSMUSG00000086720;ENSMUSG00000086763;ENSMUSG00000086675	many_to_many_strict	1	many_to_many_strict:1
ENSG00000223446	ENSCAFG00845023904	one_to_one	NA	NA	1	one_to_one:1
ENSG00000223469	NA	NA	ENSMUSG00000117040	many_to_one	1	many_to_one:1
ENSG00000223522	NA	NA	ENSMUSG00000106894	one_to_one	1	one_to_one:1
ENSG00000223525	ENSCAFG00845010730	many_to_one	NA	NA	1	many_to_one:1
ENSG00000223548	NA	NA	ENSMUSG00000085888	many_to_one	1	many_to_one:1
ENSG00000223571	ENSCAFG00845022321	one_to_one	NA	NA	1	one_to_one:1
ENSG00000223576	NA	NA	ENSMUSG00000100017	many_to_one	1	many_to_one:1
ENSG00000223617	NA	NA	ENSMUSG00000109503;ENSMUSG00000109067;ENSMUSG00000109432;ENSMUSG00000108997	many_to_many	1	many_to_many:1
ENSG00000223642	NA	NA	ENSMUSG00000085975;ENSMUSG00000086603	many_to_many_strict	1	many_to_many_strict:1
ENSG00000223662	NA	NA	ENSMUSG00000087214	one_to_one	1	one_to_one:1
ENSG00000223675	NA	NA	ENSMUSG00000074248	one_to_one	1	one_to_one:1
ENSG00000223692	ENSCAFG00845027666	one_to_one	NA	NA	1	one_to_one:1
ENSG00000223716	NA	NA	ENSMUSG00000073860;ENSMUSG00000085305	one_to_many	1	one_to_many:1
ENSG00000223749	NA	NA	ENSMUSG00000087365;ENSMUSG00000101603	one_to_many	1	one_to_many:1
ENSG00000223751	NA	NA	ENSMUSG00000100674	many_to_one	1	many_to_one:1
ENSG00000223764	NA	NA	ENSMUSG00000111895	one_to_one	1	one_to_one:1
ENSG00000223768	NA	NA	ENSMUSG00000078444	one_to_one	1	one_to_one:1
ENSG00000223770	NA	NA	ENSMUSG00000096936;ENSMUSG00000104886	one_to_many	1	one_to_many:1
ENSG00000223800	NA	NA	ENSMUSG00000085456	many_to_one	1	many_to_one:1
ENSG00000223813	NA	NA	ENSMUSG00000073067	one_to_one	1	one_to_one:1
ENSG00000223814	ENSCAFG00845026970	one_to_one	NA	NA	1	one_to_one:1
ENSG00000223815	ENSCAFG00845019981	many_to_one	NA	NA	1	many_to_one:1
ENSG00000223817	NA	NA	ENSMUSG00000120804	many_to_one	1	many_to_one:1
ENSG00000223837	ENSCAFG00845018914	one_to_one	NA	NA	1	one_to_one:1
ENSG00000223855	NA	NA	ENSMUSG00000075585	one_to_one	1	one_to_one:1
ENSG00000223872	ENSCAFG00845014177	many_to_one	NA	NA	1	many_to_one:1
ENSG00000223891	NA	NA	ENSMUSG00000099632	one_to_one	1	one_to_one:1
ENSG00000223966	NA	NA	ENSMUSG00000098739	many_to_one	1	many_to_one:1
ENSG00000223979	NA	NA	ENSMUSG00000051008	many_to_one	1	many_to_one:1
ENSG00000224020	NA	NA	ENSMUSG00000085201	many_to_one	1	many_to_one:1
ENSG00000224048	ENSCAFG00845008214;ENSCAFG00845008226	many_to_many_strict	ENSMUSG00000100496;ENSMUSG00000086349	many_to_many_strict	2	many_to_many_strict:2
ENSG00000224057	NA	NA	ENSMUSG00000085091	one_to_one	1	one_to_one:1
ENSG00000224086	NA	NA	ENSMUSG00000116823	one_to_one	1	one_to_one:1
ENSG00000224093	NA	NA	ENSMUSG00000104554;ENSMUSG00000104574	many_to_many_strict	1	many_to_many_strict:1
ENSG00000224100	NA	NA	ENSMUSG00000117818	one_to_one	1	one_to_one:1
ENSG00000224101	NA	NA	ENSMUSG00000113313	one_to_one	1	one_to_one:1
ENSG00000224127	NA	NA	ENSMUSG00000093738	many_to_one	1	many_to_one:1
ENSG00000224128	ENSCAFG00845022159	many_to_one	ENSMUSG00000120751	many_to_one	2	many_to_one:2
ENSG00000224137	NA	NA	ENSMUSG00000100437	one_to_one	1	one_to_one:1
ENSG00000224138	ENSCAFG00845025933	one_to_one	NA	NA	1	one_to_one:1
ENSG00000224149	NA	NA	ENSMUSG00000093738	many_to_one	1	many_to_one:1
ENSG00000224152	NA	NA	ENSMUSG00000085975;ENSMUSG00000086603	many_to_many_strict	1	many_to_many_strict:1
ENSG00000224177	ENSCAFG00845028003	one_to_one	NA	NA	1	one_to_one:1
ENSG00000224184	NA	NA	ENSMUSG00000113629	one_to_one	1	one_to_one:1
ENSG00000224186	NA	NA	ENSMUSG00000114493	one_to_one	1	one_to_one:1
ENSG00000224189	NA	NA	ENSMUSG00000075277	one_to_one	1	one_to_one:1
ENSG00000224194	NA	NA	ENSMUSG00000113284	one_to_one	1	one_to_one:1
ENSG00000224195	NA	NA	ENSMUSG00000114241	many_to_one	1	many_to_one:1
ENSG00000224231	ENSCAFG00845010450;ENSCAFG00845010463	one_to_many	NA	NA	1	one_to_many:1
ENSG00000224243	NA	NA	ENSMUSG00000047935	one_to_one	1	one_to_one:1
ENSG00000224269	NA	NA	ENSMUSG00000116569	one_to_one	1	one_to_one:1
ENSG00000224276	NA	NA	ENSMUSG00000093390	many_to_one	1	many_to_one:1
ENSG00000224301	NA	NA	ENSMUSG00000112314	one_to_one	1	one_to_one:1
ENSG00000224342	NA	NA	ENSMUSG00000086836	many_to_one	1	many_to_one:1
ENSG00000224358	NA	NA	ENSMUSG00000121275	one_to_one	1	one_to_one:1
ENSG00000224361	NA	NA	ENSMUSG00000037735	many_to_one	1	many_to_one:1
ENSG00000224387	NA	NA	ENSMUSG00000073686	many_to_one	1	many_to_one:1
ENSG00000224388	ENSCAFG00845030054	one_to_one	NA	NA	1	one_to_one:1
ENSG00000224391	NA	NA	ENSMUSG00000120056	one_to_one	1	one_to_one:1
ENSG00000224397	NA	NA	ENSMUSG00000084797;ENSMUSG00000087624	one_to_many	1	one_to_many:1
ENSG00000224407	NA	NA	ENSMUSG00000089820;ENSMUSG00000089745	many_to_many_strict	1	many_to_many_strict:1
ENSG00000224478	ENSCAFG00845001477	one_to_one	NA	NA	1	one_to_one:1
ENSG00000224490	NA	NA	ENSMUSG00000086671	one_to_one	1	one_to_one:1
ENSG00000224500	NA	NA	ENSMUSG00000100100;ENSMUSG00000114953	many_to_many	1	many_to_many:1
ENSG00000224509	ENSCAFG00845009917	one_to_one	NA	NA	1	one_to_one:1
ENSG00000224511	ENSCAFG00845022182	many_to_one	NA	NA	1	many_to_one:1
ENSG00000224525	NA	NA	ENSMUSG00000104157	many_to_one	1	many_to_one:1
ENSG00000224533	ENSCAFG00845018105	many_to_one	NA	NA	1	many_to_one:1
ENSG00000224535	NA	NA	ENSMUSG00000103174	one_to_one	1	one_to_one:1
ENSG00000224541	ENSCAFG00845017653	many_to_one	ENSMUSG00000115469;ENSMUSG00000114988;ENSMUSG00000115518	many_to_many_strict	2	many_to_many_strict:1;many_to_one:1
ENSG00000224563	NA	NA	ENSMUSG00000119959	many_to_one	1	many_to_one:1
ENSG00000224592	ENSCAFG00845030208	one_to_one	ENSMUSG00000098760	one_to_one	2	one_to_one:2
ENSG00000224596	NA	NA	ENSMUSG00000087535	one_to_one	1	one_to_one:1
ENSG00000224613	NA	NA	ENSMUSG00000121018	one_to_one	1	one_to_one:1
ENSG00000224658	NA	NA	ENSMUSG00000097597	one_to_one	1	one_to_one:1
ENSG00000224666	NA	NA	ENSMUSG00000087693	one_to_one	1	one_to_one:1
ENSG00000224691	NA	NA	ENSMUSG00000093650	one_to_one	1	one_to_one:1
ENSG00000224700	NA	NA	ENSMUSG00000085449	many_to_one	1	many_to_one:1
ENSG00000224713	NA	NA	ENSMUSG00000120324	one_to_one	1	one_to_one:1
ENSG00000224771	NA	NA	ENSMUSG00000108297	many_to_one	1	many_to_one:1
ENSG00000224790	NA	NA	ENSMUSG00000115246	one_to_one	1	one_to_one:1
ENSG00000224795	NA	NA	ENSMUSG00000085449	many_to_one	1	many_to_one:1
ENSG00000224808	NA	NA	ENSMUSG00000108103	many_to_one	1	many_to_one:1
ENSG00000224821	NA	NA	ENSMUSG00000084783	many_to_one	1	many_to_one:1
ENSG00000224842	NA	NA	ENSMUSG00000052951	one_to_one	1	one_to_one:1
ENSG00000224855	ENSCAFG00845025092	one_to_one	NA	NA	1	one_to_one:1
ENSG00000224903	NA	NA	ENSMUSG00000119967	many_to_one	1	many_to_one:1
ENSG00000224934	NA	NA	ENSMUSG00000118221	one_to_one	1	one_to_one:1
ENSG00000224961	NA	NA	ENSMUSG00000099683	one_to_one	1	one_to_one:1
ENSG00000224969	NA	NA	ENSMUSG00000078349	one_to_one	1	one_to_one:1
ENSG00000224995	NA	NA	ENSMUSG00000111663;ENSMUSG00000111840	one_to_many	1	one_to_many:1
ENSG00000225000	ENSCAFG00845006565	many_to_one	NA	NA	1	many_to_one:1
ENSG00000225063	NA	NA	ENSMUSG00000090079	one_to_one	1	one_to_one:1
ENSG00000225083	NA	NA	ENSMUSG00000099338	one_to_one	1	one_to_one:1
ENSG00000225084	NA	NA	ENSMUSG00000085765;ENSMUSG00000101295	many_to_many	1	many_to_many:1
ENSG00000225092	ENSCAFG00845016753	one_to_one	NA	NA	1	one_to_one:1
ENSG00000225102	ENSCAFG00845021091	one_to_one	NA	NA	1	one_to_one:1
ENSG00000225112	NA	NA	ENSMUSG00000087355;ENSMUSG00000086018;ENSMUSG00000086874;ENSMUSG00000084859	many_to_many	1	many_to_many:1
ENSG00000225113	ENSCAFG00845002708	one_to_one	NA	NA	1	one_to_one:1
ENSG00000225126	NA	NA	ENSMUSG00000085593;ENSMUSG00000078491;ENSMUSG00000120016	many_to_many	1	many_to_many:1
ENSG00000225127	NA	NA	ENSMUSG00000087618	one_to_one	1	one_to_one:1
ENSG00000225129	NA	NA	ENSMUSG00000084795;ENSMUSG00000087215	many_to_many	1	many_to_many:1
ENSG00000225144	NA	NA	ENSMUSG00000086720;ENSMUSG00000086763;ENSMUSG00000086675	many_to_many_strict	1	many_to_many_strict:1
ENSG00000225174	NA	NA	ENSMUSG00000086434	one_to_one	1	one_to_one:1
ENSG00000225181	NA	NA	ENSMUSG00000074763;ENSMUSG00000086450	many_to_many	1	many_to_many:1
ENSG00000225208	NA	NA	ENSMUSG00000102057	one_to_one	1	one_to_one:1
ENSG00000225216	NA	NA	ENSMUSG00000100811	one_to_one	1	one_to_one:1
ENSG00000225279	NA	NA	ENSMUSG00000120194	one_to_one	1	one_to_one:1
ENSG00000225280	ENSCAFG00845027463	one_to_one	NA	NA	1	one_to_one:1
ENSG00000225284	NA	NA	ENSMUSG00000117440	one_to_one	1	one_to_one:1
ENSG00000225300	ENSCAFG00845006085	one_to_one	NA	NA	1	one_to_one:1
ENSG00000225303	NA	NA	ENSMUSG00000097787	many_to_one	1	many_to_one:1
ENSG00000225359	NA	NA	ENSMUSG00000120197	one_to_one	1	one_to_one:1
ENSG00000225362	NA	NA	ENSMUSG00000111296	many_to_one	1	many_to_one:1
ENSG00000225365	NA	NA	ENSMUSG00000099907	many_to_one	1	many_to_one:1
ENSG00000225383	NA	NA	ENSMUSG00000087079	many_to_one	1	many_to_one:1
ENSG00000225386	NA	NA	ENSMUSG00000097547	one_to_one	1	one_to_one:1
ENSG00000225393	ENSCAFG00845018105	many_to_one	NA	NA	1	many_to_one:1
ENSG00000225434	NA	NA	ENSMUSG00000118342	one_to_one	1	one_to_one:1
ENSG00000225437	NA	NA	ENSMUSG00000089633;ENSMUSG00000089941;ENSMUSG00000089907	many_to_many	1	many_to_many:1
ENSG00000225442	NA	NA	ENSMUSG00000086330;ENSMUSG00000086536	many_to_many	1	many_to_many:1
ENSG00000225446	ENSCAFG00845016905;ENSCAFG00845016895	many_to_many_strict	NA	NA	1	many_to_many_strict:1
ENSG00000225450	NA	NA	ENSMUSG00000089796;ENSMUSG00000087543	many_to_many	1	many_to_many:1
ENSG00000225472	NA	NA	ENSMUSG00000086293;ENSMUSG00000087413	many_to_many	1	many_to_many:1
ENSG00000225493	ENSCAFG00845030252	one_to_one	NA	NA	1	one_to_one:1
ENSG00000225497	NA	NA	ENSMUSG00000100100;ENSMUSG00000114953	many_to_many	1	many_to_many:1
ENSG00000225519	NA	NA	ENSMUSG00000117998	many_to_one	1	many_to_one:1
ENSG00000225527	NA	NA	ENSMUSG00000087086;ENSMUSG00000104106	many_to_many_strict	1	many_to_many_strict:1
ENSG00000225548	NA	NA	ENSMUSG00000098161	one_to_one	1	one_to_one:1
ENSG00000225605	NA	NA	ENSMUSG00000086438	one_to_one	1	one_to_one:1
ENSG00000225611	NA	NA	ENSMUSG00000092042	many_to_one	1	many_to_one:1
ENSG00000225619	NA	NA	ENSMUSG00000112663;ENSMUSG00000112390	many_to_many	1	many_to_many:1
ENSG00000225620	NA	NA	ENSMUSG00000097435	many_to_one	1	many_to_one:1
ENSG00000225632	NA	NA	ENSMUSG00000085581	many_to_one	1	many_to_one:1
ENSG00000225637	NA	NA	ENSMUSG00000117355	one_to_one	1	one_to_one:1
ENSG00000225640	NA	NA	ENSMUSG00000086250	many_to_one	1	many_to_one:1
ENSG00000225652	NA	NA	ENSMUSG00000100100;ENSMUSG00000114953	many_to_many	1	many_to_many:1
ENSG00000225675	NA	NA	ENSMUSG00000028612;ENSMUSG00000087200;ENSMUSG00000073779	many_to_many	1	many_to_many:1
ENSG00000225683	NA	NA	ENSMUSG00000089633;ENSMUSG00000089941;ENSMUSG00000089907	many_to_many	1	many_to_many:1
ENSG00000225706	ENSCAFG00845027822	many_to_one	ENSMUSG00000092492;ENSMUSG00000110373	many_to_many	2	many_to_many:1;many_to_one:1
ENSG00000225731	NA	NA	ENSMUSG00000118081;ENSMUSG00000118157	many_to_many_strict	1	many_to_many_strict:1
ENSG00000225738	ENSCAFG00845015727	many_to_one	ENSMUSG00000093556;ENSMUSG00000093383;ENSMUSG00000093528	many_to_many	2	many_to_many:1;many_to_one:1
ENSG00000225750	ENSCAFG00845008356;ENSCAFG00845008348	one_to_many	NA	NA	1	one_to_many:1
ENSG00000225751	NA	NA	ENSMUSG00000087242	many_to_one	1	many_to_one:1
ENSG00000225752	NA	NA	ENSMUSG00000112172	many_to_one	1	many_to_one:1
ENSG00000225783	NA	NA	ENSMUSG00000097767	many_to_one	1	many_to_one:1
ENSG00000225791	NA	NA	ENSMUSG00000099971	one_to_one	1	one_to_one:1
ENSG00000225806	NA	NA	ENSMUSG00000086537	many_to_one	1	many_to_one:1
