lncRNA.Mus_musculus	lncRNA.Canis_lupus_familiaris	orthology_type.Mus_musculus.Canis_lupus_familiaris	lncRNA.Homo_sapiens	orthology_type.Mus_musculus.Homo_sapiens	nbTotalIndication	profilIndication
ENSMUSG00000052371	NA	NA	ENSG00000272729;ENSG00000237380	one_to_many	1	one_to_many:1
ENSMUSG00000052479	NA	NA	ENSG00000260115	one_to_one	1	one_to_one:1
ENSMUSG00000052629	NA	NA	ENSG00000260305	many_to_one	1	many_to_one:1
ENSMUSG00000052724	ENSCAFG00845021917	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000052769	NA	NA	ENSG00000225938	one_to_one	1	one_to_one:1
ENSMUSG00000052951	NA	NA	ENSG00000224842	one_to_one	1	one_to_one:1
ENSMUSG00000053049	NA	NA	ENSG00000255345;ENSG00000254885;ENSG00000254563	many_to_many	1	many_to_many:1
ENSMUSG00000053117	NA	NA	ENSG00000238276	one_to_one	1	one_to_one:1
ENSMUSG00000053181	NA	NA	ENSG00000230262	one_to_one	1	one_to_one:1
ENSMUSG00000053420	ENSCAFG00845022473	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000053545	NA	NA	ENSG00000289590;ENSG00000258197	many_to_many_strict	1	many_to_many_strict:1
ENSMUSG00000053615	NA	NA	ENSG00000259705;ENSG00000286947	one_to_many	1	one_to_many:1
ENSMUSG00000053714	NA	NA	ENSG00000213904	one_to_one	1	one_to_one:1
ENSMUSG00000053749	NA	NA	ENSG00000245330	one_to_one	1	one_to_one:1
ENSMUSG00000053821	ENSCAFG00845025097	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000053889	ENSCAFG00845008952	one_to_one	ENSG00000255317;ENSG00000257271;ENSG00000254607;ENSG00000254960;ENSG00000218109	one_to_many	2	one_to_many:1;one_to_one:1
ENSMUSG00000053925	NA	NA	ENSG00000226889	one_to_one	1	one_to_one:1
ENSMUSG00000053957	ENSCAFG00845029579	one_to_one	ENSG00000236866	one_to_one	2	one_to_one:2
ENSMUSG00000053979	ENSCAFG00845009050;ENSCAFG00845009060	many_to_many_strict	ENSG00000272479	many_to_one	2	many_to_many_strict:1;many_to_one:1
ENSMUSG00000054006	NA	NA	ENSG00000283125	one_to_one	1	one_to_one:1
ENSMUSG00000054057	ENSCAFG00845008721	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000054135	ENSCAFG00845012343	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000054247	NA	NA	ENSG00000272267	one_to_one	1	one_to_one:1
ENSMUSG00000054258	NA	NA	ENSG00000271897	one_to_one	1	one_to_one:1
ENSMUSG00000054412	NA	NA	ENSG00000235121;ENSG00000236390	many_to_many_strict	1	many_to_many_strict:1
ENSMUSG00000054426	NA	NA	ENSG00000233184;ENSG00000235795	one_to_many	1	one_to_many:1
ENSMUSG00000054457	NA	NA	ENSG00000229042;ENSG00000233508;ENSG00000227599	many_to_many	1	many_to_many:1
ENSMUSG00000054618	NA	NA	ENSG00000287590	one_to_one	1	one_to_one:1
ENSMUSG00000054779	NA	NA	ENSG00000273007	one_to_one	1	one_to_one:1
ENSMUSG00000054822	NA	NA	ENSG00000261449	one_to_one	1	one_to_one:1
ENSMUSG00000054945	ENSCAFG00845005652	one_to_one	ENSG00000250220	one_to_one	2	one_to_one:2
ENSMUSG00000055015	NA	NA	ENSG00000260378;ENSG00000261158	one_to_many	1	one_to_many:1
ENSMUSG00000055159	NA	NA	ENSG00000260352	one_to_one	1	one_to_one:1
ENSMUSG00000055188	NA	NA	ENSG00000228343;ENSG00000204620	one_to_many	1	one_to_many:1
ENSMUSG00000055323	NA	NA	ENSG00000250616	one_to_one	1	one_to_one:1
ENSMUSG00000055370	ENSCAFG00845015227	many_to_one	ENSG00000242767;ENSG00000241560;ENSG00000288896;ENSG00000242880;ENSG00000242290;ENSG00000239946;ENSG00000241295	many_to_many	2	many_to_many:1;many_to_one:1
ENSMUSG00000055403	NA	NA	ENSG00000239921	one_to_one	1	one_to_one:1
ENSMUSG00000055408	NA	NA	ENSG00000243766	one_to_one	1	one_to_one:1
ENSMUSG00000056023	NA	NA	ENSG00000289320	one_to_one	1	one_to_one:1
ENSMUSG00000056031	ENSCAFG00845010409	one_to_one	ENSG00000286875	one_to_one	2	one_to_one:2
ENSMUSG00000056061	ENSCAFG00845017267	one_to_one	ENSG00000272050	one_to_one	2	one_to_one:2
ENSMUSG00000056089	ENSCAFG00845003316	many_to_one	ENSG00000215196;ENSG00000271892	many_to_many_strict	2	many_to_many_strict:1;many_to_one:1
ENSMUSG00000056145	ENSCAFG00845001884	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000056411	NA	NA	ENSG00000228703	one_to_one	1	one_to_one:1
ENSMUSG00000056687	NA	NA	ENSG00000266598	one_to_one	1	one_to_one:1
ENSMUSG00000056699	NA	NA	ENSG00000234476	one_to_one	1	one_to_one:1
ENSMUSG00000056735	NA	NA	ENSG00000256742	one_to_one	1	one_to_one:1
ENSMUSG00000056753	NA	NA	ENSG00000275091	one_to_one	1	one_to_one:1
ENSMUSG00000056771	NA	NA	ENSG00000289980	one_to_one	1	one_to_one:1
ENSMUSG00000057710	NA	NA	ENSG00000240086	one_to_one	1	one_to_one:1
ENSMUSG00000059277	NA	NA	ENSG00000238184;ENSG00000290098	one_to_many	1	one_to_many:1
ENSMUSG00000059631	NA	NA	ENSG00000290095;ENSG00000239911;ENSG00000242048	many_to_many	1	many_to_many:1
ENSMUSG00000059706	NA	NA	ENSG00000266473;ENSG00000264421;ENSG00000285877	one_to_many	1	one_to_many:1
ENSMUSG00000060424	NA	NA	ENSG00000233639	one_to_one	1	one_to_one:1
ENSMUSG00000060808	NA	NA	ENSG00000286799	one_to_one	1	one_to_one:1
ENSMUSG00000063087	NA	NA	ENSG00000237036	one_to_one	1	one_to_one:1
ENSMUSG00000063714	NA	NA	ENSG00000289296;ENSG00000271151	one_to_many	1	one_to_many:1
ENSMUSG00000063751	NA	NA	ENSG00000254862	one_to_one	1	one_to_one:1
ENSMUSG00000064263	ENSCAFG00845028545;ENSCAFG00845028553	one_to_many	NA	NA	1	one_to_many:1
ENSMUSG00000066175	NA	NA	ENSG00000275441	one_to_one	1	one_to_one:1
ENSMUSG00000066938	NA	NA	ENSG00000269210	one_to_one	1	one_to_one:1
ENSMUSG00000067973	NA	NA	ENSG00000238189;ENSG00000270522;ENSG00000287029;ENSG00000233821	many_to_many	1	many_to_many:1
ENSMUSG00000068680	NA	NA	ENSG00000269256	one_to_one	1	one_to_one:1
ENSMUSG00000068957	ENSCAFG00845011913	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000069713	NA	NA	ENSG00000289312	one_to_one	1	one_to_one:1
ENSMUSG00000069785	ENSCAFG00845027339	one_to_one	ENSG00000267280	one_to_one	2	one_to_one:2
ENSMUSG00000069996	ENSCAFG00845010957	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000070574	NA	NA	ENSG00000267815	one_to_one	1	one_to_one:1
ENSMUSG00000070794	NA	NA	ENSG00000255427	one_to_one	1	one_to_one:1
ENSMUSG00000070891	NA	NA	ENSG00000234318	one_to_one	1	one_to_one:1
ENSMUSG00000071033	NA	NA	ENSG00000283058;ENSG00000286412;ENSG00000285548;ENSG00000231918	many_to_many	1	many_to_many:1
ENSMUSG00000071036	NA	NA	ENSG00000231336;ENSG00000232696;ENSG00000228481	many_to_many	1	many_to_many:1
ENSMUSG00000072584	NA	NA	ENSG00000225885;ENSG00000281641	many_to_many_strict	1	many_to_many_strict:1
ENSMUSG00000072589	ENSCAFG00845014683	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000072591	NA	NA	ENSG00000250208	one_to_one	1	one_to_one:1
ENSMUSG00000072660	NA	NA	ENSG00000247934;ENSG00000278733	one_to_many	1	one_to_many:1
ENSMUSG00000072673	NA	NA	ENSG00000264031	one_to_one	1	one_to_one:1
ENSMUSG00000072677	NA	NA	ENSG00000197503	one_to_one	1	one_to_one:1
ENSMUSG00000072679	NA	NA	ENSG00000256923;ENSG00000256995	one_to_many	1	one_to_many:1
ENSMUSG00000072683	ENSCAFG00845014259	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000072688	NA	NA	ENSG00000274859	many_to_one	1	many_to_one:1
ENSMUSG00000072761	NA	NA	ENSG00000251054	one_to_one	1	one_to_one:1
ENSMUSG00000072769	NA	NA	ENSG00000283183	one_to_one	1	one_to_one:1
ENSMUSG00000072884	NA	NA	ENSG00000275198	one_to_one	1	one_to_one:1
ENSMUSG00000072893	NA	NA	ENSG00000289234	one_to_one	1	one_to_one:1
ENSMUSG00000072902	NA	NA	ENSG00000162913;ENSG00000269934;ENSG00000270110;ENSG00000287315	one_to_many	1	one_to_many:1
ENSMUSG00000073067	NA	NA	ENSG00000223813	one_to_one	1	one_to_one:1
ENSMUSG00000073073	ENSCAFG00845009426	many_to_one	ENSG00000234943;ENSG00000228108	many_to_many	2	many_to_many:1;many_to_one:1
ENSMUSG00000073145	NA	NA	ENSG00000285165	many_to_one	1	many_to_one:1
ENSMUSG00000073147	NA	NA	ENSG00000228393;ENSG00000272918;ENSG00000239569	one_to_many	1	one_to_many:1
ENSMUSG00000073236	ENSCAFG00845021034	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000073374	NA	NA	ENSG00000265091;ENSG00000264575	one_to_many	1	one_to_many:1
ENSMUSG00000073394	NA	NA	ENSG00000271857;ENSG00000261080	many_to_many	1	many_to_many:1
ENSMUSG00000073478	NA	NA	ENSG00000260805	one_to_one	1	one_to_one:1
ENSMUSG00000073528	ENSCAFG00845009888	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000073532	NA	NA	ENSG00000270112	one_to_one	1	one_to_one:1
ENSMUSG00000073535	NA	NA	ENSG00000236719	one_to_one	1	one_to_one:1
ENSMUSG00000073652	NA	NA	ENSG00000230695	one_to_one	1	one_to_one:1
ENSMUSG00000073686	NA	NA	ENSG00000224387;ENSG00000229393	one_to_many	1	one_to_many:1
ENSMUSG00000073728	NA	NA	ENSG00000204464	one_to_one	1	one_to_one:1
ENSMUSG00000073759	NA	NA	ENSG00000284623	one_to_one	1	one_to_one:1
ENSMUSG00000073778	ENSCAFG00845014571	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000073779	NA	NA	ENSG00000234578;ENSG00000232762;ENSG00000225675;ENSG00000228838	many_to_many	1	many_to_many:1
ENSMUSG00000073843	NA	NA	ENSG00000226609	one_to_one	1	one_to_one:1
ENSMUSG00000073846	NA	NA	ENSG00000232939	one_to_one	1	one_to_one:1
ENSMUSG00000073860	NA	NA	ENSG00000223716	many_to_one	1	many_to_one:1
ENSMUSG00000073862	NA	NA	ENSG00000254930;ENSG00000254438;ENSG00000254927	one_to_many	1	one_to_many:1
ENSMUSG00000074024	NA	NA	ENSG00000246067	one_to_one	1	one_to_one:1
ENSMUSG00000074067	NA	NA	ENSG00000271763	one_to_one	1	one_to_one:1
ENSMUSG00000074113	NA	NA	ENSG00000287760;ENSG00000274698	one_to_many	1	one_to_many:1
ENSMUSG00000074203	NA	NA	ENSG00000267417;ENSG00000267610	one_to_many	1	one_to_many:1
ENSMUSG00000074213	NA	NA	ENSG00000245975	one_to_one	1	one_to_one:1
ENSMUSG00000074219	NA	NA	ENSG00000267169	one_to_one	1	one_to_one:1
ENSMUSG00000074235	NA	NA	ENSG00000250354;ENSG00000287292	one_to_many	1	one_to_many:1
ENSMUSG00000074248	NA	NA	ENSG00000223675	one_to_one	1	one_to_one:1
ENSMUSG00000074274	NA	NA	ENSG00000259436;ENSG00000254887	one_to_many	1	one_to_many:1
ENSMUSG00000074346	NA	NA	ENSG00000237556;ENSG00000231437	one_to_many	1	one_to_many:1
ENSMUSG00000074357	NA	NA	ENSG00000232648	one_to_one	1	one_to_one:1
ENSMUSG00000074373	NA	NA	ENSG00000285513	one_to_one	1	one_to_one:1
ENSMUSG00000074466	NA	NA	ENSG00000289103	one_to_one	1	one_to_one:1
ENSMUSG00000074469	NA	NA	ENSG00000277159	one_to_one	1	one_to_one:1
ENSMUSG00000074507	NA	NA	ENSG00000125514;ENSG00000231133	one_to_many	1	one_to_many:1
ENSMUSG00000074517	NA	NA	ENSG00000278981;ENSG00000280005	one_to_many	1	one_to_many:1
ENSMUSG00000074578	NA	NA	ENSG00000177410	one_to_one	1	one_to_one:1
ENSMUSG00000074664	NA	NA	ENSG00000228213	one_to_one	1	one_to_one:1
ENSMUSG00000074737	NA	NA	ENSG00000228539	one_to_one	1	one_to_one:1
ENSMUSG00000074753	NA	NA	ENSG00000235996;ENSG00000287430;ENSG00000232675;ENSG00000179447	one_to_many	1	one_to_many:1
ENSMUSG00000074758	NA	NA	ENSG00000233625	one_to_one	1	one_to_one:1
ENSMUSG00000074763	NA	NA	ENSG00000225181;ENSG00000287062;ENSG00000235914;ENSG00000286546;ENSG00000237832	many_to_many	1	many_to_many:1
ENSMUSG00000075020	NA	NA	ENSG00000283341	one_to_one	1	one_to_one:1
ENSMUSG00000075025	NA	NA	ENSG00000255092;ENSG00000254693	one_to_many	1	one_to_many:1
ENSMUSG00000075027	ENSCAFG00845005862	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000075070	ENSCAFG00845015227	many_to_one	ENSG00000242767;ENSG00000241560;ENSG00000288896;ENSG00000242880;ENSG00000242290;ENSG00000239946;ENSG00000241295	many_to_many	2	many_to_many:1;many_to_one:1
ENSMUSG00000075265	NA	NA	ENSG00000286004	one_to_one	1	one_to_one:1
ENSMUSG00000075277	NA	NA	ENSG00000224189	one_to_one	1	one_to_one:1
ENSMUSG00000075286	NA	NA	ENSG00000230102	many_to_one	1	many_to_one:1
ENSMUSG00000075335	ENSCAFG00845029298	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000075389	ENSCAFG00845010832	one_to_one	ENSG00000287431;ENSG00000185332;ENSG00000185168	one_to_many	2	one_to_many:1;one_to_one:1
ENSMUSG00000075437	NA	NA	ENSG00000288605	one_to_one	1	one_to_one:1
ENSMUSG00000075463	NA	NA	ENSG00000280169	one_to_one	1	one_to_one:1
ENSMUSG00000075512	NA	NA	ENSG00000229928	one_to_one	1	one_to_one:1
ENSMUSG00000075555	ENSCAFG00845005255	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000075558	NA	NA	ENSG00000267122	one_to_one	1	one_to_one:1
ENSMUSG00000075585	NA	NA	ENSG00000223855	one_to_one	1	one_to_one:1
ENSMUSG00000075586	NA	NA	ENSG00000263787;ENSG00000235300	one_to_many	1	one_to_many:1
ENSMUSG00000075589	NA	NA	ENSG00000239552	one_to_one	1	one_to_one:1
ENSMUSG00000078122	NA	NA	ENSG00000274536	one_to_one	1	one_to_one:1
ENSMUSG00000078143	NA	NA	ENSG00000260612	one_to_one	1	one_to_one:1
ENSMUSG00000078190	NA	NA	ENSG00000230630;ENSG00000287336	many_to_many_strict	1	many_to_many_strict:1
ENSMUSG00000078349	NA	NA	ENSG00000224969	one_to_one	1	one_to_one:1
ENSMUSG00000078444	NA	NA	ENSG00000223768	one_to_one	1	one_to_one:1
ENSMUSG00000078491	NA	NA	ENSG00000270035;ENSG00000270171;ENSG00000269978;ENSG00000225126;ENSG00000237436;ENSG00000237728;ENSG00000237365	many_to_many	1	many_to_many:1
ENSMUSG00000078492	NA	NA	ENSG00000238290	one_to_one	1	one_to_one:1
ENSMUSG00000078648	ENSCAFG00845028615	many_to_one	NA	NA	1	many_to_one:1
ENSMUSG00000078957	NA	NA	ENSG00000285347	one_to_one	1	one_to_one:1
ENSMUSG00000079001	NA	NA	ENSG00000228156;ENSG00000204393;ENSG00000286311;ENSG00000233293;ENSG00000277301;ENSG00000236772	one_to_many	1	one_to_many:1
ENSMUSG00000079011	NA	NA	ENSG00000286592	one_to_one	1	one_to_one:1
ENSMUSG00000079045	ENSCAFG00845001588	many_to_one	ENSG00000272167;ENSG00000274895;ENSG00000230461	many_to_many_strict	2	many_to_many_strict:1;many_to_one:1
ENSMUSG00000079146	NA	NA	ENSG00000235280;ENSG00000267868	many_to_many_strict	1	many_to_many_strict:1
ENSMUSG00000079183	NA	NA	ENSG00000257787;ENSG00000286021	one_to_many	1	one_to_many:1
ENSMUSG00000079242	ENSCAFG00845027295	one_to_one	ENSG00000272940;ENSG00000205559	one_to_many	2	one_to_many:1;one_to_one:1
ENSMUSG00000079462	NA	NA	ENSG00000241158;ENSG00000241684	many_to_many	1	many_to_many:1
ENSMUSG00000079528	NA	NA	ENSG00000249334	one_to_one	1	one_to_one:1
ENSMUSG00000079564	NA	NA	ENSG00000227487;ENSG00000247416	one_to_many	1	one_to_many:1
ENSMUSG00000079669	NA	NA	ENSG00000203506;ENSG00000235593;ENSG00000235904	one_to_many	1	one_to_many:1
ENSMUSG00000080058	ENSCAFG00845022760	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000080727	NA	NA	ENSG00000289041	one_to_one	1	one_to_one:1
ENSMUSG00000083193	NA	NA	ENSG00000259508	one_to_one	1	one_to_one:1
ENSMUSG00000084085	NA	NA	ENSG00000230749;ENSG00000226819	many_to_many_strict	1	many_to_many_strict:1
ENSMUSG00000084761	NA	NA	ENSG00000230729	many_to_one	1	many_to_one:1
ENSMUSG00000084764	ENSCAFG00845013464	many_to_one	NA	NA	1	many_to_one:1
ENSMUSG00000084766	ENSCAFG00845024153;ENSCAFG00845024165	one_to_many	ENSG00000290056	one_to_one	2	one_to_many:1;one_to_one:1
ENSMUSG00000084780	NA	NA	ENSG00000232684;ENSG00000274922	one_to_many	1	one_to_many:1
ENSMUSG00000084783	NA	NA	ENSG00000224821;ENSG00000232814	one_to_many	1	one_to_many:1
ENSMUSG00000084785	NA	NA	ENSG00000248079	one_to_one	1	one_to_one:1
ENSMUSG00000084787	ENSCAFG00845008991	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000084789	NA	NA	ENSG00000289452	one_to_one	1	one_to_one:1
ENSMUSG00000084790	ENSCAFG00845002048	one_to_one	ENSG00000263235	one_to_one	2	one_to_one:2
ENSMUSG00000084795	NA	NA	ENSG00000230352;ENSG00000225129;ENSG00000286309	many_to_many	1	many_to_many:1
ENSMUSG00000084796	NA	NA	ENSG00000265206	one_to_one	1	one_to_one:1
ENSMUSG00000084797	NA	NA	ENSG00000224397	many_to_one	1	many_to_one:1
ENSMUSG00000084798	NA	NA	ENSG00000289896	many_to_one	1	many_to_one:1
ENSMUSG00000084802	ENSCAFG00845028611	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000084804	NA	NA	ENSG00000287192	one_to_one	1	one_to_one:1
ENSMUSG00000084808	NA	NA	ENSG00000247228	one_to_one	1	one_to_one:1
ENSMUSG00000084821	NA	NA	ENSG00000285560;ENSG00000259212;ENSG00000259314	one_to_many	1	one_to_many:1
ENSMUSG00000084824	NA	NA	ENSG00000272789	one_to_one	1	one_to_one:1
ENSMUSG00000084828	ENSCAFG00845018927	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000084834	NA	NA	ENSG00000288868	one_to_one	1	one_to_one:1
ENSMUSG00000084837	NA	NA	ENSG00000229262	one_to_one	1	one_to_one:1
ENSMUSG00000084843	ENSCAFG00845017300;ENSCAFG00845017290	one_to_many	ENSG00000260542;ENSG00000174403	one_to_many	2	one_to_many:2
ENSMUSG00000084846	NA	NA	ENSG00000273481	many_to_one	1	many_to_one:1
ENSMUSG00000084851	NA	NA	ENSG00000288876	many_to_one	1	many_to_one:1
ENSMUSG00000084856	NA	NA	ENSG00000249497	one_to_one	1	one_to_one:1
ENSMUSG00000084859	NA	NA	ENSG00000229751;ENSG00000235410;ENSG00000225112;ENSG00000273474;ENSG00000234091;ENSG00000285671	many_to_many	1	many_to_many:1
ENSMUSG00000084864	NA	NA	ENSG00000233360	one_to_one	1	one_to_one:1
ENSMUSG00000084865	NA	NA	ENSG00000236333	many_to_one	1	many_to_one:1
ENSMUSG00000084866	ENSCAFG00845026718	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000084870	NA	NA	ENSG00000228061	one_to_one	1	one_to_one:1
ENSMUSG00000084873	NA	NA	ENSG00000251294	one_to_one	1	one_to_one:1
ENSMUSG00000084884	NA	NA	ENSG00000236088	many_to_one	1	many_to_one:1
ENSMUSG00000084887	NA	NA	ENSG00000263278	one_to_one	1	one_to_one:1
