lncRNA.Canis_lupus_familiaris	lncRNA.Homo_sapiens	orthology_type.Canis_lupus_familiaris.Homo_sapiens	lncRNA.Mus_musculus	orthology_type.Canis_lupus_familiaris.Mus_musculus	nbTotalIndication	profilIndication
ENSCAFG00845001405	NA	NA	ENSMUSG00000110634	one_to_one	1	one_to_one:1
ENSCAFG00845001477	ENSG00000224478	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845001502	NA	NA	ENSMUSG00000086686	one_to_one	1	one_to_one:1
ENSCAFG00845001515	ENSG00000288899	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845001573	ENSG00000281664	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845001588	ENSG00000272167;ENSG00000274895;ENSG00000230461	one_to_many	ENSMUSG00000119953;ENSMUSG00000079045;ENSMUSG00000099404	one_to_many	2	one_to_many:2
ENSCAFG00845001682	NA	NA	ENSMUSG00000087411	one_to_one	1	one_to_one:1
ENSCAFG00845001689	ENSG00000286533;ENSG00000237927	many_to_many	NA	NA	1	many_to_many:1
ENSCAFG00845001701	ENSG00000286533;ENSG00000237927	many_to_many	NA	NA	1	many_to_many:1
ENSCAFG00845001707	ENSG00000286533;ENSG00000237927	many_to_many	NA	NA	1	many_to_many:1
ENSCAFG00845001708	NA	NA	ENSMUSG00000110467	one_to_one	1	one_to_one:1
ENSCAFG00845001745	ENSG00000273010	one_to_one	ENSMUSG00000120716	one_to_one	2	one_to_one:2
ENSCAFG00845001760	ENSG00000261654	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845001762	ENSG00000249252	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845001764	ENSG00000286338	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845001767	ENSG00000232811	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845001772	ENSG00000250682	many_to_one	ENSMUSG00000100711;ENSMUSG00000100182	many_to_many	2	many_to_many:1;many_to_one:1
ENSCAFG00845001779	ENSG00000250682	many_to_one	ENSMUSG00000100711;ENSMUSG00000100182	many_to_many	2	many_to_many:1;many_to_one:1
ENSCAFG00845001784	ENSG00000286338	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845001787	ENSG00000286338	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845001792	ENSG00000250682	many_to_one	ENSMUSG00000100711;ENSMUSG00000100182	many_to_many	2	many_to_many:1;many_to_one:1
ENSCAFG00845001804	ENSG00000286338	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845001811	ENSG00000250682	many_to_one	ENSMUSG00000100711;ENSMUSG00000100182	many_to_many	2	many_to_many:1;many_to_one:1
ENSCAFG00845001817	ENSG00000250682	many_to_one	ENSMUSG00000100711;ENSMUSG00000100182	many_to_many	2	many_to_many:1;many_to_one:1
ENSCAFG00845001826	ENSG00000286338	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845001834	ENSG00000286338	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845001844	ENSG00000286338	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845001849	ENSG00000250682	many_to_one	ENSMUSG00000100711;ENSMUSG00000100182	many_to_many	2	many_to_many:1;many_to_one:1
ENSCAFG00845001857	ENSG00000250682	many_to_one	ENSMUSG00000100711;ENSMUSG00000100182	many_to_many	2	many_to_many:1;many_to_one:1
ENSCAFG00845001860	NA	NA	ENSMUSG00000120425	one_to_one	1	one_to_one:1
ENSCAFG00845001863	ENSG00000286338	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845001870	ENSG00000250682	many_to_one	ENSMUSG00000100711;ENSMUSG00000100182	many_to_many	2	many_to_many:1;many_to_one:1
ENSCAFG00845001884	NA	NA	ENSMUSG00000056145	one_to_one	1	one_to_one:1
ENSCAFG00845001893	ENSG00000250958	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845001903	NA	NA	ENSMUSG00000050179	one_to_one	1	one_to_one:1
ENSCAFG00845001910	NA	NA	ENSMUSG00000086128	one_to_one	1	one_to_one:1
ENSCAFG00845001956	ENSG00000285646	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845002048	ENSG00000263235	one_to_one	ENSMUSG00000084790	one_to_one	2	one_to_one:2
ENSCAFG00845002068	ENSG00000261938	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845002071	ENSG00000236199	one_to_one	ENSMUSG00000093628	one_to_one	2	one_to_one:2
ENSCAFG00845002120	ENSG00000260566	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845002139	ENSG00000250806	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845002148	ENSG00000250806	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845002155	ENSG00000250806	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845002216	ENSG00000260306	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845002235	ENSG00000232807	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845002299	ENSG00000272461;ENSG00000259837	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845002310	NA	NA	ENSMUSG00000118020	one_to_one	1	one_to_one:1
ENSCAFG00845002343	ENSG00000260927	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845002373	ENSG00000251152	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845002377	ENSG00000287778	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845002398	ENSG00000228420;ENSG00000261055	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845002404	NA	NA	ENSMUSG00000106426	one_to_one	1	one_to_one:1
ENSCAFG00845002471	ENSG00000289552	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845002478	NA	NA	ENSMUSG00000097325	one_to_one	1	one_to_one:1
ENSCAFG00845002505	ENSG00000260400	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845002528	NA	NA	ENSMUSG00000120842;ENSMUSG00000103670	one_to_many	1	one_to_many:1
ENSCAFG00845002582	ENSG00000243155	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845002599	ENSG00000285726;ENSG00000285564	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845002623	NA	NA	ENSMUSG00000111862	one_to_one	1	one_to_one:1
ENSCAFG00845002656	ENSG00000287154	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845002702	ENSG00000236963	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845002707	ENSG00000282898	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845002708	ENSG00000225113	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845002709	NA	NA	ENSMUSG00000108311;ENSMUSG00000120135;ENSMUSG00000108724	many_to_many_strict	1	many_to_many_strict:1
ENSCAFG00845002714	NA	NA	ENSMUSG00000108311;ENSMUSG00000120135;ENSMUSG00000108724	many_to_many_strict	1	many_to_many_strict:1
ENSCAFG00845002716	ENSG00000285462;ENSG00000235011	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845002719	NA	NA	ENSMUSG00000108311;ENSMUSG00000120135;ENSMUSG00000108724	many_to_many_strict	1	many_to_many_strict:1
ENSCAFG00845002737	ENSG00000258760	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845002749	ENSG00000256982	many_to_one	ENSMUSG00000110682;ENSMUSG00000110523	many_to_many_strict	2	many_to_many_strict:1;many_to_one:1
ENSCAFG00845002764	ENSG00000258760	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845002772	ENSG00000258760	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845002775	ENSG00000256982	many_to_one	ENSMUSG00000110682;ENSMUSG00000110523	many_to_many_strict	2	many_to_many_strict:1;many_to_one:1
ENSCAFG00845002780	ENSG00000258760	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845002788	ENSG00000259989	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845002798	ENSG00000258760	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845002828	ENSG00000254138;ENSG00000289601	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845002831	ENSG00000258708;ENSG00000258601;ENSG00000258690	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845002836	ENSG00000258827	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845002857	NA	NA	ENSMUSG00000121092	one_to_one	1	one_to_one:1
ENSCAFG00845002869	ENSG00000229656	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845002889	ENSG00000272108	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845002908	ENSG00000277324	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845002911	ENSG00000264016	one_to_one	ENSMUSG00000085926	one_to_one	2	one_to_one:2
ENSCAFG00845002920	ENSG00000280029	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845002954	ENSG00000290893	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845003020	ENSG00000259415	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845003031	ENSG00000264727	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845003046	ENSG00000261766	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845003118	NA	NA	ENSMUSG00000113757;ENSMUSG00000113017	many_to_many_strict	1	many_to_many_strict:1
ENSCAFG00845003150	ENSG00000229672;ENSG00000228353	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845003152	NA	NA	ENSMUSG00000113757;ENSMUSG00000113017	many_to_many_strict	1	many_to_many_strict:1
ENSCAFG00845003214	NA	NA	ENSMUSG00000097101	one_to_one	1	one_to_one:1
ENSCAFG00845003223	ENSG00000255028	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845003236	ENSG00000234233	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845003269	ENSG00000289968	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845003313	NA	NA	ENSMUSG00000115850	one_to_one	1	one_to_one:1
ENSCAFG00845003316	ENSG00000215196;ENSG00000271892	one_to_many	ENSMUSG00000115729;ENSMUSG00000056089	one_to_many	2	one_to_many:2
ENSCAFG00845003341	NA	NA	ENSMUSG00000116971	many_to_one	1	many_to_one:1
ENSCAFG00845003356	NA	NA	ENSMUSG00000116971	many_to_one	1	many_to_one:1
ENSCAFG00845003358	NA	NA	ENSMUSG00000116971	many_to_one	1	many_to_one:1
ENSCAFG00845003359	ENSG00000259636	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845003440	ENSG00000264254	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845003450	ENSG00000262714	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845003460	ENSG00000261291	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845003481	NA	NA	ENSMUSG00000114005	one_to_one	1	one_to_one:1
ENSCAFG00845003485	ENSG00000260630	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845003499	ENSG00000251189	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845003505	ENSG00000244968	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845003570	ENSG00000265400	many_to_one	ENSMUSG00000120678	many_to_one	2	many_to_one:2
ENSCAFG00845003575	ENSG00000265400	many_to_one	ENSMUSG00000120678	many_to_one	2	many_to_one:2
ENSCAFG00845003590	ENSG00000258729	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845003620	NA	NA	ENSMUSG00000108603	one_to_one	1	one_to_one:1
ENSCAFG00845003649	NA	NA	ENSMUSG00000110166	one_to_one	1	one_to_one:1
ENSCAFG00845003665	NA	NA	ENSMUSG00000120447	one_to_one	1	one_to_one:1
ENSCAFG00845003724	NA	NA	ENSMUSG00000087590	one_to_one	1	one_to_one:1
ENSCAFG00845003755	ENSG00000246859	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845003795	ENSG00000250250	one_to_one	ENSMUSG00000115433	one_to_one	2	one_to_one:2
ENSCAFG00845003833	ENSG00000271314;ENSG00000271155;ENSG00000271659	one_to_many	ENSMUSG00000113459	one_to_one	2	one_to_many:1;one_to_one:1
ENSCAFG00845003835	ENSG00000229345	one_to_one	ENSMUSG00000113453	one_to_one	2	one_to_one:2
ENSCAFG00845003841	ENSG00000290444	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845003855	ENSG00000258526	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845003869	ENSG00000253613	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845003886	ENSG00000252690;ENSG00000250988	one_to_many	ENSMUSG00000097277	one_to_one	2	one_to_many:1;one_to_one:1
ENSCAFG00845003952	ENSG00000258957	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845003969	ENSG00000258749;ENSG00000247970	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845004019	ENSG00000254365;ENSG00000253947;ENSG00000253713;ENSG00000253527;ENSG00000253925;ENSG00000254187;ENSG00000253660;ENSG00000253469;ENSG00000254297	one_to_many	ENSMUSG00000086375;ENSMUSG00000087245	one_to_many	2	one_to_many:2
ENSCAFG00845004030	ENSG00000254130	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845004034	NA	NA	ENSMUSG00000093452	one_to_one	1	one_to_one:1
ENSCAFG00845004051	ENSG00000254130	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845004057	ENSG00000254130	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845004062	ENSG00000254130	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845004083	ENSG00000254130	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845004119	ENSG00000280809	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845004142	ENSG00000267707;ENSG00000267202;ENSG00000285940	one_to_many	ENSMUSG00000114511;ENSMUSG00000114306;ENSMUSG00000120137	one_to_many	2	one_to_many:2
ENSCAFG00845004150	ENSG00000288889	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845004167	ENSG00000273797	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845004187	ENSG00000261441	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845004193	ENSG00000255571;ENSG00000289128	one_to_many	ENSMUSG00000097023	one_to_one	2	one_to_many:1;one_to_one:1
ENSCAFG00845004244	ENSG00000261504	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845004265	ENSG00000286510	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845004287	ENSG00000269151	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845004340	ENSG00000286496	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845004350	ENSG00000235269	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845004358	ENSG00000235269	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845004406	ENSG00000256281	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845004412	NA	NA	ENSMUSG00000115015;ENSMUSG00000115690	one_to_many	1	one_to_many:1
ENSCAFG00845004434	ENSG00000279249	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845004437	ENSG00000255689	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845004438	NA	NA	ENSMUSG00000097992	one_to_one	1	one_to_one:1
ENSCAFG00845004442	ENSG00000255689	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845004445	ENSG00000256281	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845004447	ENSG00000255689	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845004450	ENSG00000255689	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845004453	ENSG00000255689	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845004457	ENSG00000255689	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845004460	ENSG00000256281	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845004462	NA	NA	ENSMUSG00000085892	many_to_one	1	many_to_one:1
ENSCAFG00845004463	ENSG00000256281	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845004470	NA	NA	ENSMUSG00000085892	many_to_one	1	many_to_one:1
ENSCAFG00845004486	NA	NA	ENSMUSG00000085892	many_to_one	1	many_to_one:1
ENSCAFG00845004493	NA	NA	ENSMUSG00000085892	many_to_one	1	many_to_one:1
ENSCAFG00845004586	ENSG00000290987	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845004593	NA	NA	ENSMUSG00000117229	one_to_one	1	one_to_one:1
ENSCAFG00845004596	ENSG00000260340	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845004608	NA	NA	ENSMUSG00000121139	one_to_one	1	one_to_one:1
ENSCAFG00845004685	ENSG00000272799	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845004766	ENSG00000249207	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845004791	NA	NA	ENSMUSG00000117570	many_to_one	1	many_to_one:1
ENSCAFG00845004795	ENSG00000228853	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845004796	NA	NA	ENSMUSG00000117570	many_to_one	1	many_to_one:1
ENSCAFG00845004802	NA	NA	ENSMUSG00000097980	one_to_one	1	one_to_one:1
ENSCAFG00845004812	ENSG00000260759	one_to_one	ENSMUSG00000117868	one_to_one	2	one_to_one:2
ENSCAFG00845004813	NA	NA	ENSMUSG00000109248	one_to_one	1	one_to_one:1
ENSCAFG00845004860	ENSG00000275512	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845004897	ENSG00000231720	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845004902	ENSG00000280707;ENSG00000228648	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845004914	NA	NA	ENSMUSG00000109420;ENSMUSG00000121222	one_to_many	1	one_to_many:1
ENSCAFG00845004944	ENSG00000287813;ENSG00000259175;ENSG00000258010;ENSG00000270919;ENSG00000259495	one_to_many	ENSMUSG00000109341	one_to_one	2	one_to_many:1;one_to_one:1
ENSCAFG00845004978	ENSG00000287695	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845005001	NA	NA	ENSMUSG00000086028	one_to_one	1	one_to_one:1
ENSCAFG00845005014	NA	NA	ENSMUSG00000085236	one_to_one	1	one_to_one:1
ENSCAFG00845005022	NA	NA	ENSMUSG00000037535	one_to_one	1	one_to_one:1
ENSCAFG00845005031	ENSG00000251183	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845005037	ENSG00000259548	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845005040	ENSG00000251183	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845005161	NA	NA	ENSMUSG00000120256	one_to_one	1	one_to_one:1
ENSCAFG00845005255	NA	NA	ENSMUSG00000075555	one_to_one	1	one_to_one:1
ENSCAFG00845005272	ENSG00000286128	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845005279	ENSG00000286128	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845005280	NA	NA	ENSMUSG00000117414	one_to_one	1	one_to_one:1
ENSCAFG00845005282	ENSG00000245060	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845005288	ENSG00000286128	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845005315	NA	NA	ENSMUSG00000114787	many_to_one	1	many_to_one:1
ENSCAFG00845005320	NA	NA	ENSMUSG00000114787	many_to_one	1	many_to_one:1
ENSCAFG00845005325	NA	NA	ENSMUSG00000114787	many_to_one	1	many_to_one:1
ENSCAFG00845005327	NA	NA	ENSMUSG00000114200;ENSMUSG00000114623	one_to_many	1	one_to_many:1
ENSCAFG00845005375	ENSG00000267653	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845005386	ENSG00000248473	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845005394	ENSG00000231028;ENSG00000287094;ENSG00000234084	one_to_many	ENSMUSG00000111227	one_to_one	2	one_to_many:1;one_to_one:1
ENSCAFG00845005399	ENSG00000237560	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845005407	ENSG00000237560	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845005413	ENSG00000237560	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845005450	ENSG00000289371	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845005520	ENSG00000248692	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845005529	ENSG00000288659	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845005548	ENSG00000235298	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845005579	NA	NA	ENSMUSG00000097676	one_to_one	1	one_to_one:1
ENSCAFG00845005650	ENSG00000249167;ENSG00000248445	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845005652	ENSG00000250220	one_to_one	ENSMUSG00000054945	one_to_one	2	one_to_one:2
ENSCAFG00845005687	ENSG00000257438	one_to_one	ENSMUSG00000111583	one_to_one	2	one_to_one:2
ENSCAFG00845005712	ENSG00000257329	many_to_one	ENSMUSG00000097082	many_to_one	2	many_to_one:2
ENSCAFG00845005798	NA	NA	ENSMUSG00000108967	one_to_one	1	one_to_one:1
ENSCAFG00845005801	ENSG00000255021	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845005811	ENSG00000255021	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845005842	NA	NA	ENSMUSG00000113580;ENSMUSG00000113548	many_to_many_strict	1	many_to_many_strict:1
ENSCAFG00845005851	NA	NA	ENSMUSG00000113580;ENSMUSG00000113548	many_to_many_strict	1	many_to_many_strict:1
ENSCAFG00845005862	NA	NA	ENSMUSG00000075027	one_to_one	1	one_to_one:1
ENSCAFG00845005873	ENSG00000287984	one_to_one	ENSMUSG00000087559	one_to_one	2	one_to_one:2
ENSCAFG00845005912	ENSG00000226856	one_to_one	ENSMUSG00000101700	one_to_one	2	one_to_one:2
ENSCAFG00845005963	ENSG00000255079	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845006077	NA	NA	ENSMUSG00000112246	one_to_one	1	one_to_one:1
ENSCAFG00845006085	ENSG00000225300	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845006096	ENSG00000287004	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845006107	ENSG00000287451	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845006110	ENSG00000287004	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845006121	ENSG00000287004	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845006141	ENSG00000287004	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845006155	ENSG00000258473;ENSG00000258819	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845006164	NA	NA	ENSMUSG00000022187	one_to_one	1	one_to_one:1
