PCG.Homo_sapiens	conf.Homo_sapiens	PCG.Mus_musculus	conf.Mus_musculus	lncRNA.Homo_sapiens	class.Homo_sapiens	distance.Homo_sapiens	lncRNA.Mus_musculus	class.Mus_musculus	distance.Mus_musculus	orthology_type.Homo_sapiens-Mus_musculus
ENSG00000198796	lincConv	ENSMUSG00000032845	lincConv	ENSG00000267391	n.1.1	27481	ENSMUSG00000118017	n.1.1	12908	one_to_one
ENSG00000125257	lincConv	ENSMUSG00000032849	lincConv	ENSG00000260962	1.1.1	58516	ENSMUSG00000099911	1.1.1	84522	one_to_one
ENSG00000160256	lincConv	ENSMUSG00000032977	lincConv	ENSG00000234880;ENSG00000261706;ENSG00000275874	n.1.1;1.1.1;1.1.1	12875;17373;22219	ENSMUSG00000112818	1.1.1	15032	many_to_one
ENSG00000083642	lincConv	ENSMUSG00000034021	lincConv	ENSG00000226968	1.1.1	99412	ENSMUSG00000107047	1.1.1	53273	one_to_one
ENSG00000100852	lincConv	ENSMUSG00000035133	lincConv	ENSG00000286527	1.1.1	40705	ENSMUSG00000100315	n.1.1	28006	one_to_one
ENSG00000144736	lincConv	ENSMUSG00000035378	lincConv	ENSG00000287595	n.1.1	8736	ENSMUSG00000101553;ENSMUSG00000107663	n.1.1;1.1.1	34564;68342	one_to_many
ENSG00000013573	lincConv	ENSMUSG00000035842	lincConv	ENSG00000291252;ENSG00000291098;ENSG00000291250;ENSG00000291251	1.1.1;1.1.1;n.1.1;1.1.1	68107;26656;6852;54098	ENSMUSG00000117220	n.1.1	79775	many_to_one
ENSG00000177425	lincConv	ENSMUSG00000035873	lincConv	ENSG00000257474	n.1.1	24444	ENSMUSG00000120482	1.1.1	30082	one_to_one
ENSG00000123415	lincConv	ENSMUSG00000036061	lincConv	ENSG00000249388	n.1.1	18578	ENSMUSG00000116066;ENSMUSG00000099758	n.1.1;n.1.1	12616;45733	one_to_many
ENSG00000079785	lincConv	ENSMUSG00000037149	lincConv	ENSG00000224194	1.1.1	34338	ENSMUSG00000113284	1.1.1	89781	one_to_one
ENSG00000117691	lincConv	ENSMUSG00000037499	lincConv	ENSG00000224535	n.1.1	20320	ENSMUSG00000103174	n.1.1	13098	one_to_one
ENSG00000077458	lincConv	ENSMUSG00000037808	lincConv	ENSG00000255605;ENSG00000285842	1.1.1;1.1.1	68330;20238	ENSMUSG00000111100	1.1.1	60814	many_to_one
ENSG00000198836	lincConv	ENSMUSG00000038084	lincConv	ENSG00000286624	1.1.1	72732	ENSMUSG00000116814	1.1.1	95926	one_to_one
ENSG00000149646	lincConv	ENSMUSG00000038085	lincConv	ENSG00000260032	1.1.1	14918	ENSMUSG00000102869	n.1.1	12422	one_to_one
ENSG00000164107	lincConv	ENSMUSG00000038193	lincConv	ENSG00000286039	n.1.1	13179	ENSMUSG00000109697	n.1.1	7056	one_to_one
ENSG00000145945	lincConv	ENSMUSG00000038246	lincConv	ENSG00000260604	1.1.1	53600	ENSMUSG00000113484	1.1.1	33962	one_to_one
ENSG00000110328	lincConv	ENSMUSG00000038296	lincConv	ENSG00000254401	n.1.1	87266	ENSMUSG00000109808	1.1.1	76053	one_to_one
ENSG00000149658	lincConv	ENSMUSG00000038848	lincConv	ENSG00000225978;ENSG00000287324	1.1.1;1.1.1	91043;78224	ENSMUSG00000085428;ENSMUSG00000121196;ENSMUSG00000098051;ENSMUSG00000085728	1.1.1;1.1.1;1.1.1;1.1.1	55463;13406;9157;55331	many_to_many
ENSG00000185950	lincConv	ENSMUSG00000038894	lincConv	ENSG00000234854	1.1.1	22688	ENSMUSG00000109089	n.1.1	61050	one_to_one
ENSG00000112414	lincConv	ENSMUSG00000039116	lincConv	ENSG00000236366	n.1.1	80189	ENSMUSG00000112225;ENSMUSG00000112679	1.1.1;n.1.1	65968;77827	one_to_many
ENSG00000182077	lincConv	ENSMUSG00000039198	lincConv	ENSG00000260151	1.1.1	52204	ENSMUSG00000086684;ENSMUSG00000120449	1.1.1;n.1.1	38910;82444	one_to_many
ENSG00000050628	lincConv	ENSMUSG00000040016	lincConv	ENSG00000229051	n.1.1	65885	ENSMUSG00000106632	1.1.1	74516	one_to_one
ENSG00000164683	lincConv	ENSMUSG00000040289	lincConv	ENSG00000287052	1.1.1	12810	ENSMUSG00000104102	1.1.1	30905	one_to_one
ENSG00000102781	lincConv	ENSMUSG00000041298	lincConv	ENSG00000232643	1.1.1	42038	ENSMUSG00000087647;ENSMUSG00000085740	1.1.1;1.1.1	33786;88504	one_to_many
ENSG00000167889	lincConv	ENSMUSG00000043857	lincConv	ENSG00000267521	1.1.1	6630	ENSMUSG00000086902	n.1.1	48086	one_to_one
ENSG00000145949	lincConv	ENSMUSG00000044951	lincConv	ENSG00000228718	n.1.1	23628	ENSMUSG00000118652	1.1.1	18312	one_to_one
ENSG00000152518	lincConv	ENSMUSG00000045817	lincConv	ENSG00000286796	n.1.1	90403	ENSMUSG00000117571	1.1.1	94056	one_to_one
ENSG00000197756	lincConv	ENSMUSG00000046330	lincConv	ENSG00000224391	1.1.1	11246	ENSMUSG00000120056	n.1.1	31341	one_to_one
ENSG00000146360	lincConv	ENSMUSG00000046922	lincConv	ENSG00000286691	1.1.1	39291	ENSMUSG00000111098	1.1.1	32763	one_to_one
ENSG00000197651	lincConv	ENSMUSG00000047025	lincConv	ENSG00000257787;ENSG00000286021	n.1.1;n.1.1	94933;15705	ENSMUSG00000079183	1.1.1	29951	many_to_one
ENSG00000166603	lincConv	ENSMUSG00000047259	lincConv	ENSG00000267401	n.1.1	69745	ENSMUSG00000117968	1.1.1	54935	one_to_one
ENSG00000163116	lincConv	ENSMUSG00000047940	lincConv	ENSG00000253170	1.1.1	49034	ENSMUSG00000106505	1.1.1	66854	one_to_one
ENSG00000164488	lincConv	ENSMUSG00000048826	lincConv	ENSG00000234768;ENSG00000287056;ENSG00000234647;ENSG00000228361	1.1.1;1.1.1;n.1.1;1.1.1	88329;72568;30249;52115	ENSMUSG00000120609	1.1.1	24103	many_to_one
ENSG00000188042	lincConv	ENSMUSG00000049866	lincConv	ENSG00000228162	n.1.1	30914	ENSMUSG00000100367	1.1.1	15025	one_to_one
ENSG00000275342	lincConv	ENSMUSG00000050271	lincConv	ENSG00000291049	n.1.1	72871	ENSMUSG00000110321	n.1.1	26353	one_to_one
ENSG00000118492	lincConv	ENSMUSG00000050994	lincConv	ENSG00000289851	1.1.1	98962	ENSMUSG00000109160	n.1.1	77004	one_to_one
ENSG00000187676	lincConv	ENSMUSG00000051950	lincConv	ENSG00000290234	1.1.1	37149	ENSMUSG00000106740	1.1.1	39391	one_to_one
ENSG00000173545	lincConv	ENSMUSG00000052253	lincConv	ENSG00000249737	1.1.1	19083	ENSMUSG00000115335	1.1.1	55884	one_to_one
ENSG00000142149	lincConv	ENSMUSG00000053414	lincConv	ENSG00000230323	n.1.1	35683	ENSMUSG00000116753	1.1.1	49080	one_to_one
ENSG00000153574	lincConv	ENSMUSG00000053604	lincConv	ENSG00000240040;ENSG00000290802	1.1.1;1.1.1	60257;60257	ENSMUSG00000105646	n.1.1	12253	many_to_one
ENSG00000178573	lincConv	ENSMUSG00000055435	lincConv	ENSG00000261472	1.1.1	69550	ENSMUSG00000110592	1.1.1	87790	one_to_one
ENSG00000156282	lincConv	ENSMUSG00000055811	lincConv	ENSG00000259981	1.1.1	67729	ENSMUSG00000116885	n.1.1	62357	one_to_one
ENSG00000170677	lincConv	ENSMUSG00000056153	lincConv	ENSG00000266304;ENSG00000266278	1.1.1;1.1.1	5302;49941	ENSMUSG00000118352	1.1.1	6417	many_to_one
ENSG00000162783	lincConv	ENSMUSG00000056708	lincConv	ENSG00000225359	1.1.1	97571	ENSMUSG00000120197	1.1.1	11971	one_to_one
ENSG00000169016	lincConv	ENSMUSG00000057469	lincConv	ENSG00000285569	n.1.1	17189	ENSMUSG00000114018	n.1.1	5139	one_to_one
ENSG00000165669	lincConv	ENSMUSG00000057858	lincConv	ENSG00000238276	n.1.1	30215	ENSMUSG00000053117	n.1.1	27013	one_to_one
ENSG00000101493	lincConv	ENSMUSG00000058881	lincConv	ENSG00000266614;ENSG00000264212	1.1.1;1.1.1	97568;99345	ENSMUSG00000100430;ENSMUSG00000117976	n.1.1;1.1.1	69994;7349	many_to_many_strict
ENSG00000171813	lincConv	ENSMUSG00000060260	lincConv	ENSG00000234311	1.1.1	15874	ENSMUSG00000110115	1.1.1	22914	one_to_one
ENSG00000120963	lincConv	ENSMUSG00000062397	lincConv	ENSG00000253737;ENSG00000253355	1.1.1;n.1.1	36949;44392	ENSMUSG00000115333	1.1.1	47422	many_to_one
ENSG00000178363	lincConv	ENSMUSG00000063130	lincConv	ENSG00000287566;ENSG00000287235	n.1.1;1.1.1	22866;36524	ENSMUSG00000113759	1.1.1	21693	many_to_one
ENSG00000103404	lincConv	ENSMUSG00000063317	lincConv	ENSG00000261090	n.1.1	35121	ENSMUSG00000108409	1.1.1	50430	one_to_one
ENSG00000188582	lincConv	ENSMUSG00000064225	lincConv	ENSG00000243818	n.1.1	13444	ENSMUSG00000120809	1.1.1	9041	one_to_one
ENSG00000021645	lincConv	ENSMUSG00000066392	lincConv	ENSG00000258416	1.1.1	24789	ENSMUSG00000113001;ENSMUSG00000113539	1.1.1;1.1.1	64732;58968	one_to_many
ENSG00000196431	lincConv	ENSMUSG00000066975	lincConv	ENSG00000206028	1.1.1	37024	ENSMUSG00000104538;ENSMUSG00000097986;ENSMUSG00000101683	1.1.1;n.1.1;n.1.1	81249;12773;36489	one_to_many
ENSG00000269113	lincConv	ENSMUSG00000070867	lincConv	ENSG00000227947	1.1.1	56499	ENSMUSG00000100998	1.1.1	57599	one_to_one
ENSG00000164694	lincConv	ENSMUSG00000071984	lincConv	ENSG00000231178	n.1.1	81814	ENSMUSG00000116955	1.1.1	78331	one_to_one
ENSG00000168672	lincConv	ENSMUSG00000072568	lincConv	ENSG00000253220;ENSG00000253427;ENSG00000253530	n.1.1;1.1.1;n.1.1	52003;59847;30083	ENSMUSG00000121298	1.1.1	72459	many_to_one
ENSG00000113369	lincConv	ENSMUSG00000074794	lincConv	ENSG00000241059;ENSG00000286638	1.1.1;1.1.1	12605;85918	ENSMUSG00000097146	1.1.1	61623	many_to_one
ENSG00000253276	lincConv	ENSMUSG00000090946	lincConv	ENSG00000286013	1.1.1	25664	ENSMUSG00000112865	1.1.1	7825	one_to_one
ENSG00000182968	lincConv	ENSMUSG00000096014	lincConv	ENSG00000229520	1.1.1	33651	ENSMUSG00000109921	n.1.1	61293	one_to_one
ENSG00000176678	lincConv	ENSMUSG00000097084	lincConv	ENSG00000260387	1.1.1	52850	ENSMUSG00000097097	n.1.1	68070	one_to_one
ENSG00000240045	lincConv	ENSMUSG00000103476	lincConv	ENSG00000241336	n.1.1	31461	ENSMUSG00000104336	1.1.1	23215	one_to_one
ENSG00000067082	lincDivg	ENSMUSG00000000078	lincDivg	ENSG00000287175;ENSG00000230573	1.1.1;1.1.1	24554;48669	ENSMUSG00000120440	1.1.1	15680	many_to_one
ENSG00000064300	lincDivg	ENSMUSG00000000120	lincDivg	ENSG00000249497	1.1.1	33544	ENSMUSG00000084856	1.1.1	34925	one_to_one
ENSG00000159399	lincDivg	ENSMUSG00000000628	lincDivg	ENSG00000287687	n.n.n	55385	ENSMUSG00000108015	n.1.1	48760	one_to_one
ENSG00000145687	lincDivg	ENSMUSG00000003992	lincDivg	ENSG00000249483;ENSG00000287938	1.1.1;1.1.1	99804;65734	ENSMUSG00000099340;ENSMUSG00000097182	1.1.1;n.1.1	85989;72154	many_to_many_strict
ENSG00000160199	lincDivg	ENSMUSG00000006705	lincDivg	ENSG00000224100	1.1.1	9147	ENSMUSG00000117818	1.1.1	12477	one_to_one
ENSG00000168036	lincDivg	ENSMUSG00000006932	lincDivg	ENSG00000233919	1.1.1	26194	ENSMUSG00000100146;ENSMUSG00000111528;ENSMUSG00000110730;ENSMUSG00000110911;ENSMUSG00000111445	1.1.1;1.1.1;1.1.1;1.1.1;1.1.1	13964;47244;62460;83035;58186	one_to_many
ENSG00000108175	lincDivg	ENSMUSG00000007817	lincDivg	ENSG00000229569	1.1.1	65163	ENSMUSG00000097601	n.1.1	79576	one_to_one
ENSG00000111145	lincDivg	ENSMUSG00000008398	lincDivg	ENSG00000283422	1.1.1	22249	ENSMUSG00000110647;ENSMUSG00000111531	n.1.1;1.1.1	24258;6268	one_to_many
ENSG00000129152	lincDivg	ENSMUSG00000009471	lincDivg	ENSG00000255335	n.1.1	22577	ENSMUSG00000109962	n.1.1	27101	one_to_one
ENSG00000176715	lincDivg	ENSMUSG00000015016	lincDivg	ENSG00000256982	n.1.1	35400	ENSMUSG00000110682;ENSMUSG00000110523	n.1.1;n.n.n	12465;23094	one_to_many
ENSG00000150337	lincDivg	ENSMUSG00000015947	lincDivg	ENSG00000290790	n.1.1	34853	ENSMUSG00000097851	n.1.1	51318	one_to_one
ENSG00000173728	lincDivg	ENSMUSG00000015962	lincDivg	ENSG00000289439	n.1.1	27456	ENSMUSG00000101746	n.1.1	86871	one_to_one
ENSG00000112242	lincDivg	ENSMUSG00000016477	lincDivg	ENSG00000287483	n.1.1	67468	ENSMUSG00000085188	1.1.1	72614	one_to_one
ENSG00000137573	lincDivg	ENSMUSG00000016918	lincDivg	ENSG00000253479	n.1.1	18342	ENSMUSG00000101314	1.1.1	21101	one_to_one
ENSG00000115963	lincDivg	ENSMUSG00000017144	lincDivg	ENSG00000237220;ENSG00000224048	1.1.1;n.1.1	27123;73370	ENSMUSG00000100496;ENSMUSG00000086349	1.1.1;1.1.1	70271;92720	many_to_many_strict
ENSG00000123066	lincDivg	ENSMUSG00000018076	lincDivg	ENSG00000258346	1.1.1	91071	ENSMUSG00000120779	1.1.1	46588	one_to_one
ENSG00000168118	lincDivg	ENSMUSG00000019478	lincDivg	ENSG00000236975;ENSG00000233920	n.1.1;n.1.1	65634;28160	ENSMUSG00000097203	n.1.1	51259	many_to_one
ENSG00000139318	lincDivg	ENSMUSG00000019960	lincDivg	ENSG00000271327;ENSG00000271259	1.1.1;1.1.1	15306;19319	ENSMUSG00000120093;ENSMUSG00000112902	1.1.1;1.1.1	21265;25615	many_to_many_strict
ENSG00000118515	lincDivg	ENSMUSG00000019970	lincDivg	ENSG00000290029;ENSG00000236700;ENSG00000287974	1.1.1;n.1.1;1.1.1	55550;25195;27576	ENSMUSG00000097107	1.1.1	37333	many_to_one
ENSG00000171408	lincDivg	ENSMUSG00000019990	lincDivg	ENSG00000236378	1.1.1	43235	ENSMUSG00000111091	1.1.1	31039	one_to_one
ENSG00000120837	lincDivg	ENSMUSG00000020248	lincDivg	ENSG00000257193	1.1.1	32154	ENSMUSG00000112286	n.1.1	31010	one_to_one
ENSG00000113742	lincDivg	ENSMUSG00000020300	lincDivg	ENSG00000254211	n.1.1	79310	ENSMUSG00000085772	n.1.1	47659	one_to_one
ENSG00000198399	lincDivg	ENSMUSG00000020640	lincDivg	ENSG00000286829	1.1.1	42459	ENSMUSG00000112505;ENSMUSG00000112819	1.1.1;n.1.1	15882;23100	one_to_many
ENSG00000115738	lincDivg	ENSMUSG00000020644	lincDivg	ENSG00000231083;ENSG00000236008	1.1.1;n.1.1	55903;85942	ENSMUSG00000113587;ENSMUSG00000112937;ENSMUSG00000114033	1.1.1;1.1.1;1.1.1	53775;32034;84628	many_to_many
ENSG00000176358	lincDivg	ENSMUSG00000020872	lincDivg	ENSG00000248954	1.1.1	39529	ENSMUSG00000085992	1.1.1	35897	one_to_one
ENSG00000170345	lincDivg	ENSMUSG00000021250	lincDivg	ENSG00000289340;ENSG00000258740	1.1.1;1.1.1	19855;9543	ENSMUSG00000113940	n.1.1	37641	many_to_one
ENSG00000090054	lincDivg	ENSMUSG00000021468	lincDivg	ENSG00000290644	n.1.1	25885	ENSMUSG00000107008	n.n.n	16221	one_to_one
ENSG00000145740	lincDivg	ENSMUSG00000021629	lincDivg	ENSG00000249335;ENSG00000249352	n.1.1;n.1.1	50141;63826	ENSMUSG00000100596	1.1.1	14006	many_to_one
ENSG00000095015	lincDivg	ENSMUSG00000021754	lincDivg	ENSG00000289709	1.1.1	42674	ENSMUSG00000086057;ENSMUSG00000086111	1.1.1;n.1.1	48003;58923	one_to_many
ENSG00000164190	lincDivg	ENSMUSG00000022141	lincDivg	ENSG00000272103	1.1.1	9531	ENSMUSG00000115591;ENSMUSG00000115480	1.1.1;n.1.1	37656;67864	one_to_many
ENSG00000164924	lincDivg	ENSMUSG00000022285	lincDivg	ENSG00000248599	n.1.1	81480	ENSMUSG00000115750	1.1.1	45887	one_to_one
ENSG00000188064	lincDivg	ENSMUSG00000022382	lincDivg	ENSG00000273289;ENSG00000273145;ENSG00000241990	1.1.1;1.1.1;n.1.1	75931;36444;76543	ENSMUSG00000116305;ENSMUSG00000116004;ENSMUSG00000120923	n.n.n;n.1.1;1.1.1	71083;63610;52377	many_to_many_strict
ENSG00000134294	lincDivg	ENSMUSG00000022462	lincDivg	ENSG00000275481	1.1.1	16083	ENSMUSG00000120767	1.1.1	10230	one_to_one
ENSG00000114315	lincDivg	ENSMUSG00000022528	lincDivg	ENSG00000230102	n.1.1	65123	ENSMUSG00000075286;ENSMUSG00000116660	n.1.1;n.1.1	85200;24905	one_to_many
ENSG00000189058	lincDivg	ENSMUSG00000022548	lincDivg	ENSG00000289929	1.1.1	51054	ENSMUSG00000116973	1.1.1	10427	one_to_one
ENSG00000075711	lincDivg	ENSMUSG00000022770	lincDivg	ENSG00000286870;ENSG00000289828	1.1.1;1.1.1	34614;70354	ENSMUSG00000116793	1.1.1	70223	many_to_one
ENSG00000159110	lincDivg	ENSMUSG00000022971	lincDivg	ENSG00000229086	n.1.1	34633	ENSMUSG00000120333	n.1.1	5639	one_to_one
ENSG00000012822	lincDivg	ENSMUSG00000023055	lincDivg	ENSG00000260030;ENSG00000286069	1.1.1;n.1.1	26613;11866	ENSMUSG00000116500	1.1.1	75317	many_to_one
ENSG00000138061	lincDivg	ENSMUSG00000024087	lincDivg	ENSG00000273006	1.1.1	83446	ENSMUSG00000117426;ENSMUSG00000117616	1.1.1;1.1.1	18813;56901	one_to_many
ENSG00000162878	lincDivg	ENSMUSG00000024247	lincDivg	ENSG00000205086;ENSG00000226398	n.1.1;1.1.1	91215;22719	ENSMUSG00000117509	n.1.1	94551	many_to_one
