PCG.Canis_lupus_familiaris	conf.Canis_lupus_familiaris	PCG.Homo_sapiens	conf.Homo_sapiens	lncRNA.Canis_lupus_familiaris	class.Canis_lupus_familiaris	distance.Canis_lupus_familiaris	lncRNA.Homo_sapiens	class.Homo_sapiens	distance.Homo_sapiens	orthology_type.Canis_lupus_familiaris-Homo_sapiens
ENSCAFG00845014242	lincConv	ENSG00000155093	lincConv	ENSCAFG00845014177	1.1.1	26556	ENSG00000223872;ENSG00000234210;ENSG00000233191	n.1.1;1.1.1;n.1.1	35148;39340;20398	one_to_many
ENSCAFG00845005055	lincConv	ENSG00000155511	lincConv	ENSCAFG00845005031;ENSCAFG00845005040	1.1.1;1.1.1	26191;18172	ENSG00000251183	1.1.1	73559	many_to_one
ENSCAFG00845002239	lincConv	ENSG00000155719	lincConv	ENSCAFG00845002216	1.1.1	6194	ENSG00000260306	1.1.1	32160	one_to_one
ENSCAFG00845021885	lincConv	ENSG00000160256	lincConv	ENSCAFG00845021920	1.1.1	7938	ENSG00000234880;ENSG00000261706;ENSG00000275874	n.1.1;1.1.1;1.1.1	12875;17373;22219	one_to_many
ENSCAFG00845024203	lincConv	ENSG00000165084	lincConv	ENSCAFG00845024368	1.1.1	16019	ENSG00000254337;ENSG00000253658	n.1.1;n.1.1	29714;61116	one_to_many
ENSCAFG00845015937	lincConv	ENSG00000167889	lincConv	ENSCAFG00845015860	n.1.1	29943	ENSG00000267521	1.1.1	6630	one_to_one
ENSCAFG00845028092	lincConv	ENSG00000169016	lincConv	ENSCAFG00845028042;ENSCAFG00845028027	1.1.1;1.1.1	19427;26040	ENSG00000285569	n.1.1	17189	many_to_one
ENSCAFG00845001189	lincConv	ENSG00000170677	lincConv	ENSCAFG00845001172	1.1.1	18107	ENSG00000266304;ENSG00000266278	1.1.1;1.1.1	5302;49941	one_to_many
ENSCAFG00845023121	lincConv	ENSG00000170852	lincConv	ENSCAFG00845023072	1.1.1	8366	ENSG00000272905	1.1.1	22111	one_to_one
ENSCAFG00845005837	lincConv	ENSG00000170860	lincConv	ENSCAFG00845005811;ENSCAFG00845005801	1.1.1;1.1.1	58482;87397	ENSG00000255021	1.1.1	71251	many_to_one
ENSCAFG00845030101	lincConv	ENSG00000174013	lincConv	ENSCAFG00845030113	1.1.1	5689	ENSG00000286661	1.1.1	9490	one_to_one
ENSCAFG00845002170	lincConv	ENSG00000174132	lincConv	ENSCAFG00845002155;ENSCAFG00845002139;ENSCAFG00845002148	1.1.1;1.1.1;1.1.1	8820;27556;21411	ENSG00000250806	1.1.1	67371	many_to_one
ENSCAFG00845020761	lincConv	ENSG00000175894	lincConv	ENSCAFG00845020719	1.1.1	6545	ENSG00000289857	1.1.1	14495	one_to_one
ENSCAFG00845009198	lincConv	ENSG00000176165	lincConv	ENSCAFG00845009239	1.1.1	10428	ENSG00000257056;ENSG00000257748	n.1.1;n.1.1	12632;29807	one_to_many
ENSCAFG00845021165	lincConv	ENSG00000178573	lincConv	ENSCAFG00845021356;ENSCAFG00845021337;ENSCAFG00845021260;ENSCAFG00845021365;ENSCAFG00845021391	1.1.1;1.1.1;1.1.1;1.1.1;1.1.1	45425;26326;5106;83124;96412	ENSG00000261472	1.1.1	69550	many_to_one
ENSCAFG00845020015	lincConv	ENSG00000181467	lincConv	ENSCAFG00845020194	1.1.1	48153	ENSG00000290079	1.1.1	50422	one_to_one
ENSCAFG00845027659	lincConv	ENSG00000182870	lincConv	ENSCAFG00845027718	1.1.1	17460	ENSG00000256312	1.1.1	5375	one_to_one
ENSCAFG00845015543	lincConv	ENSG00000184640	lincConv	ENSCAFG00845015466	1.1.1	7735	ENSG00000267466	1.1.1	62772	one_to_one
ENSCAFG00845012255	lincConv	ENSG00000188636	lincConv	ENSCAFG00845012265	1.1.1	11391	ENSG00000232655	1.1.1	47795	one_to_one
ENSCAFG00845004594	lincConv	ENSG00000189348	lincConv	ENSCAFG00845004586	1.1.1	15652	ENSG00000290987	1.1.1	17175	one_to_one
ENSCAFG00845005305	lincConv	ENSG00000196670	lincConv	ENSCAFG00845005282;ENSCAFG00845028395	1.1.1;1.1.1	34459;47521	ENSG00000245060	n.1.1	11874	many_to_one
ENSCAFG00845015149	lincConv	ENSG00000197056	lincConv	ENSCAFG00845015108	1.1.1	7136	ENSG00000284640	1.1.1	25656	one_to_one
ENSCAFG00845027963	lincConv	ENSG00000244752	lincConv	ENSCAFG00845028006	1.1.1	9463	ENSG00000233577;ENSG00000279298	n.1.1;1.1.1	47659;19653	one_to_many
ENSCAFG00845031029	lincConv	ENSG00000261115	lincConv	ENSCAFG00845031023	1.1.1	5199	ENSG00000261797	1.1.1	32318	one_to_one
ENSCAFG00845010723	lincConv	ENSG00000266074	lincConv	ENSCAFG00845010677	1.1.1	15623	ENSG00000278200	1.1.1	14192	one_to_one
ENSCAFG00845002386	lincDivg	ENSG00000002587	lincDivg	ENSCAFG00845002373	1.1.1	19244	ENSG00000251152	1.1.1	39686	one_to_one
ENSCAFG00845013083	lincDivg	ENSG00000022567	lincDivg	ENSCAFG00845013254	1.1.1	12193	ENSG00000254291	1.1.1	17825	one_to_one
ENSCAFG00845002810	lincDivg	ENSG00000033170	lincDivg	ENSCAFG00845002780;ENSCAFG00845002798;ENSCAFG00845002737;ENSCAFG00845002764;ENSCAFG00845002772	1.1.1;1.1.1;n.1.1;1.1.1;1.1.1	15938;5835;91520;52020;43793	ENSG00000258760	n.1.1	91802	many_to_one
ENSCAFG00845028796	lincDivg	ENSG00000049239	lincDivg	ENSCAFG00845028763	n.1.1	27072	ENSG00000228526	n.n.n	35868	one_to_one
ENSCAFG00845016980	lincDivg	ENSG00000057019	lincDivg	ENSCAFG00845017341;ENSCAFG00845017360	1.1.1;1.1.1	43715;66312	ENSG00000240476	1.1.1	79363	many_to_one
ENSCAFG00845029019	lincDivg	ENSG00000061936	lincDivg	ENSCAFG00845029152	n.1.1	14645	ENSG00000256424;ENSG00000256258	1.1.1;1.1.1	49258;87878	one_to_many
ENSCAFG00845023731	lincDivg	ENSG00000074527	lincDivg	ENSCAFG00845023891	1.1.1	11632	ENSG00000258292	1.1.1	11908	one_to_one
ENSCAFG00845014452	lincDivg	ENSG00000076554	lincDivg	ENSCAFG00845014581	1.1.1	89558	ENSG00000253238	n.n.n	34675	one_to_one
ENSCAFG00845014770	lincDivg	ENSG00000076641	lincDivg	ENSCAFG00845014816;ENSCAFG00845014794;ENSCAFG00845014805;ENSCAFG00845014811;ENSCAFG00845014799	1.1.1;1.1.1;1.1.1;1.1.1;1.1.1	50967;8329;33701;40583;26692	ENSG00000289242;ENSG00000253214	1.1.1;n.1.1	49329;37039	many_to_many
ENSCAFG00845003971	lincDivg	ENSG00000081177	lincDivg	ENSCAFG00845003952	1.1.1	19077	ENSG00000258957	n.n.1	0	one_to_one
ENSCAFG00845021171	lincDivg	ENSG00000095951	lincDivg	ENSCAFG00845021091	n.1.1	6812	ENSG00000225102	1.1.1	7476	one_to_one
ENSCAFG00845022289	lincDivg	ENSG00000100604	lincDivg	ENSCAFG00845022228	n.n.n	24583	ENSG00000258499	1.1.1	15668	one_to_one
ENSCAFG00845017528	lincDivg	ENSG00000101187	lincDivg	ENSCAFG00845017452;ENSCAFG00845017408;ENSCAFG00845017427	1.1.1;1.1.1;1.1.1	6227;46643;17109	ENSG00000232121;ENSG00000273812	1.1.1;n.1.1	6999;39148	many_to_many
ENSCAFG00845000590	lincDivg	ENSG00000101493	lincDivg	ENSCAFG00845000556	1.1.1	20567	ENSG00000266256	n.1.1	33410	one_to_one
ENSCAFG00845020627	lincDivg	ENSG00000109424	lincDivg	ENSCAFG00845020577	n.1.1	8039	ENSG00000287449	1.1.1	8884	one_to_one
ENSCAFG00845018393	lincDivg	ENSG00000109674	lincDivg	ENSCAFG00845018643;ENSCAFG00845018676	n.1.1;1.1.1	30115;61386	ENSG00000249008;ENSG00000287544	1.1.1;n.1.1	61101;8621	many_to_many_strict
ENSCAFG00845024317	lincDivg	ENSG00000110172	lincDivg	ENSCAFG00845024209	n.1.1	21513	ENSG00000261645	n.1.1	28127	one_to_one
ENSCAFG00845013960	lincDivg	ENSG00000111731	lincDivg	ENSCAFG00845013851	1.1.1	5137	ENSG00000250166	n.n.1	0	one_to_one
ENSCAFG00845020672	lincDivg	ENSG00000111859	lincDivg	ENSCAFG00845020833	n.1.1	24117	ENSG00000233656	n.1.1	34859	one_to_one
ENSCAFG00845004882	lincDivg	ENSG00000112494	lincDivg	ENSCAFG00845004897	n.1.1	80553	ENSG00000231720	1.1.1	30689	one_to_one
ENSCAFG00845017942	lincDivg	ENSG00000113578	lincDivg	ENSCAFG00845018073	1.1.1	25069	ENSG00000261757	1.1.1	5712	one_to_one
ENSCAFG00845003525	lincDivg	ENSG00000113594	lincDivg	ENSCAFG00845003499	1.1.1	16899	ENSG00000251189	1.1.1	73716	one_to_one
ENSCAFG00845010033	lincDivg	ENSG00000114541	lincDivg	ENSCAFG00845009866;ENSCAFG00845009890;ENSCAFG00845009910;ENSCAFG00845009900	1.1.1;1.1.1;1.1.1;1.1.1	76789;69901;11550;18731	ENSG00000241667	1.1.1	48758	many_to_one
ENSCAFG00845008171	lincDivg	ENSG00000115963	lincDivg	ENSCAFG00845008214;ENSCAFG00845008226	1.1.1;1.1.1	72032;80194	ENSG00000237220;ENSG00000224048	1.1.1;n.1.1	27123;73370	many_to_many_strict
ENSCAFG00845001606	lincDivg	ENSG00000117707	lincDivg	ENSCAFG00845001573	n.1.1	35827	ENSG00000281664	1.1.1	56527	one_to_one
ENSCAFG00845026362	lincDivg	ENSG00000123094	lincDivg	ENSCAFG00845026434;ENSCAFG00845026445;ENSCAFG00845026409	1.1.1;1.1.1;1.1.1	42450;47191;10773	ENSG00000256256	1.1.1	72377	many_to_one
ENSCAFG00845017149	lincDivg	ENSG00000124766	lincDivg	ENSCAFG00845017101;ENSCAFG00845017123	1.1.1;1.1.1	57335;35692	ENSG00000280989;ENSG00000231754	n.1.1;n.1.1	72337;69906	many_to_many_strict
ENSCAFG00845020385	lincDivg	ENSG00000125398	lincDivg	ENSCAFG00845020409;ENSCAFG00845020450;ENSCAFG00845020427	1.1.1;n.1.1;n.1.1	33258;58087;37850	ENSG00000228639;ENSG00000234899	n.1.1;n.n.1	62947;0	many_to_many
ENSCAFG00845001353	lincDivg	ENSG00000126603	lincDivg	ENSCAFG00845001367	1.1.1	12489	ENSG00000288935	1.1.1	7137	one_to_one
ENSCAFG00845002914	lincDivg	ENSG00000129993	lincDivg	ENSCAFG00845002788	1.1.1	17200	ENSG00000259989	1.1.1	6825	one_to_one
ENSCAFG00845017212	lincDivg	ENSG00000130700	lincDivg	ENSCAFG00845017322;ENSCAFG00845017277	n.1.1;1.1.1	49573;11655	ENSG00000289548	n.1.1	57962	many_to_one
ENSCAFG00845009258	lincDivg	ENSG00000133112	lincDivg	ENSCAFG00845009202	1.1.1	9082	ENSG00000228886	1.1.1	9039	one_to_one
ENSCAFG00845025360	lincDivg	ENSG00000134138	lincDivg	ENSCAFG00845025573	1.1.1	40408	ENSG00000274444	1.1.1	8288	one_to_one
ENSCAFG00845027461	lincDivg	ENSG00000134318	lincDivg	ENSCAFG00845028003	n.n.n	37588	ENSG00000224177	n.n.n	24282	one_to_one
ENSCAFG00845012599	lincDivg	ENSG00000134504	lincDivg	ENSCAFG00845012572;ENSCAFG00845012476	1.1.1;1.1.1	41118;57075	ENSG00000263677	n.1.1	28553	many_to_one
ENSCAFG00845009872	lincDivg	ENSG00000136011	lincDivg	ENSCAFG00845009755	1.1.1	62686	ENSG00000286197	1.1.1	15936	one_to_one
ENSCAFG00845012475	lincDivg	ENSG00000136997	lincDivg	ENSCAFG00845012441	n.1.1	40247	ENSG00000286010	1.1.1	64444	one_to_one
ENSCAFG00845020438	lincDivg	ENSG00000138061	lincDivg	ENSCAFG00845020563	1.1.1	48313	ENSG00000273006	1.1.1	83446	one_to_one
ENSCAFG00845016852	lincDivg	ENSG00000138642	lincDivg	ENSCAFG00845016779	1.1.1	12436	ENSG00000287181;ENSG00000286978	1.1.1;1.1.1	20316;17435	one_to_many
ENSCAFG00845030270	lincDivg	ENSG00000139174	lincDivg	ENSCAFG00845030254	1.1.1	72938	ENSG00000257114;ENSG00000257164	n.1.1;n.1.1	96840;56228	one_to_many
ENSCAFG00845004161	lincDivg	ENSG00000140521	lincDivg	ENSCAFG00845004193	n.1.1	30309	ENSG00000255571;ENSG00000289128	n.1.1;1.1.1	26718;65312	one_to_many
ENSCAFG00845004832	lincDivg	ENSG00000141404	lincDivg	ENSCAFG00845004812	1.1.1	59734	ENSG00000260759	1.1.1	19099	one_to_one
ENSCAFG00845023673	lincDivg	ENSG00000142186	lincDivg	ENSCAFG00845024037	1.1.1	22978	ENSG00000289259;ENSG00000289740;ENSG00000279243;ENSG00000290061;ENSG00000270117;ENSG00000289883	1.1.1;1.1.1;n.1.1;1.1.1;1.1.1;1.1.1	52810;17645;36363;32019;26460;47505	one_to_many
ENSCAFG00845004237	lincDivg	ENSG00000143333	lincDivg	ENSCAFG00845004244	1.1.1	7475	ENSG00000261504	1.1.1	10865	one_to_one
ENSCAFG00845020028	lincDivg	ENSG00000144191	lincDivg	ENSCAFG00845020262	1.1.1	11882	ENSG00000222000	n.n.1	0	one_to_one
ENSCAFG00845001601	lincDivg	ENSG00000145730	lincDivg	ENSCAFG00845001870;ENSCAFG00845001811;ENSCAFG00845001779;ENSCAFG00845001817;ENSCAFG00845001772;ENSCAFG00845001792;ENSCAFG00845001857;ENSCAFG00845001849	1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1	90067;45459;27675;58772;9326;32324;84023;74382	ENSG00000250682	n.1.1	82216	many_to_one
ENSCAFG00845003624	lincDivg	ENSG00000145934	lincDivg	ENSCAFG00845004062;ENSCAFG00845004083;ENSCAFG00845004030;ENSCAFG00845004051;ENSCAFG00845004057	1.1.1;1.1.1;1.1.1;1.1.1;1.1.1	66030;90353;28094;39609;57136	ENSG00000254130	1.1.1	52659	many_to_one
ENSCAFG00845028965	lincDivg	ENSG00000147481	lincDivg	ENSCAFG00845028799;ENSCAFG00845028818;ENSCAFG00845028782;ENSCAFG00845028831;ENSCAFG00845028807;ENSCAFG00845028793;ENSCAFG00845028825;ENSCAFG00845028784	1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1	44665;32693;90181;6069;39239;56480;25639;70734	ENSG00000253484	1.1.1	88845	many_to_one
ENSCAFG00845027626	lincDivg	ENSG00000152601	lincDivg	ENSCAFG00845027509	1.1.1	6495	ENSG00000289315;ENSG00000239941	n.1.1;1.1.1	38367;92104	one_to_many
ENSCAFG00845005948	lincDivg	ENSG00000157570	lincDivg	ENSCAFG00845005963	1.1.1	31831	ENSG00000255079	1.1.1	30164	one_to_one
ENSCAFG00845002794	lincDivg	ENSG00000162618	lincDivg	ENSCAFG00845002716	1.1.1	56218	ENSG00000285462;ENSG00000235011	1.1.1;1.1.1	42884;41645	one_to_many
ENSCAFG00845019687	lincDivg	ENSG00000163171	lincDivg	ENSCAFG00845019732;ENSCAFG00845019713;ENSCAFG00845019722	1.1.1;1.1.1;1.1.1	18491;6907;14516	ENSG00000236572	1.1.1	5865	many_to_one
ENSCAFG00845001461	lincDivg	ENSG00000164691	lincDivg	ENSCAFG00845001477	1.1.1	12248	ENSG00000224478	n.n.n	48941	one_to_one
ENSCAFG00845006790	lincDivg	ENSG00000165300	lincDivg	ENSCAFG00845006737	1.1.1	20733	ENSG00000272515	1.1.1	62137	one_to_one
ENSCAFG00845006897	lincDivg	ENSG00000165891	lincDivg	ENSCAFG00845007072	n.1.1	35013	ENSG00000286476	1.1.1	63609	one_to_one
ENSCAFG00845027576	lincDivg	ENSG00000168769	lincDivg	ENSCAFG00845027521;ENSCAFG00845027534;ENSCAFG00845027542	1.1.1;1.1.1;1.1.1	89114;68903;10840	ENSG00000251259	1.1.1	5256	many_to_one
ENSCAFG00845029066	lincDivg	ENSG00000169067	lincDivg	ENSCAFG00845029078	1.1.1	90377	ENSG00000249436	n.1.1	91216	one_to_one
ENSCAFG00845027603	lincDivg	ENSG00000169122	lincDivg	ENSCAFG00845027574;ENSCAFG00845027556;ENSCAFG00845027596;ENSCAFG00845027568;ENSCAFG00845027579;ENSCAFG00845027589;ENSCAFG00845027561	1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1	49740;98802;10662;55651;28858;22677;72597	ENSG00000253376	n.1.1	60194	many_to_one
ENSCAFG00845027205	lincDivg	ENSG00000169813	lincDivg	ENSCAFG00845027146	1.1.1	26259	ENSG00000230555	1.1.1	11552	one_to_one
ENSCAFG00845013162	lincDivg	ENSG00000170485	lincDivg	ENSCAFG00845016009;ENSCAFG00845015993	1.1.1;1.1.1	27634;11600	ENSG00000228488	1.1.1	97257	many_to_one
ENSCAFG00845030131	lincDivg	ENSG00000174004	lincDivg	ENSCAFG00845030117	1.1.1	9384	ENSG00000232065	1.1.1	6994	one_to_one
ENSCAFG00845016273	lincDivg	ENSG00000174749	lincDivg	ENSCAFG00845016219	n.1.1	30821	ENSG00000249815	n.1.1	33181	one_to_one
ENSCAFG00845011762	lincDivg	ENSG00000175866	lincDivg	ENSCAFG00845012132	1.1.1	12550	ENSG00000262873;ENSG00000262098	n.n.n;1.1.1	7043;9619	one_to_many
ENSCAFG00845002712	lincDivg	ENSG00000176715	lincDivg	ENSCAFG00845002775;ENSCAFG00845002749	n.n.n;1.1.1	22639;5819	ENSG00000256982	n.1.1	35400	many_to_one
ENSCAFG00845010071	lincDivg	ENSG00000177706	lincDivg	ENSCAFG00845010130	n.1.1	37151	ENSG00000232325;ENSG00000287883;ENSG00000261795;ENSG00000242474	1.1.1;1.1.1;1.1.1;n.1.1	96888;60537;27599;43044	one_to_many
ENSCAFG00845021949	lincDivg	ENSG00000181092	lincDivg	ENSCAFG00845021899	1.1.1	8454	ENSG00000289971	1.1.1	15154	one_to_one
ENSCAFG00845004496	lincDivg	ENSG00000182985	lincDivg	ENSCAFG00845004453;ENSCAFG00845004447;ENSCAFG00845004450;ENSCAFG00845004442;ENSCAFG00845004457;ENSCAFG00845004437	1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1	25187;65947;40240;72090;19399;90195	ENSG00000255689	n.1.1	77326	many_to_one
ENSCAFG00845013831	lincDivg	ENSG00000183779	lincDivg	ENSCAFG00845013845	n.1.1	40630	ENSG00000253344;ENSG00000254306;ENSG00000254290	1.1.1;1.1.1;n.1.1	21395;69909;95924	one_to_many
ENSCAFG00845012052	lincDivg	ENSG00000186654	lincDivg	ENSCAFG00845012224	1.1.1	11813	ENSG00000234300	1.1.1	43128	one_to_one
ENSCAFG00845029957	lincDivg	ENSG00000187969	lincDivg	ENSCAFG00845029920	n.1.1	11907	ENSG00000271533;ENSG00000230590	1.1.1;n.1.1	90520;10606	one_to_many
ENSCAFG00845003431	lincDivg	ENSG00000198081	lincDivg	ENSCAFG00845003440	1.1.1	10330	ENSG00000264254	1.1.1	13343	one_to_one
ENSCAFG00845006185	lincDivg	ENSG00000198894	lincDivg	ENSCAFG00845006155	1.1.1	26288	ENSG00000258473;ENSG00000258819	1.1.1;n.1.1	11669;21734	one_to_many
ENSCAFG00845000212	lincDivg	ENSG00000198961	lincDivg	ENSCAFG00845000198;ENSCAFG00845000192;ENSCAFG00845000186	1.1.1;n.1.1;1.1.1	13843;33764;96327	ENSG00000248440;ENSG00000251367;ENSG00000248876	1.1.1;1.1.1;1.1.1	87903;57379;60869	many_to_many_strict
ENSCAFG00845001964	lincDivg	ENSG00000205359	lincDivg	ENSCAFG00845001893	1.1.1	29882	ENSG00000250958	1.1.1	82352	one_to_one
ENSCAFG00845019777	lincSS.dw	ENSG00000030419	lincSS.dw	ENSCAFG00845019690	n.1.1	59389	ENSG00000286965	1.1.1	62171	one_to_one
ENSCAFG00845003515	lincSS.dw	ENSG00000065559	lincSS.dw	ENSCAFG00845003575;ENSCAFG00845003570	1.1.1;1.1.1	38755;31623	ENSG00000265400	1.1.1	57770	many_to_one
ENSCAFG00845027248	lincSS.dw	ENSG00000068784	lincSS.dw	ENSCAFG00845027133;ENSCAFG00845027119	1.1.1;1.1.1	28850;96169	ENSG00000205054	n.1.1	65283	many_to_one
ENSCAFG00845000506	lincSS.dw	ENSG00000074771	lincSS.dw	ENSCAFG00845000496	1.1.1	23703	ENSG00000232529	1.1.1	14185	one_to_one
ENSCAFG00845013638	lincSS.dw	ENSG00000075884	lincSS.dw	ENSCAFG00845013756	1.1.1	10436	ENSG00000236356	1.1.1	31115	one_to_one
ENSCAFG00845003856	lincSS.dw	ENSG00000077420	lincSS.dw	ENSCAFG00845003841	1.1.1	7771	ENSG00000290444	1.1.1	22062	one_to_one
ENSCAFG00845017289	lincSS.dw	ENSG00000081189	lincSS.dw	ENSCAFG00845017914	n.1.1	31504	ENSG00000250377;ENSG00000245526	n.1.1;n.1.1	22076;26060	one_to_many
ENSCAFG00845029408	lincSS.dw	ENSG00000091656	lincSS.dw	ENSCAFG00845029487	1.1.1	40993	ENSG00000253416	1.1.1	37310	one_to_one
ENSCAFG00845028176	lincSS.dw	ENSG00000092969	lincSS.dw	ENSCAFG00845028269;ENSCAFG00845028245	n.1.1;n.1.1	50291;20053	ENSG00000228208	n.1.1	14646	many_to_one
ENSCAFG00845022093	lincSS.dw	ENSG00000102781	lincSS.dw	ENSCAFG00845022182	1.1.1	21135	ENSG00000224511;ENSG00000232117	n.1.1;n.1.1	93735;43009	one_to_many
ENSCAFG00845004605	lincSS.dw	ENSG00000103196	lincSS.dw	ENSCAFG00845004596	1.1.1	13044	ENSG00000260340	1.1.1	7585	one_to_one
ENSCAFG00845009080	lincSS.dw	ENSG00000107186	lincSS.dw	ENSCAFG00845008854	n.1.1	54617	ENSG00000285637	n.1.1	71380	one_to_one
ENSCAFG00845007821	lincSS.dw	ENSG00000109606	lincSS.dw	ENSCAFG00845007874;ENSCAFG00845007915	n.1.1;1.1.1	35573;66646	ENSG00000289201	n.1.1	44490	many_to_one
ENSCAFG00845008311	lincSS.dw	ENSG00000109819	lincSS.dw	ENSCAFG00845008707	1.1.1	7394	ENSG00000251292	1.1.1	21462	one_to_one
ENSCAFG00845029309	lincSS.dw	ENSG00000111452	lincSS.dw	ENSCAFG00845029182	1.1.1	49769	ENSG00000204603	n.1.1	23542	one_to_one
ENSCAFG00845013920	lincSS.dw	ENSG00000113648	lincSS.dw	ENSCAFG00845013909	1.1.1	13127	ENSG00000249647	n.1.1	86202	one_to_one
ENSCAFG00845006622	lincSS.dw	ENSG00000115091	lincSS.dw	ENSCAFG00845006543	n.1.1	51562	ENSG00000234199;ENSG00000243179	n.1.1;1.1.1	16272;17313	one_to_many
ENSCAFG00845027249	lincSS.dw	ENSG00000115998	lincSS.dw	ENSCAFG00845027211	n.1.1	14290	ENSG00000231327	n.1.1	16962	one_to_one
ENSCAFG00845013765	lincSS.dw	ENSG00000118492	lincSS.dw	ENSCAFG00845013941	n.1.1	59587	ENSG00000227748	n.1.1	39521	one_to_one
ENSCAFG00845020596	lincSS.dw	ENSG00000119787	lincSS.dw	ENSCAFG00845020505	n.n.n	21942	ENSG00000227292	1.1.1	54364	one_to_one
ENSCAFG00845010164	lincSS.dw	ENSG00000119900	lincSS.dw	ENSCAFG00845010257;ENSCAFG00845010245;ENSCAFG00845010224;ENSCAFG00845010279;ENSCAFG00845010265;ENSCAFG00845010213;ENSCAFG00845010228	1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1	66802;43961;32174;96713;81093;22661;39287	ENSG00000230597	1.1.1	19883	many_to_one
