PCG.Mus_musculus	conf.Mus_musculus	PCG.Canis_lupus_familiaris	conf.Canis_lupus_familiaris	lncRNA.Mus_musculus	class.Mus_musculus	distance.Mus_musculus	lncRNA.Canis_lupus_familiaris	class.Canis_lupus_familiaris	distance.Canis_lupus_familiaris	orthology_type.Mus_musculus-Canis_lupus_familiaris
ENSMUSG00000055435	lincConv	ENSCAFG00845021165	lincConv	ENSMUSG00000110592	1.1.1	87790	ENSCAFG00845021356;ENSCAFG00845021337;ENSCAFG00845021260;ENSCAFG00845021365;ENSCAFG00845021391	1.1.1;1.1.1;1.1.1;1.1.1;1.1.1	45425;26326;5106;83124;96412	one_to_many
ENSMUSG00000032977	lincConv	ENSCAFG00845021885	lincConv	ENSMUSG00000112818	1.1.1	15032	ENSCAFG00845021920	1.1.1	7938	one_to_one
ENSMUSG00000032368	lincConv	ENSCAFG00845021895	lincConv	ENSMUSG00000101608	1.1.1	17180	ENSCAFG00845021980;ENSCAFG00845021968	1.1.1;1.1.1	91194;27649	one_to_many
ENSMUSG00000041298	lincConv	ENSCAFG00845022093	lincConv	ENSMUSG00000087647;ENSMUSG00000085740	1.1.1;1.1.1	33786;88504	ENSCAFG00845022177	1.1.1	7152	many_to_one
ENSMUSG00000026395	lincConv	ENSCAFG00845023211	lincConv	ENSMUSG00000098206;ENSMUSG00000098243	1.1.1;n.1.1	92943;53083	ENSCAFG00845022979	1.1.1	17992	many_to_one
ENSMUSG00000036574	lincConv	ENSCAFG00845023927	lincConv	ENSMUSG00000120706	1.1.1	13980	ENSCAFG00845023947	1.1.1	14489	one_to_one
ENSMUSG00000041660	lincConv	ENSCAFG00845025022	lincConv	ENSMUSG00000085444	1.1.1	6566	ENSCAFG00845025115	1.1.1	54503	one_to_one
ENSMUSG00000029641	lincConv	ENSCAFG00845025821	lincConv	ENSMUSG00000120797	1.1.1	34891	ENSCAFG00845025799	1.1.1	48400	one_to_one
ENSMUSG00000027011	lincConv	ENSCAFG00845026988	lincConv	ENSMUSG00000120236	1.1.1	43201	ENSCAFG00845027055;ENSCAFG00845027042;ENSCAFG00845027064	1.1.1;1.1.1;1.1.1	12761;9398;51007	one_to_many
ENSMUSG00000027346	lincConv	ENSCAFG00845027927	lincConv	ENSMUSG00000086379	n.1.1	15180	ENSCAFG00845028099	1.1.1	42257	one_to_one
ENSMUSG00000057469	lincConv	ENSCAFG00845028092	lincConv	ENSMUSG00000114018	n.1.1	5139	ENSCAFG00845028042;ENSCAFG00845028027	1.1.1;1.1.1	19427;26040	one_to_many
ENSMUSG00000037104	lincConv	ENSCAFG00845028095	lincConv	ENSMUSG00000117384	1.1.1	54377	ENSCAFG00845028119	1.1.1	5545	one_to_one
ENSMUSG00000039983	lincConv	ENSCAFG00845028623	lincConv	ENSMUSG00000084802	1.1.1	17095	ENSCAFG00845028611	1.1.1	12968	one_to_one
ENSMUSG00000027797	lincConv	ENSCAFG00845028832	lincConv	ENSMUSG00000106334	1.1.1	39037	ENSCAFG00845029051	1.1.1	6766	one_to_one
ENSMUSG00000043301	lincConv	ENSCAFG00845028925	lincConv	ENSMUSG00000120726	1.1.1	23589	ENSCAFG00845028902	n.1.1	35952	one_to_one
ENSMUSG00000025078	lincConv	ENSCAFG00845030495	lincConv	ENSMUSG00000117890	1.1.1	53008	ENSCAFG00845030508	1.1.1	23364	one_to_one
ENSMUSG00000047434	lincConv	ENSCAFG00845030777	lincConv	ENSMUSG00000116737	1.1.1	73495	ENSCAFG00845030802;ENSCAFG00845030807	1.1.1;1.1.1	13820;56290	one_to_many
ENSMUSG00000033499	lincDivg	ENSCAFG00845000398	lincDivg	ENSMUSG00000113543	n.n.n	17460	ENSCAFG00845000368	1.1.1	21159	one_to_one
ENSMUSG00000002107	lincDivg	ENSCAFG00845000818	lincDivg	ENSMUSG00000099424	1.1.1	20376	ENSCAFG00845000985	1.1.1	99397	one_to_one
ENSMUSG00000024897	lincDivg	ENSCAFG00845000845	lincDivg	ENSMUSG00000117685	1.1.1	10886	ENSCAFG00845000824	1.1.1	7589	one_to_one
ENSMUSG00000031672	lincDivg	ENSCAFG00845001418	lincDivg	ENSMUSG00000110634	1.1.1	22027	ENSCAFG00845001405	1.1.1	65246	one_to_one
ENSMUSG00000026335	lincDivg	ENSCAFG00845001601	lincDivg	ENSMUSG00000100711;ENSMUSG00000100182	1.1.1;n.1.1	78002;35783	ENSCAFG00845001870;ENSCAFG00845001772;ENSCAFG00845001811;ENSCAFG00845001817;ENSCAFG00845001849;ENSCAFG00845001792;ENSCAFG00845001779;ENSCAFG00845001857	1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1	90067;9326;45459;58772;74382;32324;27675;84023	many_to_many
ENSMUSG00000024924	lincDivg	ENSCAFG00845002345	lincDivg	ENSMUSG00000118020	1.1.1	24475	ENSCAFG00845002310	1.1.1	94183	one_to_one
ENSMUSG00000078671	lincDivg	ENSCAFG00845002446	lincDivg	ENSMUSG00000108311;ENSMUSG00000120135;ENSMUSG00000108724	1.1.1;1.1.1;n.1.1	88787;16976;67118	ENSCAFG00845002719;ENSCAFG00845002714;ENSCAFG00845002709	1.1.1;1.1.1;1.1.1	35318;15730;5818	many_to_many_strict
ENSMUSG00000040600	lincDivg	ENSCAFG00845002452	lincDivg	ENSMUSG00000106426	1.1.1	43690	ENSCAFG00845002404	n.n.n	17207	one_to_one
ENSMUSG00000015016	lincDivg	ENSCAFG00845002712	lincDivg	ENSMUSG00000110682;ENSMUSG00000110523	n.1.1;n.n.n	12465;23094	ENSCAFG00845002775;ENSCAFG00845002749	n.n.n;1.1.1	22639;5819	many_to_many_strict
ENSMUSG00000039176	lincDivg	ENSCAFG00845004161	lincDivg	ENSMUSG00000097023	n.1.1	32746	ENSCAFG00845004193	n.1.1	30309	one_to_one
ENSMUSG00000037628	lincDivg	ENSCAFG00845004444	lincDivg	ENSMUSG00000115015;ENSMUSG00000115690	1.1.1;1.1.1	86766;14142	ENSCAFG00845004412	1.1.1	71871	many_to_one
ENSMUSG00000041482	lincDivg	ENSCAFG00845004756	lincDivg	ENSMUSG00000097980	n.1.1	12031	ENSCAFG00845004802	1.1.1	87526	one_to_one
ENSMUSG00000024524	lincDivg	ENSCAFG00845004832	lincDivg	ENSMUSG00000117868	1.1.1	56698	ENSCAFG00845004812	1.1.1	59734	one_to_one
ENSMUSG00000045394	lincDivg	ENSCAFG00845005300	lincDivg	ENSMUSG00000117414	1.1.1	64325	ENSCAFG00845005280	1.1.1	28996	one_to_one
ENSMUSG00000019256	lincDivg	ENSCAFG00845005867	lincDivg	ENSMUSG00000113580;ENSMUSG00000113548	1.1.1;1.1.1	10993;67506	ENSCAFG00845005851;ENSCAFG00845005842	1.1.1;1.1.1	77454;97635	many_to_many_strict
ENSMUSG00000039405	lincDivg	ENSCAFG00845006550	lincDivg	ENSMUSG00000108875	1.1.1	25179	ENSCAFG00845006577	1.1.1	42939	one_to_one
ENSMUSG00000037410	lincDivg	ENSCAFG00845006735	lincDivg	ENSMUSG00000111666	1.1.1	32996	ENSCAFG00845006787	1.1.1	7264	one_to_one
ENSMUSG00000038594	lincDivg	ENSCAFG00845006869	lincDivg	ENSMUSG00000112132	1.1.1	29935	ENSCAFG00845007067	1.1.1	31387	one_to_one
ENSMUSG00000026766	lincDivg	ENSCAFG00845007815	lincDivg	ENSMUSG00000115545	1.1.1	83599	ENSCAFG00845007953	n.n.n	83984	one_to_one
ENSMUSG00000038151	lincDivg	ENSCAFG00845007842	lincDivg	ENSMUSG00000111535	n.1.1	70219	ENSCAFG00845007796	n.1.1	85930	one_to_one
ENSMUSG00000028284	lincDivg	ENSCAFG00845008051	lincDivg	ENSMUSG00000120487	1.1.1	86548	ENSCAFG00845008142	1.1.1	23533	one_to_one
ENSMUSG00000017144	lincDivg	ENSCAFG00845008171	lincDivg	ENSMUSG00000100496;ENSMUSG00000086349	1.1.1;1.1.1	70271;92720	ENSCAFG00845008214;ENSCAFG00845008226	1.1.1;1.1.1	72032;80194	many_to_many_strict
ENSMUSG00000068798	lincDivg	ENSCAFG00845008254	lincDivg	ENSMUSG00000104835	n.1.1	14190	ENSCAFG00845008321	n.1.1	18042	one_to_one
ENSMUSG00000024578	lincDivg	ENSCAFG00845009566	lincDivg	ENSMUSG00000120623;ENSMUSG00000097324	1.1.1;n.1.1	38208;19350	ENSCAFG00845009524	n.1.1	24367	many_to_one
ENSMUSG00000032350	lincDivg	ENSCAFG00845010300	lincDivg	ENSMUSG00000111225;ENSMUSG00000111014	1.1.1;1.1.1	24256;21267	ENSCAFG00845010420	n.n.n	12417	many_to_one
ENSMUSG00000039910	lincDivg	ENSCAFG00845010679	lincDivg	ENSMUSG00000112629	1.1.1	64705	ENSCAFG00845010736	n.1.1	40103	one_to_one
ENSMUSG00000061306	lincDivg	ENSCAFG00845010883	lincDivg	ENSMUSG00000120866	1.1.1	13407	ENSCAFG00845010842;ENSCAFG00845010820	1.1.1;1.1.1	34810;39093	one_to_many
ENSMUSG00000038733	lincDivg	ENSCAFG00845012382	lincDivg	ENSMUSG00000054135	n.1.1	13985	ENSCAFG00845012343	n.1.1	14686	one_to_one
ENSMUSG00000036225	lincDivg	ENSCAFG00845012599	lincDivg	ENSMUSG00000117613	n.1.1	43277	ENSCAFG00845012572;ENSCAFG00845012476	1.1.1;1.1.1	41118;57075	one_to_many
ENSMUSG00000038400	lincDivg	ENSCAFG00845013029	lincDivg	ENSMUSG00000121269	1.1.1	14722	ENSCAFG00845013079	1.1.1	40638	one_to_one
ENSMUSG00000028519	lincDivg	ENSCAFG00845013616	lincDivg	ENSMUSG00000087482	1.1.1	68677	ENSCAFG00845007606;ENSCAFG00845013530;ENSCAFG00845013538;ENSCAFG00845013519;ENSCAFG00845013523;ENSCAFG00845013510;ENSCAFG00845013503;ENSCAFG00845013537;ENSCAFG00845007595;ENSCAFG00845013508	1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1	86175;36708;7813;58394;45705;64311;79113;24183;98710;77802	one_to_many
ENSMUSG00000085795	lincDivg	ENSCAFG00845013831	lincDivg	ENSMUSG00000100335	n.1.1	92945	ENSCAFG00845013845	n.1.1	40630	one_to_one
ENSMUSG00000032011	lincDivg	ENSCAFG00845014436	lincDivg	ENSMUSG00000111637;ENSMUSG00000111758	1.1.1;n.1.1	63907;73131	ENSCAFG00845014420	1.1.1	28458	many_to_one
ENSMUSG00000027506	lincDivg	ENSCAFG00845014452	lincDivg	ENSMUSG00000103116	1.1.1	57241	ENSCAFG00845014581	1.1.1	89558	one_to_one
ENSMUSG00000019790	lincDivg	ENSCAFG00845014465	lincDivg	ENSMUSG00000101621	n.1.1	75548	ENSCAFG00845013934	n.n.n	76679	one_to_one
ENSMUSG00000027508	lincDivg	ENSCAFG00845014770	lincDivg	ENSMUSG00000120107	1.1.1	19588	ENSCAFG00845014816;ENSCAFG00845014794;ENSCAFG00845014805;ENSCAFG00845014811;ENSCAFG00845014799	1.1.1;1.1.1;1.1.1;1.1.1;1.1.1	50967;8329;33701;40583;26692	one_to_many
ENSMUSG00000038173	lincDivg	ENSCAFG00845015469	lincDivg	ENSMUSG00000109759	1.1.1	38088	ENSCAFG00845015446	1.1.1	23751	one_to_one
ENSMUSG00000025608	lincDivg	ENSCAFG00845015545	lincDivg	ENSMUSG00000086804;ENSMUSG00000086732	n.1.1;1.1.1	41209;10986	ENSCAFG00845015499	1.1.1	55714	many_to_one
ENSMUSG00000050549	lincDivg	ENSCAFG00845016273	lincDivg	ENSMUSG00000104763;ENSMUSG00000106437	n.1.1;1.1.1	19844;74385	ENSCAFG00845016219	n.1.1	30821	many_to_one
ENSMUSG00000076431	lincDivg	ENSCAFG00845017149	lincDivg	ENSMUSG00000086363	n.1.1	60545	ENSCAFG00845017101;ENSCAFG00845017123	1.1.1;1.1.1	57335;35692	one_to_many
ENSMUSG00000019843	lincDivg	ENSCAFG00845017640	lincDivg	ENSMUSG00000111183	1.1.1	45438	ENSCAFG00845018173;ENSCAFG00845018158	1.1.1;1.1.1	13292;6862	one_to_many
ENSMUSG00000048304	lincDivg	ENSCAFG00845018138	lincDivg	ENSMUSG00000103428	n.1.1	8487	ENSCAFG00845018201	n.1.1	12325	one_to_one
ENSMUSG00000032532	lincDivg	ENSCAFG00845019239	lincDivg	ENSMUSG00000110814	1.1.1	27881	ENSCAFG00845019292	1.1.1	10014	one_to_one
ENSMUSG00000021944	lincDivg	ENSCAFG00845019258	lincDivg	ENSMUSG00000114898	n.n.n	45990	ENSCAFG00845019352	1.1.1	18993	one_to_one
ENSMUSG00000022883	lincDivg	ENSCAFG00845020071	lincDivg	ENSMUSG00000116769	n.1.1	73979	ENSCAFG00845019932;ENSCAFG00845019893;ENSCAFG00845019904;ENSCAFG00845019942;ENSCAFG00845019915;ENSCAFG00845019958	1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1	34751;59068;54550;20570;44301;15092	one_to_many
ENSMUSG00000024087	lincDivg	ENSCAFG00845020438	lincDivg	ENSMUSG00000117426;ENSMUSG00000117616	1.1.1;1.1.1	18813;56901	ENSCAFG00845020563	1.1.1	48313	many_to_one
ENSMUSG00000019577	lincDivg	ENSCAFG00845021015	lincDivg	ENSMUSG00000120672	1.1.1	14862	ENSCAFG00845021189	1.1.1	39574	one_to_one
ENSMUSG00000000489	lincDivg	ENSCAFG00845022039	lincDivg	ENSMUSG00000120517	1.1.1	9512	ENSCAFG00845021997	1.1.1	17671	one_to_one
ENSMUSG00000075224	lincDivg	ENSCAFG00845022276	lincDivg	ENSMUSG00000085025	1.1.1	36478	ENSCAFG00845022291	1.1.1	5024	one_to_one
ENSMUSG00000020023	lincDivg	ENSCAFG00845022396	lincDivg	ENSMUSG00000053420	1.1.1	13246	ENSCAFG00845022473	1.1.1	66060	one_to_one
ENSMUSG00000022637	lincDivg	ENSCAFG00845022767	lincDivg	ENSMUSG00000116725	n.1.1	25730	ENSCAFG00845023181	1.1.1	47182	one_to_one
ENSMUSG00000047171	lincDivg	ENSCAFG00845022921	lincDivg	ENSMUSG00000110035	n.1.1	68580	ENSCAFG00845022968	n.n.n	42173	one_to_one
ENSMUSG00000032289	lincDivg	ENSCAFG00845022941	lincDivg	ENSMUSG00000111809	n.1.1	5167	ENSCAFG00845022886;ENSCAFG00845022908	1.1.1;1.1.1	38206;24426	one_to_many
ENSMUSG00000029648	lincDivg	ENSCAFG00845023188	lincDivg	ENSMUSG00000106845	1.1.1	19505	ENSCAFG00845022967;ENSCAFG00845022973	1.1.1;1.1.1	71573;39024	one_to_many
ENSMUSG00000021991	lincDivg	ENSCAFG00845026635	lincDivg	ENSMUSG00000114815	n.1.1	13480	ENSCAFG00845027201	1.1.1	55453	one_to_one
ENSMUSG00000056155	lincDivg	ENSCAFG00845026758	lincDivg	ENSMUSG00000120667	1.1.1	12193	ENSCAFG00845026817	1.1.1	6692	one_to_one
ENSMUSG00000022967	lincDivg	ENSCAFG00845026778	lincDivg	ENSMUSG00000116987	n.n.n	20349	ENSCAFG00845026725	1.1.1	14565	one_to_one
ENSMUSG00000049119	lincDivg	ENSCAFG00845027603	lincDivg	ENSMUSG00000087099	1.1.1	92867	ENSCAFG00845027574;ENSCAFG00845027556;ENSCAFG00845027596;ENSCAFG00845027568;ENSCAFG00845027579;ENSCAFG00845027589;ENSCAFG00845027561	1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1	49740;98802;10662;55651;28858;22677;72597	one_to_many
ENSMUSG00000055194	lincDivg	ENSCAFG00845029066	lincDivg	ENSMUSG00000114824	1.1.1	25582	ENSCAFG00845029078	1.1.1	90377	one_to_one
ENSMUSG00000031330	lincDivg	ENSCAFG00845029957	lincDivg	ENSMUSG00000086370	n.1.1	13632	ENSCAFG00845029920	n.1.1	11907	one_to_one
ENSMUSG00000036158	lincDivg	ENSCAFG00845030270	lincDivg	ENSMUSG00000121167	1.1.1	15918	ENSCAFG00845030254	1.1.1	72938	one_to_one
ENSMUSG00000051586	lincDivg	ENSCAFG00845030774	lincDivg	ENSMUSG00000119973	n.1.1	6435	ENSCAFG00845030897	1.1.1	19335	one_to_one
ENSMUSG00000030549	lincSS.dw	ENSCAFG00845000295	lincSS.dw	ENSMUSG00000108373	n.1.1	14284	ENSCAFG00845000253	1.1.1	34105	one_to_one
ENSMUSG00000000078	lincSS.dw	ENSCAFG00845003083	lincSS.dw	ENSMUSG00000113757;ENSMUSG00000113017	1.1.1;n.1.1	16715;45399	ENSCAFG00845003152;ENSCAFG00845003118	1.1.1;n.1.1	89339;23238	many_to_many_strict
ENSMUSG00000033352	lincSS.dw	ENSCAFG00845003515	lincSS.dw	ENSMUSG00000120678	n.1.1	38391	ENSCAFG00845003575;ENSCAFG00845003570	1.1.1;1.1.1	38755;31623	one_to_many
ENSMUSG00000059060	lincSS.dw	ENSCAFG00845003641	lincSS.dw	ENSMUSG00000120447	1.1.1	76598	ENSCAFG00845003665	1.1.1	40323	one_to_one
ENSMUSG00000000420	lincSS.dw	ENSCAFG00845004806	lincSS.dw	ENSMUSG00000117570	1.1.1	52548	ENSCAFG00845004791;ENSCAFG00845004796	1.1.1;1.1.1	63030;54334	one_to_many
ENSMUSG00000020522	lincSS.dw	ENSCAFG00845005006	lincSS.dw	ENSMUSG00000086028	1.1.1	38697	ENSCAFG00845005001	1.1.1	8073	one_to_one
ENSMUSG00000037542	lincSS.dw	ENSCAFG00845005024	lincSS.dw	ENSMUSG00000037535	n.1.1	22773	ENSCAFG00845005022	n.1.1	10446	one_to_one
ENSMUSG00000021557	lincSS.dw	ENSCAFG00845005286	lincSS.dw	ENSMUSG00000114200;ENSMUSG00000114623	1.1.1;n.1.1	36441;26488	ENSCAFG00845005327	1.1.1	74697	many_to_one
ENSMUSG00000035759	lincSS.dw	ENSCAFG00845006103	lincSS.dw	ENSMUSG00000112246	1.1.1	35397	ENSCAFG00845006077	n.1.1	10190	one_to_one
ENSMUSG00000032913	lincSS.dw	ENSCAFG00845006193	lincSS.dw	ENSMUSG00000022187	1.1.1	29805	ENSCAFG00845006164	1.1.1	8693	one_to_one
ENSMUSG00000028909	lincSS.dw	ENSCAFG00845007699	lincSS.dw	ENSMUSG00000086856;ENSMUSG00000087171	1.1.1;n.1.1	57949;90612	ENSCAFG00845007539	1.1.1	53696	many_to_one
ENSMUSG00000038740	lincSS.dw	ENSCAFG00845008402	lincSS.dw	ENSMUSG00000085463	1.1.1	11054	ENSCAFG00845008346	1.1.1	10946	one_to_one
ENSMUSG00000037492	lincSS.dw	ENSCAFG00845008865	lincSS.dw	ENSMUSG00000109419;ENSMUSG00000053979	1.1.1;1.1.1	63925;17319	ENSCAFG00845009050;ENSCAFG00845009060	1.1.1;1.1.1	11816;20567	many_to_many_strict
ENSMUSG00000102692	lincSS.dw	ENSCAFG00845009547	lincSS.dw	ENSMUSG00000103459	1.1.1	46193	ENSCAFG00845009507	1.1.1	5715	one_to_one
ENSMUSG00000020461	lincSS.dw	ENSCAFG00845010710	lincSS.dw	ENSMUSG00000086707	1.1.1	17420	ENSCAFG00845010646;ENSCAFG00845010660	1.1.1;n.1.1	56141;12373	one_to_many
ENSMUSG00000053141	lincSS.dw	ENSCAFG00845011487	lincSS.dw	ENSMUSG00000100943	1.1.1	7978	ENSCAFG00845011168;ENSCAFG00845011159	1.1.1;1.1.1	39576;82356	one_to_many
ENSMUSG00000054469	lincSS.dw	ENSCAFG00845011833	lincSS.dw	ENSMUSG00000117292	n.1.1	7618	ENSCAFG00845011860	n.n.n	20069	one_to_one
ENSMUSG00000052302	lincSS.dw	ENSCAFG00845011871	lincSS.dw	ENSMUSG00000112846	1.1.1	61171	ENSCAFG00845012102	n.1.1	44450	one_to_one
ENSMUSG00000038954	lincSS.dw	ENSCAFG00845012174	lincSS.dw	ENSMUSG00000117044	1.1.1	27947	ENSCAFG00845012139	1.1.1	20726	one_to_one
ENSMUSG00000022346	lincSS.dw	ENSCAFG00845012475	lincSS.dw	ENSMUSG00000097039	n.1.1	47594	ENSCAFG00845012649;ENSCAFG00845012589	1.1.1;n.1.1	47755;45154	one_to_many
ENSMUSG00000061898	lincSS.dw	ENSCAFG00845012858	lincSS.dw	ENSMUSG00000104529	n.1.1	6435	ENSCAFG00845013133	1.1.1	5797	one_to_one
ENSMUSG00000050994	lincSS.dw	ENSCAFG00845013765	lincSS.dw	ENSMUSG00000112573	1.1.1	38774	ENSCAFG00845013941	n.1.1	59587	one_to_one
ENSMUSG00000043592	lincSS.dw	ENSCAFG00845014744	lincSS.dw	ENSMUSG00000117019	1.1.1	17019	ENSCAFG00845014729	1.1.1	13884	one_to_one
ENSMUSG00000036867	lincSS.dw	ENSCAFG00845016415	lincSS.dw	ENSMUSG00000111058	n.1.1	11274	ENSCAFG00845016520	1.1.1	68904	one_to_one
ENSMUSG00000005583	lincSS.dw	ENSCAFG00845017289	lincSS.dw	ENSMUSG00000050334	n.1.1	48182	ENSCAFG00845017914	n.1.1	31504	one_to_one
ENSMUSG00000028578	lincSS.dw	ENSCAFG00845017294	lincSS.dw	ENSMUSG00000087128;ENSMUSG00000085931	n.1.1;1.1.1	22843;74493	ENSCAFG00845017261;ENSCAFG00845017276	1.1.1;1.1.1	36896;9479	many_to_many_strict
ENSMUSG00000054720	lincSS.dw	ENSCAFG00845017546	lincSS.dw	ENSMUSG00000120245	1.1.1	38319	ENSCAFG00845017486	n.n.n	84801	one_to_one
ENSMUSG00000038215	lincSS.dw	ENSCAFG00845017832	lincSS.dw	ENSMUSG00000110310	1.1.1	46554	ENSCAFG00845017925	n.1.1	12060	one_to_one
ENSMUSG00000036450	lincSS.dw	ENSCAFG00845018163	lincSS.dw	ENSMUSG00000117911	n.1.1	38466	ENSCAFG00845018305;ENSCAFG00845018236;ENSCAFG00845018293;ENSCAFG00845018273;ENSCAFG00845018257	1.1.1;1.1.1;1.1.1;1.1.1;1.1.1	50198;7964;42110;28801;17665	one_to_many
ENSMUSG00000028266	lincSS.dw	ENSCAFG00845019328	lincSS.dw	ENSMUSG00000106367	1.1.1	52776	ENSCAFG00845019287;ENSCAFG00845019310	1.1.1;1.1.1	33119;19753	one_to_many
ENSMUSG00000022404	lincSS.dw	ENSCAFG00845019500	lincSS.dw	ENSMUSG00000115970	n.n.n	6045	ENSCAFG00845019637	1.1.1	10854	one_to_one
ENSMUSG00000025997	lincSS.dw	ENSCAFG00845019777	lincSS.dw	ENSMUSG00000100354	1.1.1	37426	ENSCAFG00845019690	n.1.1	59389	one_to_one
ENSMUSG00000032540	lincSS.dw	ENSCAFG00845020085	lincSS.dw	ENSMUSG00000111192	1.1.1	40612	ENSCAFG00845020062	1.1.1	55280	one_to_one
ENSMUSG00000033510	lincSS.dw	ENSCAFG00845020217	lincSS.dw	ENSMUSG00000108421	1.1.1	6846	ENSCAFG00845020598	1.1.1	15898	one_to_one
