PCG.Homo_sapiens	conf.Homo_sapiens	PCG.Canis_lupus_familiaris	conf.Canis_lupus_familiaris	lncRNA.Homo_sapiens	class.Homo_sapiens	distance.Homo_sapiens	lncRNA.Canis_lupus_familiaris	class.Canis_lupus_familiaris	distance.Canis_lupus_familiaris	orthology_type.Homo_sapiens-Canis_lupus_familiaris
ENSG00000155093	lincConv	ENSCAFG00845014242	lincConv	ENSG00000223872;ENSG00000234210;ENSG00000233191	n.1.1;1.1.1;n.1.1	35148;39340;20398	ENSCAFG00845014177	1.1.1	26556	many_to_one
ENSG00000083642	lincConv	ENSCAFG00845014958	lincConv	ENSG00000226968	1.1.1	99412	ENSCAFG00845014882	1.1.1	7248	one_to_one
ENSG00000197056	lincConv	ENSCAFG00845015149	lincConv	ENSG00000284640	1.1.1	25656	ENSCAFG00845015108	1.1.1	7136	one_to_one
ENSG00000184640	lincConv	ENSCAFG00845015543	lincConv	ENSG00000267466	1.1.1	62772	ENSCAFG00845015466	1.1.1	7735	one_to_one
ENSG00000167889	lincConv	ENSCAFG00845015937	lincConv	ENSG00000267521	1.1.1	6630	ENSCAFG00845015860	n.1.1	29943	one_to_one
ENSG00000122482	lincConv	ENSCAFG00845016789	lincConv	ENSG00000285532;ENSG00000225446	n.1.1;n.1.1	65826;60045	ENSCAFG00845016905;ENSCAFG00845016895	1.1.1;1.1.1	41084;14488	many_to_many_strict
ENSG00000151353	lincConv	ENSCAFG00845017140	lincConv	ENSG00000233633	n.1.1	85732	ENSCAFG00845017035	1.1.1	13120	one_to_one
ENSG00000081189	lincConv	ENSCAFG00845017289	lincConv	ENSG00000250555;ENSG00000245864;ENSG00000289008	1.1.1;n.n.1;1.1.1	24258;0;30958	ENSCAFG00845017881;ENSCAFG00845018016	1.1.1;1.1.1	23726;56847	many_to_many
ENSG00000101188	lincConv	ENSCAFG00845017702	lincConv	ENSG00000228705	n.1.1	10209	ENSCAFG00845017730	1.1.1	7067	one_to_one
ENSG00000149212	lincConv	ENSCAFG00845018942	lincConv	ENSG00000245552	n.n.1	0	ENSCAFG00845019122	n.1.1	16263	one_to_one
ENSG00000181467	lincConv	ENSCAFG00845020015	lincConv	ENSG00000290079	1.1.1	50422	ENSCAFG00845020194	1.1.1	48153	one_to_one
ENSG00000011198	lincConv	ENSCAFG00845020085	lincConv	ENSG00000235886	1.1.1	44590	ENSCAFG00845020052	1.1.1	55277	one_to_one
ENSG00000175894	lincConv	ENSCAFG00845020761	lincConv	ENSG00000289857	1.1.1	14495	ENSCAFG00845020719	1.1.1	6545	one_to_one
ENSG00000178573	lincConv	ENSCAFG00845021165	lincConv	ENSG00000261472	1.1.1	69550	ENSCAFG00845021356;ENSCAFG00845021337;ENSCAFG00845021260;ENSCAFG00845021365;ENSCAFG00845021391	1.1.1;1.1.1;1.1.1;1.1.1;1.1.1	45425;26326;5106;83124;96412	one_to_many
ENSG00000160256	lincConv	ENSCAFG00845021885	lincConv	ENSG00000234880;ENSG00000261706;ENSG00000275874	n.1.1;1.1.1;1.1.1	12875;17373;22219	ENSCAFG00845021920	1.1.1	7938	many_to_one
ENSG00000102781	lincConv	ENSCAFG00845022093	lincConv	ENSG00000232643	1.1.1	42038	ENSCAFG00845022177	1.1.1	7152	one_to_one
ENSG00000170852	lincConv	ENSCAFG00845023121	lincConv	ENSG00000272905	1.1.1	22111	ENSCAFG00845023072	1.1.1	8366	one_to_one
ENSG00000134531	lincConv	ENSCAFG00845023173	lincConv	ENSG00000286869	1.1.1	18641	ENSCAFG00845023152	1.1.1	22433	one_to_one
ENSG00000081237	lincConv	ENSCAFG00845023211	lincConv	ENSG00000229989	n.1.1	20385	ENSCAFG00845022979	1.1.1	17992	one_to_one
ENSG00000110435	lincConv	ENSCAFG00845023240	lincConv	ENSG00000289526	n.n.1	0	ENSCAFG00845023213	1.1.1	6169	one_to_one
ENSG00000165084	lincConv	ENSCAFG00845024203	lincConv	ENSG00000254337;ENSG00000253658	n.1.1;n.1.1	29714;61116	ENSCAFG00845024368	1.1.1	16019	many_to_one
ENSG00000072657	lincConv	ENSCAFG00845024331	lincConv	ENSG00000258235	1.1.1	57165	ENSCAFG00845024674	1.1.1	5231	one_to_one
ENSG00000182870	lincConv	ENSCAFG00845027659	lincConv	ENSG00000256312	1.1.1	5375	ENSCAFG00845027718	1.1.1	17460	one_to_one
ENSG00000125772	lincConv	ENSCAFG00845027927	lincConv	ENSG00000235820;ENSG00000230563	1.1.1;n.1.1	8550;68956	ENSCAFG00845028099	1.1.1	42257	many_to_one
ENSG00000244752	lincConv	ENSCAFG00845027963	lincConv	ENSG00000233577;ENSG00000279298	n.1.1;1.1.1	47659;19653	ENSCAFG00845028006	1.1.1	9463	many_to_one
ENSG00000169016	lincConv	ENSCAFG00845028092	lincConv	ENSG00000285569	n.1.1	17189	ENSCAFG00845028042;ENSCAFG00845028027	1.1.1;1.1.1	19427;26040	one_to_many
ENSG00000174013	lincConv	ENSCAFG00845030101	lincConv	ENSG00000286661	1.1.1	9490	ENSCAFG00845030113	1.1.1	5689	one_to_one
ENSG00000065802	lincConv	ENSCAFG00845030187	lincConv	ENSG00000225493	1.1.1	58440	ENSCAFG00845030252	1.1.1	97404	one_to_one
ENSG00000261115	lincConv	ENSCAFG00845031029	lincConv	ENSG00000261797	1.1.1	32318	ENSCAFG00845031023	1.1.1	5199	one_to_one
ENSG00000198961	lincDivg	ENSCAFG00845000212	lincDivg	ENSG00000248440;ENSG00000251367;ENSG00000248876	1.1.1;1.1.1;1.1.1	87903;57379;60869	ENSCAFG00845000198;ENSCAFG00845000192;ENSCAFG00845000186	1.1.1;n.1.1;1.1.1	13843;33764;96327	many_to_many_strict
ENSG00000101493	lincDivg	ENSCAFG00845000590	lincDivg	ENSG00000266256	n.1.1	33410	ENSCAFG00845000556	1.1.1	20567	one_to_one
ENSG00000126603	lincDivg	ENSCAFG00845001353	lincDivg	ENSG00000288935	1.1.1	7137	ENSCAFG00845001367	1.1.1	12489	one_to_one
ENSG00000164691	lincDivg	ENSCAFG00845001461	lincDivg	ENSG00000224478	n.n.n	48941	ENSCAFG00845001477	1.1.1	12248	one_to_one
ENSG00000145730	lincDivg	ENSCAFG00845001601	lincDivg	ENSG00000250682	n.1.1	82216	ENSCAFG00845001870;ENSCAFG00845001811;ENSCAFG00845001779;ENSCAFG00845001817;ENSCAFG00845001772;ENSCAFG00845001792;ENSCAFG00845001857;ENSCAFG00845001849	1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1	90067;45459;27675;58772;9326;32324;84023;74382	one_to_many
ENSG00000117707	lincDivg	ENSCAFG00845001606	lincDivg	ENSG00000281664	1.1.1	56527	ENSCAFG00845001573	n.1.1	35827	one_to_one
ENSG00000205359	lincDivg	ENSCAFG00845001964	lincDivg	ENSG00000250958	1.1.1	82352	ENSCAFG00845001893	1.1.1	29882	one_to_one
ENSG00000002587	lincDivg	ENSCAFG00845002386	lincDivg	ENSG00000251152	1.1.1	39686	ENSCAFG00845002373	1.1.1	19244	one_to_one
ENSG00000176715	lincDivg	ENSCAFG00845002712	lincDivg	ENSG00000256982	n.1.1	35400	ENSCAFG00845002775;ENSCAFG00845002749	n.n.n;1.1.1	22639;5819	one_to_many
ENSG00000162618	lincDivg	ENSCAFG00845002794	lincDivg	ENSG00000285462;ENSG00000235011	1.1.1;1.1.1	42884;41645	ENSCAFG00845002716	1.1.1	56218	many_to_one
ENSG00000033170	lincDivg	ENSCAFG00845002810	lincDivg	ENSG00000258760	n.1.1	91802	ENSCAFG00845002780;ENSCAFG00845002798;ENSCAFG00845002737;ENSCAFG00845002764;ENSCAFG00845002772	1.1.1;1.1.1;n.1.1;1.1.1;1.1.1	15938;5835;91520;52020;43793	one_to_many
ENSG00000129993	lincDivg	ENSCAFG00845002914	lincDivg	ENSG00000259989	1.1.1	6825	ENSCAFG00845002788	1.1.1	17200	one_to_one
ENSG00000198081	lincDivg	ENSCAFG00845003431	lincDivg	ENSG00000264254	1.1.1	13343	ENSCAFG00845003440	1.1.1	10330	one_to_one
ENSG00000113594	lincDivg	ENSCAFG00845003525	lincDivg	ENSG00000251189	1.1.1	73716	ENSCAFG00845003499	1.1.1	16899	one_to_one
ENSG00000145934	lincDivg	ENSCAFG00845003624	lincDivg	ENSG00000254130	1.1.1	52659	ENSCAFG00845004062;ENSCAFG00845004083;ENSCAFG00845004030;ENSCAFG00845004051;ENSCAFG00845004057	1.1.1;1.1.1;1.1.1;1.1.1;1.1.1	66030;90353;28094;39609;57136	one_to_many
ENSG00000081177	lincDivg	ENSCAFG00845003971	lincDivg	ENSG00000258957	n.n.1	0	ENSCAFG00845003952	1.1.1	19077	one_to_one
ENSG00000140521	lincDivg	ENSCAFG00845004161	lincDivg	ENSG00000255571;ENSG00000289128	n.1.1;1.1.1	26718;65312	ENSCAFG00845004193	n.1.1	30309	many_to_one
ENSG00000143333	lincDivg	ENSCAFG00845004237	lincDivg	ENSG00000261504	1.1.1	10865	ENSCAFG00845004244	1.1.1	7475	one_to_one
ENSG00000182985	lincDivg	ENSCAFG00845004496	lincDivg	ENSG00000255689	n.1.1	77326	ENSCAFG00845004453;ENSCAFG00845004447;ENSCAFG00845004450;ENSCAFG00845004442;ENSCAFG00845004457;ENSCAFG00845004437	1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1	25187;65947;40240;72090;19399;90195	one_to_many
ENSG00000141404	lincDivg	ENSCAFG00845004832	lincDivg	ENSG00000260759	1.1.1	19099	ENSCAFG00845004812	1.1.1	59734	one_to_one
ENSG00000112494	lincDivg	ENSCAFG00845004882	lincDivg	ENSG00000231720	1.1.1	30689	ENSCAFG00845004897	n.1.1	80553	one_to_one
ENSG00000157570	lincDivg	ENSCAFG00845005948	lincDivg	ENSG00000255079	1.1.1	30164	ENSCAFG00845005963	1.1.1	31831	one_to_one
ENSG00000198894	lincDivg	ENSCAFG00845006185	lincDivg	ENSG00000258473;ENSG00000258819	1.1.1;n.1.1	11669;21734	ENSCAFG00845006155	1.1.1	26288	many_to_one
ENSG00000165300	lincDivg	ENSCAFG00845006790	lincDivg	ENSG00000272515	1.1.1	62137	ENSCAFG00845006737	1.1.1	20733	one_to_one
ENSG00000165891	lincDivg	ENSCAFG00845006897	lincDivg	ENSG00000286476	1.1.1	63609	ENSCAFG00845007072	n.1.1	35013	one_to_one
ENSG00000115963	lincDivg	ENSCAFG00845008171	lincDivg	ENSG00000237220;ENSG00000224048	1.1.1;n.1.1	27123;73370	ENSCAFG00845008214;ENSCAFG00845008226	1.1.1;1.1.1	72032;80194	many_to_many_strict
ENSG00000133112	lincDivg	ENSCAFG00845009258	lincDivg	ENSG00000228886	1.1.1	9039	ENSCAFG00845009202	1.1.1	9082	one_to_one
ENSG00000136011	lincDivg	ENSCAFG00845009872	lincDivg	ENSG00000286197	1.1.1	15936	ENSCAFG00845009755	1.1.1	62686	one_to_one
ENSG00000114541	lincDivg	ENSCAFG00845010033	lincDivg	ENSG00000241667	1.1.1	48758	ENSCAFG00845009866;ENSCAFG00845009890;ENSCAFG00845009910;ENSCAFG00845009900	1.1.1;1.1.1;1.1.1;1.1.1	76789;69901;11550;18731	one_to_many
ENSG00000177706	lincDivg	ENSCAFG00845010071	lincDivg	ENSG00000232325;ENSG00000287883;ENSG00000261795;ENSG00000242474	1.1.1;1.1.1;1.1.1;n.1.1	96888;60537;27599;43044	ENSCAFG00845010130	n.1.1	37151	many_to_one
ENSG00000175866	lincDivg	ENSCAFG00845011762	lincDivg	ENSG00000262873;ENSG00000262098	n.n.n;1.1.1	7043;9619	ENSCAFG00845012132	1.1.1	12550	many_to_one
ENSG00000186654	lincDivg	ENSCAFG00845012052	lincDivg	ENSG00000234300	1.1.1	43128	ENSCAFG00845012224	1.1.1	11813	one_to_one
ENSG00000136997	lincDivg	ENSCAFG00845012475	lincDivg	ENSG00000286010	1.1.1	64444	ENSCAFG00845012441	n.1.1	40247	one_to_one
ENSG00000134504	lincDivg	ENSCAFG00845012599	lincDivg	ENSG00000263677	n.1.1	28553	ENSCAFG00845012572;ENSCAFG00845012476	1.1.1;1.1.1	41118;57075	one_to_many
ENSG00000022567	lincDivg	ENSCAFG00845013083	lincDivg	ENSG00000254291	1.1.1	17825	ENSCAFG00845013254	1.1.1	12193	one_to_one
ENSG00000170485	lincDivg	ENSCAFG00845013162	lincDivg	ENSG00000228488	1.1.1	97257	ENSCAFG00845016009;ENSCAFG00845015993	1.1.1;1.1.1	27634;11600	one_to_many
ENSG00000183779	lincDivg	ENSCAFG00845013831	lincDivg	ENSG00000253344;ENSG00000254306;ENSG00000254290	1.1.1;1.1.1;n.1.1	21395;69909;95924	ENSCAFG00845013845	n.1.1	40630	many_to_one
ENSG00000111731	lincDivg	ENSCAFG00845013960	lincDivg	ENSG00000250166	n.n.1	0	ENSCAFG00845013851	1.1.1	5137	one_to_one
ENSG00000076554	lincDivg	ENSCAFG00845014452	lincDivg	ENSG00000253238	n.n.n	34675	ENSCAFG00845014581	1.1.1	89558	one_to_one
ENSG00000076641	lincDivg	ENSCAFG00845014770	lincDivg	ENSG00000289242;ENSG00000253214	1.1.1;n.1.1	49329;37039	ENSCAFG00845014816;ENSCAFG00845014794;ENSCAFG00845014805;ENSCAFG00845014811;ENSCAFG00845014799	1.1.1;1.1.1;1.1.1;1.1.1;1.1.1	50967;8329;33701;40583;26692	many_to_many
ENSG00000174749	lincDivg	ENSCAFG00845016273	lincDivg	ENSG00000249815	n.1.1	33181	ENSCAFG00845016219	n.1.1	30821	one_to_one
ENSG00000138642	lincDivg	ENSCAFG00845016852	lincDivg	ENSG00000287181;ENSG00000286978	1.1.1;1.1.1	20316;17435	ENSCAFG00845016779	1.1.1	12436	many_to_one
ENSG00000057019	lincDivg	ENSCAFG00845016980	lincDivg	ENSG00000240476	1.1.1	79363	ENSCAFG00845017341;ENSCAFG00845017360	1.1.1;1.1.1	43715;66312	one_to_many
ENSG00000124766	lincDivg	ENSCAFG00845017149	lincDivg	ENSG00000280989;ENSG00000231754	n.1.1;n.1.1	72337;69906	ENSCAFG00845017101;ENSCAFG00845017123	1.1.1;1.1.1	57335;35692	many_to_many_strict
ENSG00000130700	lincDivg	ENSCAFG00845017212	lincDivg	ENSG00000289548	n.1.1	57962	ENSCAFG00845017322;ENSCAFG00845017277	n.1.1;1.1.1	49573;11655	one_to_many
ENSG00000101187	lincDivg	ENSCAFG00845017528	lincDivg	ENSG00000273812;ENSG00000232121	n.1.1;1.1.1	39148;6999	ENSCAFG00845017452;ENSCAFG00845017408;ENSCAFG00845017427	1.1.1;1.1.1;1.1.1	6227;46643;17109	many_to_many
ENSG00000113578	lincDivg	ENSCAFG00845017942	lincDivg	ENSG00000261757	1.1.1	5712	ENSCAFG00845018073	1.1.1	25069	one_to_one
ENSG00000109674	lincDivg	ENSCAFG00845018393	lincDivg	ENSG00000249008;ENSG00000287544	1.1.1;n.1.1	61101;8621	ENSCAFG00845018643;ENSCAFG00845018676	n.1.1;1.1.1	30115;61386	many_to_many_strict
ENSG00000163171	lincDivg	ENSCAFG00845019687	lincDivg	ENSG00000236572	1.1.1	5865	ENSCAFG00845019732;ENSCAFG00845019713;ENSCAFG00845019722	1.1.1;1.1.1;1.1.1	18491;6907;14516	one_to_many
ENSG00000144191	lincDivg	ENSCAFG00845020028	lincDivg	ENSG00000222000	n.n.1	0	ENSCAFG00845020262	1.1.1	11882	one_to_one
ENSG00000125398	lincDivg	ENSCAFG00845020385	lincDivg	ENSG00000228639;ENSG00000234899	n.1.1;n.n.1	62947;0	ENSCAFG00845020409;ENSCAFG00845020450;ENSCAFG00845020427	1.1.1;n.1.1;n.1.1	33258;58087;37850	many_to_many
ENSG00000138061	lincDivg	ENSCAFG00845020438	lincDivg	ENSG00000273006	1.1.1	83446	ENSCAFG00845020563	1.1.1	48313	one_to_one
ENSG00000109424	lincDivg	ENSCAFG00845020627	lincDivg	ENSG00000287449	1.1.1	8884	ENSCAFG00845020577	n.1.1	8039	one_to_one
ENSG00000111859	lincDivg	ENSCAFG00845020672	lincDivg	ENSG00000233656	n.1.1	34859	ENSCAFG00845020833	n.1.1	24117	one_to_one
ENSG00000095951	lincDivg	ENSCAFG00845021171	lincDivg	ENSG00000225102	1.1.1	7476	ENSCAFG00845021091	n.1.1	6812	one_to_one
ENSG00000181092	lincDivg	ENSCAFG00845021949	lincDivg	ENSG00000289971	1.1.1	15154	ENSCAFG00845021899	1.1.1	8454	one_to_one
ENSG00000100604	lincDivg	ENSCAFG00845022289	lincDivg	ENSG00000258499	1.1.1	15668	ENSCAFG00845022228	n.n.n	24583	one_to_one
ENSG00000142186	lincDivg	ENSCAFG00845023673	lincDivg	ENSG00000289259;ENSG00000289740;ENSG00000279243;ENSG00000290061;ENSG00000270117;ENSG00000289883	1.1.1;1.1.1;n.1.1;1.1.1;1.1.1;1.1.1	52810;17645;36363;32019;26460;47505	ENSCAFG00845024037	1.1.1	22978	many_to_one
ENSG00000074527	lincDivg	ENSCAFG00845023731	lincDivg	ENSG00000258292	1.1.1	11908	ENSCAFG00845023891	1.1.1	11632	one_to_one
ENSG00000110172	lincDivg	ENSCAFG00845024317	lincDivg	ENSG00000261645	n.1.1	28127	ENSCAFG00845024209	n.1.1	21513	one_to_one
ENSG00000134138	lincDivg	ENSCAFG00845025360	lincDivg	ENSG00000274444	1.1.1	8288	ENSCAFG00845025573	1.1.1	40408	one_to_one
ENSG00000123094	lincDivg	ENSCAFG00845026362	lincDivg	ENSG00000256256	1.1.1	72377	ENSCAFG00845026434;ENSCAFG00845026445;ENSCAFG00845026409	1.1.1;1.1.1;1.1.1	42450;47191;10773	one_to_many
ENSG00000169813	lincDivg	ENSCAFG00845027205	lincDivg	ENSG00000230555	1.1.1	11552	ENSCAFG00845027146	1.1.1	26259	one_to_one
ENSG00000134318	lincDivg	ENSCAFG00845027461	lincDivg	ENSG00000224177	n.n.n	24282	ENSCAFG00845028003	n.n.n	37588	one_to_one
ENSG00000168769	lincDivg	ENSCAFG00845027576	lincDivg	ENSG00000251259	1.1.1	5256	ENSCAFG00845027521;ENSCAFG00845027534;ENSCAFG00845027542	1.1.1;1.1.1;1.1.1	89114;68903;10840	one_to_many
ENSG00000169122	lincDivg	ENSCAFG00845027603	lincDivg	ENSG00000253376	n.1.1	60194	ENSCAFG00845027574;ENSCAFG00845027556;ENSCAFG00845027596;ENSCAFG00845027568;ENSCAFG00845027579;ENSCAFG00845027589;ENSCAFG00845027561	1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1	49740;98802;10662;55651;28858;22677;72597	one_to_many
ENSG00000152601	lincDivg	ENSCAFG00845027626	lincDivg	ENSG00000289315;ENSG00000239941	n.1.1;1.1.1	38367;92104	ENSCAFG00845027509	1.1.1	6495	many_to_one
ENSG00000049239	lincDivg	ENSCAFG00845028796	lincDivg	ENSG00000228526	n.n.n	35868	ENSCAFG00845028763	n.1.1	27072	one_to_one
ENSG00000147481	lincDivg	ENSCAFG00845028965	lincDivg	ENSG00000253484	1.1.1	88845	ENSCAFG00845028799;ENSCAFG00845028818;ENSCAFG00845028782;ENSCAFG00845028831;ENSCAFG00845028807;ENSCAFG00845028793;ENSCAFG00845028825;ENSCAFG00845028784	1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1	44665;32693;90181;6069;39239;56480;25639;70734	one_to_many
ENSG00000061936	lincDivg	ENSCAFG00845029019	lincDivg	ENSG00000256424;ENSG00000256258	1.1.1;1.1.1	49258;87878	ENSCAFG00845029152	n.1.1	14645	many_to_one
ENSG00000169067	lincDivg	ENSCAFG00845029066	lincDivg	ENSG00000249436	n.1.1	91216	ENSCAFG00845029078	1.1.1	90377	one_to_one
ENSG00000187969	lincDivg	ENSCAFG00845029957	lincDivg	ENSG00000271533;ENSG00000230590	1.1.1;n.1.1	90520;10606	ENSCAFG00845029920	n.1.1	11907	many_to_one
ENSG00000174004	lincDivg	ENSCAFG00845030131	lincDivg	ENSG00000232065	1.1.1	6994	ENSCAFG00845030117	1.1.1	9384	one_to_one
ENSG00000139174	lincDivg	ENSCAFG00845030270	lincDivg	ENSG00000257114;ENSG00000257164	n.1.1;n.1.1	96840;56228	ENSCAFG00845030254	1.1.1	72938	many_to_one
ENSG00000074771	lincSS.dw	ENSCAFG00845000506	lincSS.dw	ENSG00000232529	1.1.1	14185	ENSCAFG00845000496	1.1.1	23703	one_to_one
ENSG00000170677	lincSS.dw	ENSCAFG00845001189	lincSS.dw	ENSG00000266258	n.1.1	5240	ENSCAFG00845001135;ENSCAFG00845001162	n.1.1;n.1.1	77075;19413	one_to_many
ENSG00000291237	lincSS.dw	ENSCAFG00845001754	lincSS.dw	ENSG00000286533;ENSG00000237927	1.1.1;1.1.1	6442;79900	ENSCAFG00845001701;ENSCAFG00845001707;ENSCAFG00845001689	1.1.1;1.1.1;1.1.1	33623;25527;62049	many_to_many
ENSG00000065559	lincSS.dw	ENSCAFG00845003515	lincSS.dw	ENSG00000265400	1.1.1	57770	ENSCAFG00845003575;ENSCAFG00845003570	1.1.1;1.1.1	38755;31623	one_to_many
ENSG00000077420	lincSS.dw	ENSCAFG00845003856	lincSS.dw	ENSG00000290444	1.1.1	22062	ENSCAFG00845003841	1.1.1	7771	one_to_one
ENSG00000151025	lincSS.dw	ENSCAFG00845004137	lincSS.dw	ENSG00000280809	n.1.1	49483	ENSCAFG00845004119	1.1.1	67535	one_to_one
ENSG00000131143	lincSS.dw	ENSCAFG00845004280	lincSS.dw	ENSG00000286510	1.1.1	39241	ENSCAFG00845004265	1.1.1	18411	one_to_one
ENSG00000169515	lincSS.dw	ENSCAFG00845004289	lincSS.dw	ENSG00000269151	n.n.n	6053	ENSCAFG00845004287	1.1.1	5260	one_to_one
ENSG00000125378	lincSS.dw	ENSCAFG00845004370	lincSS.dw	ENSG00000235269	1.1.1	98854	ENSCAFG00845004358;ENSCAFG00845004350	1.1.1;1.1.1	48089;58095	one_to_many
ENSG00000103196	lincSS.dw	ENSCAFG00845004605	lincSS.dw	ENSG00000260340	1.1.1	7585	ENSCAFG00845004596	1.1.1	13044	one_to_one
ENSG00000196670	lincSS.dw	ENSCAFG00845005305	lincSS.dw	ENSG00000286128	n.1.1	11885	ENSCAFG00845005279;ENSCAFG00845005288;ENSCAFG00845005272	1.1.1;1.1.1;1.1.1	34519;25471;40166	one_to_many
ENSG00000123700	lincSS.dw	ENSCAFG00845005439	lincSS.dw	ENSG00000289371	1.1.1	11199	ENSCAFG00845005450	1.1.1	19046	one_to_one
ENSG00000115091	lincSS.dw	ENSCAFG00845006622	lincSS.dw	ENSG00000234199;ENSG00000243179	n.1.1;1.1.1	16272;17313	ENSCAFG00845006543	n.1.1	51562	many_to_one
ENSG00000109606	lincSS.dw	ENSCAFG00845007821	lincSS.dw	ENSG00000289201	n.1.1	44490	ENSCAFG00845007874;ENSCAFG00845007915	n.1.1;1.1.1	35573;66646	one_to_many
ENSG00000109819	lincSS.dw	ENSCAFG00845008311	lincSS.dw	ENSG00000251292	1.1.1	21462	ENSCAFG00845008707	1.1.1	7394	one_to_one
ENSG00000196814	lincSS.dw	ENSCAFG00845008402	lincSS.dw	ENSG00000233721;ENSG00000226078	1.1.1;1.1.1	9376;20577	ENSCAFG00845008346	1.1.1	10946	many_to_one
ENSG00000165061	lincSS.dw	ENSCAFG00845008865	lincSS.dw	ENSG00000272479	1.1.1	10432	ENSCAFG00845009050;ENSCAFG00845009060	1.1.1;1.1.1	11816;20567	one_to_many
ENSG00000107186	lincSS.dw	ENSCAFG00845009080	lincSS.dw	ENSG00000285637	n.1.1	71380	ENSCAFG00845008854	n.1.1	54617	one_to_one
ENSG00000176165	lincSS.dw	ENSCAFG00845009198	lincSS.dw	ENSG00000258038	n.1.1	59604	ENSCAFG00845009249	n.1.1	16895	one_to_one
ENSG00000167186	lincSS.dw	ENSCAFG00845009708	lincSS.dw	ENSG00000260430	1.1.1	6736	ENSCAFG00845009770	1.1.1	28671	one_to_one
