gnId	nbTp	feelLncPcgClassName	feelLncPcgClassType	feelLncPcgGnId	feelLncPcgGnName	feelLncPcgGnDist	feelLncPcgClassNameByTp	feelLncPcgGnIdByTp	feelLncPcgGnNameByTp	feelLncPcgGnDistByTp
ENSMUSG00000102647	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000086235	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000102253	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00002074990	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000094429	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000103884	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000084353	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000103933	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00002075967	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000086195	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000104504	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000066693	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000102316	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000103819	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000102871	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000101571	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000104428	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000102272	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000065625	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000103411	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000061024	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000102030	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000099870	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026374	6	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026377	3	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000099936	1	lincSSdw	1.1.1	ENSMUSG00000026377	Nifk	23490	lincSSdw	ENSMUSG00000026377	Nifk	23490
ENSMUSG00000025911	5	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000081441	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000067879	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000099827	1	lincConv	1.1.1	ENSMUSG00000067879	Vxn	12112	lincConv	ENSMUSG00000067879	Vxn	12112
ENSMUSG00000057335	15	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000103634	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000104154	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000103435	1	lncgASexNest	1.1.1	ENSMUSG00000057335	Cep170	0	lncgASexNest	ENSMUSG00000057335	Cep170	0
ENSMUSG00000065573	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00002076271	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000100551	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000100357	1	lincDivg	1.1.1	ENSMUSG00000026483	Niban1	20243	lincDivg	ENSMUSG00000026483	Niban1	20243
ENSMUSG00000025912	5	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000045210	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000041763	10	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026504	6	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000103367	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000103584	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00002076339	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000102475	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000047343	3	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000102211	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000087082	1	lncgASinNest	1.1.1	ENSMUSG00000026504	Sdccag8	0	lncgASinNest	ENSMUSG00000026504	Sdccag8	0
ENSMUSG00000090106	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000103251	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000091844	2	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026483	5	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000082528	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000082012	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000099996	1	unclassified	unclassified	NA	NA	NA	unclassified	NA	NA	NA
ENSMUSG00000101763	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000100827	1	unclassified	unclassified	NA	NA	NA	unclassified	NA	NA	NA
ENSMUSG00000100553	2	unclassified	unclassified	NA	NA	NA	unclassified;unclassified	NA	NA	NA
ENSMUSG00000098611	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000100534	1	unclassified	unclassified	NA	NA	NA	unclassified	NA	NA	NA
ENSMUSG00000102904	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00002076350	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000019699	4	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000104391	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000102133	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000102749	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000103163	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000103646	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000102427	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000103633	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000097892	2	lincDivg	n.n.1	ENSMUSG00000063659	Zbtb18	0	lincDivg;lncgASexOvlp	ENSMUSG00000063659;ENSMUSG00000063659	Zbtb18;Zbtb18	13267;0
ENSMUSG00000063659	12	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000102432	2	lincSSdw	n.1.1	ENSMUSG00000063659	Zbtb18	8202	lincSSdw;lincSSdw	ENSMUSG00000063659;ENSMUSG00000063659	Zbtb18;Zbtb18	8202;9418
ENSMUSG00000103043	1	lincSSdw	1.1.1	ENSMUSG00000063659	Zbtb18	16614	lincSSdw	ENSMUSG00000063659	Zbtb18	16614
ENSMUSG00000102885	1	unclassified	unclassified	NA	NA	NA	unclassified	NA	NA	NA
ENSMUSG00000026049	13	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000103767	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000043019	4	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000101104	2	lncgSSexOvlp	n.1.1	ENSMUSG00000026047	Poglut2	0	lncgSSexOvlp;lncgSSexOvlp	ENSMUSG00000026047;ENSMUSG00000026047	Poglut2;Poglut2	0;0
ENSMUSG00000015962	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000032666	4	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000084557	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000100685	1	lncgASexOvlp	1.1.1	ENSMUSG00000032666	1700025G04Rik	0	lncgASexOvlp	ENSMUSG00000032666	1700025G04Rik	0
ENSMUSG00000102090	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000103744	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000015961	3	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000089657	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000102483	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000014980	7	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026235	7	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000099141	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000032649	2	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000101849	1	lincDivg	1.1.1	ENSMUSG00000026235	Epha4	192	lincDivg	ENSMUSG00000026235	Epha4	192
ENSMUSG00000101506	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000065215	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000102052	1	unclassified	unclassified	NA	NA	NA	unclassified	NA	NA	NA
ENSMUSG00000026047	5	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000080878	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000091476	6	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000104097	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000119789	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000102493	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000004872	3	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000118426	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000041684	6	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000032908	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000099561	1	lncgASinNest	1.1.1	ENSMUSG00000032908	Sgpp2	0	lncgASinNest	ENSMUSG00000032908	Sgpp2	0
ENSMUSG00000102945	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026502	4	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000103958	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000070489	2	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000104126	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026500	2	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026048	7	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000046828	2	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000089703	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000100966	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000100769	1	unclassified	unclassified	NA	NA	NA	unclassified	NA	NA	NA
ENSMUSG00000101567	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026245	7	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000101798	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000104018	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000090486	2	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026482	6	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000086145	1	lncgSSinNest	1.1.1	ENSMUSG00000026482	Rgl1	0	lncgSSinNest	ENSMUSG00000026482	Rgl1	0
ENSMUSG00000080950	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000099868	1	lncgASinOvlp	1.1.1	ENSMUSG00000055547	Apobec4	0	lncgASinOvlp	ENSMUSG00000055547	Apobec4	0
ENSMUSG00000055547	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000012187	6	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000008475	3	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000099364	1	lincDivg	1.1.1	ENSMUSG00000032883	Acsl3	47464	lincDivg	ENSMUSG00000032883	Acsl3	47464
ENSMUSG00000100562	1	lincSSup	1.1.1	ENSMUSG00000032883	Acsl3	37660	lincSSup	ENSMUSG00000032883	Acsl3	37660
ENSMUSG00000056870	6	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000102319	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000089877	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000101701	1	lncgASinNest	1.1.1	ENSMUSG00000056870	Gulp1	0	lncgASinNest	ENSMUSG00000056870	Gulp1	0
ENSMUSG00000103071	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000100434	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000100013	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000101251	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000101937	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000039630	9	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000104279	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00002075531	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000064954	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026495	3	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000032883	7	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026480	6	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026494	3	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000064967	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000102922	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000025915	12	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000089713	1	lncgASexNest	1.1.1	ENSMUSG00000026494	Kif26b	0	lncgASexNest	ENSMUSG00000026494	Kif26b	0
ENSMUSG00000079470	2	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000099377	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000099706	1	lncgASinCont	1.1.1	ENSMUSG00000047330	Kcne4	0	lncgASinCont	ENSMUSG00000047330	Kcne4	0
ENSMUSG00000047330	2	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000101324	1	lincSSdw	1.1.1	ENSMUSG00000047330	Kcne4	1230	lincSSdw	ENSMUSG00000047330	Kcne4	1230
ENSMUSG00000072978	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000046334	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00002075801	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000050711	2	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000099562	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000077782	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000055067	7	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000054702	3	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000096474	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000102235	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026492	5	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000082395	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000038949	4	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026043	7	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000046101	6	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00002074901	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000093178	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000099032	2	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000104025	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000038936	6	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000042772	6	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000100394	1	lncgSSinNest	1.1.1	ENSMUSG00000042772	Smg7	0	lncgSSinNest	ENSMUSG00000042772	Smg7	0
ENSMUSG00000103840	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000087236	4	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000100702	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026042	4	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000104476	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000073643	14	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000104497	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000025916	6	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000087199	1	lncgASinNest	1.1.1	ENSMUSG00000025916	Ppp1r42	0	lncgASinNest	ENSMUSG00000025916	Ppp1r42	0
ENSMUSG00000026248	2	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000119658	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026249	6	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000042751	6	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000067106	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000099969	1	lncgASinNest	1.1.1	ENSMUSG00000042751	Nmnat2	0	lncgASinNest	ENSMUSG00000042751	Nmnat2	0
ENSMUSG00000100397	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000099753	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000118883	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000102518	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000099552	3	lincConv	n.1.1	ENSMUSG00000043230	Fam124b	6633	lincConv;lincConv;lincConv	ENSMUSG00000043230;ENSMUSG00000043230;ENSMUSG00000043230	Fam124b;Fam124b;Fam124b	6678;6678;6633
ENSMUSG00000043230	2	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000103404	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026491	9	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000073486	1	lncgASexOvlp	1.1.1	ENSMUSG00000026491	Ahctf1	0	lncgASexOvlp	ENSMUSG00000026491	Ahctf1	0
ENSMUSG00000025917	7	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
