lncRNAid_Homo_sapiens	isTable_1_Canis_lupus_familiaris	orthology_type_synteny_Canis_lupus_familiaris	lncRNA_synteny_id_Canis_lupus_familiaris	isTable_2_Canis_lupus_familiaris	orthology_type_configuration_Canis_lupus_familiaris	configuration_type_configuration_Canis_lupus_familiaris	lncRNA_configuration_id_Canis_lupus_familiaris	isTable_3_Canis_lupus_familiaris
ENSG00000235038	1	many_to_many_DifferentNumber	ENSCAFG00845007019;ENSCAFG00845007031;ENSCAFG00845007042;ENSCAFG00845007069;ENSCAFG00845007080;ENSCAFG00845007093;ENSCAFG00845007101;ENSCAFG00845007116;ENSCAFG00845007133;ENSCAFG00845007141;ENSCAFG00845007157;ENSCAFG00845007170;ENSCAFG00845007178;ENSCAFG00845007187;ENSCAFG00845007209;ENSCAFG00845007223;ENSCAFG00845007240;ENSCAFG00845007252;ENSCAFG00845007268;ENSCAFG00845007278;ENSCAFG00845007285;ENSCAFG00845007312;ENSCAFG00845007323;ENSCAFG00845007333;ENSCAFG00845007344;ENSCAFG00845007357;ENSCAFG00845007370;ENSCAFG00845007401;ENSCAFG00845007417;ENSCAFG00845007424;ENSCAFG00845007483;ENSCAFG00845007493;ENSCAFG00845007504;ENSCAFG00845007516;ENSCAFG00845007527;ENSCAFG00845007536;ENSCAFG00845007547;ENSCAFG00845007562;ENSCAFG00845007579;ENSCAFG00845007595;ENSCAFG00845007606;ENSCAFG00845013503;ENSCAFG00845013508;ENSCAFG00845013510;ENSCAFG00845013519;ENSCAFG00845013523;ENSCAFG00845013530;ENSCAFG00845013537;ENSCAFG00845013538;ENSCAFG00845013543	1	many_to_one	lncgDivg	ENSCAFG00845013543	1
ENSG00000290536	1	one_to_many	ENSCAFG00845006993;ENSCAFG00845007055;ENSCAFG00845007388;ENSCAFG00845007461	0	NA	NA	NA	0
ENSG00000237435	1	many_to_one	ENSCAFG00845014363	0	NA	NA	NA	0
ENSG00000271252	1	many_to_one	ENSCAFG00845014363	0	NA	NA	NA	0
ENSG00000233907	1	many_to_one	ENSCAFG00845014363	0	NA	NA	NA	0
ENSG00000287919	1	many_to_one	ENSCAFG00845014363	0	NA	NA	NA	0
ENSG00000228971	1	many_to_one	ENSCAFG00845014363	0	NA	NA	NA	0
ENSG00000237954	1	many_to_one	ENSCAFG00845014351	0	NA	NA	NA	0
ENSG00000231987	1	many_to_one	ENSCAFG00845014351	0	NA	NA	NA	0
ENSG00000228852	1	many_to_one	ENSCAFG00845014351	0	NA	NA	NA	1
ENSG00000230434	1	many_to_one	ENSCAFG00845014351	0	NA	NA	NA	0
ENSG00000228504	1	many_to_one	ENSCAFG00845014351	0	NA	NA	NA	0
ENSG00000260464	1	many_to_one	ENSCAFG00845015884	0	NA	NA	NA	0
ENSG00000224093	1	many_to_one	ENSCAFG00845015884	0	NA	NA	NA	0
ENSG00000230489	1	many_to_one	ENSCAFG00845009170	0	NA	NA	NA	0
ENSG00000226822	1	many_to_one	ENSCAFG00845009170	0	NA	NA	NA	0
ENSG00000224238	1	many_to_one	ENSCAFG00845006244	0	NA	NA	NA	1
ENSG00000232650	1	many_to_one	ENSCAFG00845006244	1	one_to_one	lincSS.up	ENSCAFG00845006244	1
ENSG00000231365	1	many_to_one	ENSCAFG00845006244	0	NA	NA	NA	1
ENSG00000227712	1	one_to_one	ENSCAFG00845006237	0	NA	NA	NA	1
ENSG00000228086	1	one_to_one	ENSCAFG00845012391	0	NA	NA	NA	1
ENSG00000236866	1	one_to_one	ENSCAFG00845029579	1	one_to_one	lncgDivg	ENSCAFG00845029579	1
ENSG00000226172	1	many_to_one	ENSCAFG00845006137	0	NA	NA	NA	1
ENSG00000239216	1	many_to_one	ENSCAFG00845006137	0	NA	NA	NA	1
ENSG00000228127	1	one_to_many	ENSCAFG00845028138;ENSCAFG00845028158	1	one_to_one	lincSS.up	ENSCAFG00845028158	1
ENSG00000228420	1	many_to_many_sameNumber	ENSCAFG00845002398;ENSCAFG00845002404	1	many_to_one	lincSS.up	ENSCAFG00845002398	0
ENSG00000261055	1	many_to_many_sameNumber	ENSCAFG00845002398;ENSCAFG00845002404	1	many_to_one	lincSS.up	ENSCAFG00845002398	0
ENSG00000235005	1	one_to_many	ENSCAFG00845002411;ENSCAFG00845002421	0	NA	NA	NA	0
ENSG00000224468	1	one_to_one	ENSCAFG00845004405	0	NA	NA	NA	1
ENSG00000236364	1	one_to_one	ENSCAFG00845024306	0	NA	NA	NA	0
ENSG00000283518	1	many_to_one	ENSCAFG00845001618	0	NA	NA	NA	0
ENSG00000274895	1	many_to_one	ENSCAFG00845001618	1	many_to_one	lncgDivg	ENSCAFG00845001588	1
ENSG00000272167	1	many_to_one	ENSCAFG00845001618	1	many_to_one	lncgDivg	ENSCAFG00845001588	0
ENSG00000228437	1	one_to_one	ENSCAFG00845030265	0	NA	NA	NA	0
ENSG00000231814	1	many_to_one	ENSCAFG00845028096	1	one_to_one	lincSS.dw	ENSCAFG00845028096	0
ENSG00000230714	1	many_to_one	ENSCAFG00845028096	0	NA	NA	NA	0
ENSG00000232100	1	many_to_one	ENSCAFG00845028096	0	NA	NA	NA	0
ENSG00000234070	1	many_to_one	ENSCAFG00845028108	0	NA	NA	NA	1
ENSG00000286775	1	many_to_one	ENSCAFG00845028108	0	NA	NA	NA	0
ENSG00000225300	1	many_to_one	ENSCAFG00845006085	1	one_to_one	lncgSS.dw	ENSCAFG00845006085	0
ENSG00000260698	1	many_to_one	ENSCAFG00845006085	0	NA	NA	NA	1
ENSG00000235021	1	many_to_one	ENSCAFG00845006085	0	NA	NA	NA	1
ENSG00000225233	1	many_to_many_DifferentNumber	ENSCAFG00845001501;ENSCAFG00845001532;ENSCAFG00845001535;ENSCAFG00845001540;ENSCAFG00845001544;ENSCAFG00845001552;ENSCAFG00845001556;ENSCAFG00845001563;ENSCAFG00845001598	0	NA	NA	NA	1
ENSG00000228255	1	many_to_many_DifferentNumber	ENSCAFG00845001501;ENSCAFG00845001532;ENSCAFG00845001535;ENSCAFG00845001540;ENSCAFG00845001544;ENSCAFG00845001552;ENSCAFG00845001556;ENSCAFG00845001563;ENSCAFG00845001598	0	NA	NA	NA	1
ENSG00000281664	1	many_to_many_DifferentNumber	ENSCAFG00845001521;ENSCAFG00845001573;ENSCAFG00845001588	1	one_to_one	lincDivg	ENSCAFG00845001573	1
ENSG00000230461	1	many_to_many_DifferentNumber	ENSCAFG00845001521;ENSCAFG00845001573;ENSCAFG00845001588	1	many_to_one	lncgDivg	ENSCAFG00845001588	1
ENSG00000281453	1	many_to_many_DifferentNumber	ENSCAFG00845028234;ENSCAFG00845028245;ENSCAFG00845028269	1	one_to_one	lncgSS.dw	ENSCAFG00845028234	1
ENSG00000228208	1	many_to_many_DifferentNumber	ENSCAFG00845028234;ENSCAFG00845028245;ENSCAFG00845028269	1	one_to_many	lincSS.dw	ENSCAFG00845028269;ENSCAFG00845028245	1
ENSG00000225561	1	many_to_one	ENSCAFG00845028299	0	NA	NA	NA	1
ENSG00000228063	1	many_to_one	ENSCAFG00845028299	1	one_to_one	lncgDivg	ENSCAFG00845028299	1
ENSG00000273093	1	many_to_many_sameNumber	ENSCAFG00845022586;ENSCAFG00845022598	0	NA	NA	NA	1
ENSG00000203721	1	many_to_many_sameNumber	ENSCAFG00845022586;ENSCAFG00845022598	0	NA	NA	NA	1
ENSG00000287445	1	one_to_one	ENSCAFG00845003714	0	NA	NA	NA	0
ENSG00000236069	1	one_to_one	ENSCAFG00845025726	0	NA	NA	NA	0
ENSG00000228988	1	one_to_one	ENSCAFG00845013001	0	NA	NA	NA	1
ENSG00000286496	1	many_to_one	ENSCAFG00845004340	1	one_to_one	lncgDivg	ENSCAFG00845004340	1
ENSG00000287516	1	many_to_one	ENSCAFG00845004340	0	NA	NA	NA	1
ENSG00000287738	1	one_to_one	ENSCAFG00845004344	0	NA	NA	NA	1
ENSG00000203620	1	many_to_many_sameNumber	ENSCAFG00845005106;ENSCAFG00845005113	0	NA	NA	NA	0
ENSG00000269967	1	many_to_many_sameNumber	ENSCAFG00845005106;ENSCAFG00845005113	0	NA	NA	NA	1
ENSG00000237390	1	one_to_one	ENSCAFG00845009073	0	NA	NA	NA	0
ENSG00000125462	1	one_to_many	ENSCAFG00845009079;ENSCAFG00845009096	0	NA	NA	NA	0
ENSG00000287103	1	one_to_one	ENSCAFG00845027875	0	NA	NA	NA	1
ENSG00000271387	1	many_to_many_DifferentNumber	ENSCAFG00845004818;ENSCAFG00845004823;ENSCAFG00845004825;ENSCAFG00845004829	0	NA	NA	NA	1
ENSG00000286655	1	many_to_many_DifferentNumber	ENSCAFG00845004818;ENSCAFG00845004823;ENSCAFG00845004825;ENSCAFG00845004829	0	NA	NA	NA	1
ENSG00000225750	1	one_to_many	ENSCAFG00845008348;ENSCAFG00845008356;ENSCAFG00845008373	1	one_to_many	lncgSS.dw	ENSCAFG00845008356;ENSCAFG00845008348	0
ENSG00000232811	1	one_to_one	ENSCAFG00845001767	1	one_to_one	lncgConv	ENSCAFG00845001767	1
ENSG00000261654	1	one_to_one	ENSCAFG00845001760	1	one_to_one	lncgSS.dw	ENSCAFG00845001760	0
ENSG00000273010	1	one_to_one	ENSCAFG00845001745	1	one_to_one	lncgDivg	ENSCAFG00845001745	1
ENSG00000236065	1	one_to_one	ENSCAFG00845005161	0	NA	NA	NA	1
ENSG00000225113	1	one_to_one	ENSCAFG00845002708	1	one_to_one	lncgSS.dw	ENSCAFG00845002708	0
ENSG00000286391	1	one_to_one	ENSCAFG00845014301	0	NA	NA	NA	0
ENSG00000236434	1	one_to_one	ENSCAFG00845024183	0	NA	NA	NA	1
ENSG00000203325	1	one_to_one	ENSCAFG00845005071	0	NA	NA	NA	1
ENSG00000242125	1	one_to_one	ENSCAFG00845010045	1	one_to_one	lncgSS.dw	ENSCAFG00845010045	1
ENSG00000243155	1	many_to_one	ENSCAFG00845002582	1	one_to_one	lncgSS.dw	ENSCAFG00845002582	1
ENSG00000232586	1	many_to_one	ENSCAFG00845002582	0	NA	NA	NA	1
ENSG00000213062	1	one_to_one	ENSCAFG00845002402	0	NA	NA	NA	1
ENSG00000235795	1	many_to_one	ENSCAFG00845012082	0	NA	NA	NA	1
ENSG00000289355	1	many_to_one	ENSCAFG00845012082	0	NA	NA	NA	1
ENSG00000233184	1	many_to_one	ENSCAFG00845012082	0	NA	NA	NA	1
ENSG00000227963	1	one_to_many	ENSCAFG00845002100;ENSCAFG00845002108;ENSCAFG00845002112;ENSCAFG00845002118	0	NA	NA	NA	0
ENSG00000289914	1	many_to_many_sameNumber	ENSCAFG00845028737;ENSCAFG00845028763	0	NA	NA	NA	1
ENSG00000228526	1	many_to_many_sameNumber	ENSCAFG00845028737;ENSCAFG00845028763	1	one_to_one	lincDivg	ENSCAFG00845028763	1
ENSG00000289380	1	one_to_one	ENSCAFG00845000956	1	one_to_one	lncgSS.dw	ENSCAFG00845000956	1
ENSG00000261504	1	one_to_one	ENSCAFG00845004244	1	one_to_one	lincDivg	ENSCAFG00845004244	0
ENSG00000235527	1	one_to_one	ENSCAFG00845023322	1	one_to_one	lncgDivg	ENSCAFG00845023322	1
ENSG00000287343	1	many_to_many_sameNumber	ENSCAFG00845003043;ENSCAFG00845003055	0	NA	NA	NA	0
ENSG00000203706	1	many_to_many_sameNumber	ENSCAFG00845003043;ENSCAFG00845003055	0	NA	NA	NA	1
ENSG00000289071	1	one_to_one	ENSCAFG00845002478	0	NA	NA	NA	1
ENSG00000290102	1	one_to_many	ENSCAFG00845024382;ENSCAFG00845024399;ENSCAFG00845024421;ENSCAFG00845024430;ENSCAFG00845024483	0	NA	NA	NA	0
ENSG00000243062	1	one_to_one	ENSCAFG00845005482	0	NA	NA	NA	1
ENSG00000223814	1	many_to_one	ENSCAFG00845026970	1	one_to_one	lncgSS.up	ENSCAFG00845026970	1
ENSG00000231413	1	many_to_one	ENSCAFG00845026970	0	NA	NA	NA	0
ENSG00000290466	1	many_to_one	ENSCAFG00845026970	0	NA	NA	NA	0
ENSG00000291246	1	many_to_one	ENSCAFG00845026970	0	NA	NA	NA	0
ENSG00000284452	1	many_to_one	ENSCAFG00845017035	0	NA	NA	NA	0
ENSG00000225942	1	many_to_one	ENSCAFG00845017035	0	NA	NA	NA	0
ENSG00000233633	1	many_to_one	ENSCAFG00845017035	1	one_to_one	lincConv	ENSCAFG00845017035	0
ENSG00000233684	1	many_to_one	ENSCAFG00845017035	0	NA	NA	NA	0
ENSG00000228643	1	many_to_one	ENSCAFG00845017035	0	NA	NA	NA	0
ENSG00000277997	1	many_to_one	ENSCAFG00845017035	0	NA	NA	NA	0
ENSG00000236856	1	many_to_one	ENSCAFG00845017035	0	NA	NA	NA	0
ENSG00000226277	1	many_to_one	ENSCAFG00845017035	0	NA	NA	NA	0
ENSG00000223985	1	many_to_one	ENSCAFG00845017049	0	NA	NA	NA	0
ENSG00000235779	1	many_to_one	ENSCAFG00845017049	0	NA	NA	NA	0
ENSG00000233296	1	many_to_one	ENSCAFG00845017200	1	one_to_one	lncgDivg	ENSCAFG00845017200	0
ENSG00000231173	1	many_to_one	ENSCAFG00845017200	0	NA	NA	NA	0
ENSG00000223751	1	many_to_one	ENSCAFG00845017200	0	NA	NA	NA	0
ENSG00000227713	1	many_to_one	ENSCAFG00845017186	0	NA	NA	NA	0
ENSG00000228799	1	many_to_one	ENSCAFG00845017186	0	NA	NA	NA	0
ENSG00000234796	1	many_to_one	ENSCAFG00845017186	0	NA	NA	NA	0
ENSG00000272342	1	many_to_one	ENSCAFG00845017186	0	NA	NA	NA	0
ENSG00000233970	1	many_to_one	ENSCAFG00845017186	0	NA	NA	NA	0
ENSG00000237667	1	many_to_one	ENSCAFG00845017186	0	NA	NA	NA	0
ENSG00000235688	1	many_to_one	ENSCAFG00845017186	0	NA	NA	NA	0
ENSG00000227364	1	many_to_one	ENSCAFG00845021148	0	NA	NA	NA	0
ENSG00000228391	1	many_to_one	ENSCAFG00845021148	0	NA	NA	NA	0
ENSG00000234423	1	many_to_one	ENSCAFG00845021148	0	NA	NA	NA	0
ENSG00000287583	1	many_to_one	ENSCAFG00845021148	0	NA	NA	NA	0
ENSG00000237720	1	many_to_one	ENSCAFG00845021148	0	NA	NA	NA	0
ENSG00000236760	1	many_to_one	ENSCAFG00845021148	0	NA	NA	NA	0
ENSG00000288786	1	many_to_one	ENSCAFG00845021148	0	NA	NA	NA	0
ENSG00000234929	1	many_to_one	ENSCAFG00845021148	0	NA	NA	NA	0
ENSG00000289941	1	many_to_one	ENSCAFG00845021148	0	NA	NA	NA	0
ENSG00000290112	1	many_to_one	ENSCAFG00845021148	0	NA	NA	NA	0
ENSG00000289300	1	one_to_one	ENSCAFG00845022139	0	NA	NA	NA	0
ENSG00000237401	1	many_to_one	ENSCAFG00845022159	0	NA	NA	NA	0
ENSG00000224128	1	many_to_one	ENSCAFG00845022159	1	many_to_one	lncgDivg	ENSCAFG00845022159	0
ENSG00000231532	1	many_to_one	ENSCAFG00845022159	0	NA	NA	NA	0
ENSG00000232835	1	many_to_one	ENSCAFG00845022159	0	NA	NA	NA	0
ENSG00000230090	1	many_to_one	ENSCAFG00845022159	1	many_to_one	lncgDivg	ENSCAFG00845022159	0
ENSG00000229550	1	many_to_one	ENSCAFG00845022159	0	NA	NA	NA	0
ENSG00000286851	1	many_to_many_DifferentNumber	ENSCAFG00845022230;ENSCAFG00845022249	0	NA	NA	NA	0
ENSG00000242540	1	many_to_many_DifferentNumber	ENSCAFG00845022230;ENSCAFG00845022249	1	one_to_one	lncgSS.dw	ENSCAFG00845022230	0
ENSG00000226488	1	many_to_many_DifferentNumber	ENSCAFG00845022230;ENSCAFG00845022249	0	NA	NA	NA	0
ENSG00000236106	1	many_to_many_DifferentNumber	ENSCAFG00845022230;ENSCAFG00845022249	1	one_to_one	lincSS.dw	ENSCAFG00845022249	0
ENSG00000232044	1	many_to_many_DifferentNumber	ENSCAFG00845022230;ENSCAFG00845022249	0	NA	NA	NA	0
ENSG00000236172	1	many_to_many_DifferentNumber	ENSCAFG00845022239;ENSCAFG00845022263	0	NA	NA	NA	0
ENSG00000227007	1	many_to_many_DifferentNumber	ENSCAFG00845022239;ENSCAFG00845022263	0	NA	NA	NA	0
ENSG00000237266	1	many_to_many_DifferentNumber	ENSCAFG00845022239;ENSCAFG00845022263	0	NA	NA	NA	0
ENSG00000234275	1	many_to_many_DifferentNumber	ENSCAFG00845022239;ENSCAFG00845022263	0	NA	NA	NA	0
ENSG00000205837	1	many_to_many_DifferentNumber	ENSCAFG00845022239;ENSCAFG00845022263	0	NA	NA	NA	0
ENSG00000225964	1	many_to_many_DifferentNumber	ENSCAFG00845022239;ENSCAFG00845022263	0	NA	NA	NA	0
ENSG00000228950	1	one_to_one	ENSCAFG00845019808	1	one_to_one	lncgSS.dw	ENSCAFG00845019808	1
ENSG00000231204	1	many_to_many_DifferentNumber	ENSCAFG00845020586;ENSCAFG00845020735;ENSCAFG00845020771;ENSCAFG00845020780;ENSCAFG00845020793;ENSCAFG00845020799	0	NA	NA	NA	1
ENSG00000233005	1	many_to_many_DifferentNumber	ENSCAFG00845020586;ENSCAFG00845020735;ENSCAFG00845020771;ENSCAFG00845020780;ENSCAFG00845020793;ENSCAFG00845020799	0	NA	NA	NA	1
ENSG00000233714	1	many_to_many_DifferentNumber	ENSCAFG00845020586;ENSCAFG00845020735;ENSCAFG00845020771;ENSCAFG00845020780;ENSCAFG00845020793;ENSCAFG00845020799	0	NA	NA	NA	1
ENSG00000233587	1	many_to_many_DifferentNumber	ENSCAFG00845020586;ENSCAFG00845020735;ENSCAFG00845020771;ENSCAFG00845020780;ENSCAFG00845020793;ENSCAFG00845020799	0	NA	NA	NA	1
ENSG00000234207	1	many_to_many_DifferentNumber	ENSCAFG00845020586;ENSCAFG00845020735;ENSCAFG00845020771;ENSCAFG00845020780;ENSCAFG00845020793;ENSCAFG00845020799	0	NA	NA	NA	1
ENSG00000232451	1	many_to_many_DifferentNumber	ENSCAFG00845020508;ENSCAFG00845020650	0	NA	NA	NA	1
ENSG00000223530	1	many_to_many_DifferentNumber	ENSCAFG00845020508;ENSCAFG00845020650	0	NA	NA	NA	1
ENSG00000223634	1	many_to_many_DifferentNumber	ENSCAFG00845020508;ENSCAFG00845020650	0	NA	NA	NA	1
ENSG00000235537	1	many_to_many_DifferentNumber	ENSCAFG00845020508;ENSCAFG00845020650	0	NA	NA	NA	1
ENSG00000229621	1	many_to_many_DifferentNumber	ENSCAFG00845020508;ENSCAFG00845020650	0	NA	NA	NA	1
ENSG00000235497	1	many_to_many_DifferentNumber	ENSCAFG00845020508;ENSCAFG00845020650	0	NA	NA	NA	1
ENSG00000228999	1	many_to_many_DifferentNumber	ENSCAFG00845020508;ENSCAFG00845020650	0	NA	NA	NA	1
ENSG00000228538	1	many_to_many_DifferentNumber	ENSCAFG00845020508;ENSCAFG00845020650	0	NA	NA	NA	1
ENSG00000236204	1	one_to_many	ENSCAFG00845017521;ENSCAFG00845017529	0	NA	NA	NA	0
ENSG00000231336	1	many_to_one	ENSCAFG00845027668	0	NA	NA	NA	0
ENSG00000228481	1	many_to_one	ENSCAFG00845027668	0	NA	NA	NA	1
ENSG00000232696	1	many_to_one	ENSCAFG00845027668	0	NA	NA	NA	0
ENSG00000282828	1	one_to_one	ENSCAFG00845006617	0	NA	NA	NA	0
ENSG00000273006	1	many_to_many_sameNumber	ENSCAFG00845020477;ENSCAFG00845020563	1	one_to_one	lincDivg	ENSCAFG00845020563	1
