lncRNAid_Homo_sapiens	isTable_1_Mus_musculus	orthology_type_synteny_Mus_musculus	lncRNA_synteny_id_Mus_musculus	isTable_2_Mus_musculus	orthology_type_configuration_Mus_musculus	configuration_type_configuration_Mus_musculus	lncRNA_configuration_id_Mus_musculus	isTable_3_Mus_musculus
ENSG00000228838	1	many_to_one	ENSMUSG00000087200	1	many_to_many	lncgDivg	ENSMUSG00000028612;ENSMUSG00000087200;ENSMUSG00000073779	0
ENSG00000230138	1	many_to_many_DifferentNumber	ENSMUSG00000085549;ENSMUSG00000087195;ENSMUSG00000087289	1	many_to_many_strict	lincSS.up	ENSMUSG00000087195;ENSMUSG00000087289	0
ENSG00000226938	1	many_to_many_DifferentNumber	ENSMUSG00000085549;ENSMUSG00000087195;ENSMUSG00000087289	1	many_to_many_strict	lincSS.up	ENSMUSG00000087195;ENSMUSG00000087289	0
ENSG00000287724	1	many_to_one	ENSMUSG00000086172	1	many_to_many	lncgDivg	ENSMUSG00000086172;ENSMUSG00000085023	1
ENSG00000233203	1	many_to_one	ENSMUSG00000086172	1	many_to_many	lncgDivg	ENSMUSG00000086172;ENSMUSG00000085023	0
ENSG00000242396	1	many_to_one	ENSMUSG00000086172	1	many_to_many	lncgDivg	ENSMUSG00000086172;ENSMUSG00000085023	0
ENSG00000234318	1	many_to_many_DifferentNumber	ENSMUSG00000120311;ENSMUSG00000070891;ENSMUSG00000087332	1	one_to_one	lincSS.dw	ENSMUSG00000070891	1
ENSG00000227485	1	many_to_many_DifferentNumber	ENSMUSG00000120311;ENSMUSG00000070891;ENSMUSG00000087332	0	NA	NA	NA	1
ENSG00000286455	1	many_to_many_DifferentNumber	ENSMUSG00000120311;ENSMUSG00000070891;ENSMUSG00000087332	0	NA	NA	NA	1
ENSG00000203605	1	many_to_many_DifferentNumber	ENSMUSG00000120311;ENSMUSG00000070891;ENSMUSG00000087332	0	NA	NA	NA	1
ENSG00000228734	1	many_to_many_DifferentNumber	ENSMUSG00000120311;ENSMUSG00000070891;ENSMUSG00000087332	1	one_to_one	lincSS.up	ENSMUSG00000087332	1
ENSG00000229225	1	many_to_one	ENSMUSG00000086096	0	NA	NA	NA	1
ENSG00000229537	1	many_to_one	ENSMUSG00000086096	0	NA	NA	NA	1
ENSG00000224209	1	many_to_one	ENSMUSG00000086096	0	NA	NA	NA	1
ENSG00000230798	1	many_to_one	ENSMUSG00000086096	1	one_to_one	lncgDivg	ENSMUSG00000086096	1
ENSG00000237352	1	many_to_many_DifferentNumber	ENSMUSG00000100189;ENSMUSG00000085835;ENSMUSG00000087366;ENSMUSG00000084918	1	one_to_one	lincSS.up	ENSMUSG00000085835	1
ENSG00000234807	1	many_to_many_DifferentNumber	ENSMUSG00000100189;ENSMUSG00000085835;ENSMUSG00000087366;ENSMUSG00000084918	1	one_to_one	lncgDivg	ENSMUSG00000087366	1
ENSG00000224609	1	many_to_many_DifferentNumber	ENSMUSG00000085377;ENSMUSG00000100129;ENSMUSG00000084939	0	NA	NA	NA	1
ENSG00000232453	1	many_to_many_DifferentNumber	ENSMUSG00000085377;ENSMUSG00000100129;ENSMUSG00000084939	1	many_to_one	lincSS.up	ENSMUSG00000085377	1
ENSG00000270457	1	many_to_many_DifferentNumber	ENSMUSG00000085377;ENSMUSG00000100129;ENSMUSG00000084939	1	one_to_one	lincDivg	ENSMUSG00000084939	1
ENSG00000241042	1	many_to_many_DifferentNumber	ENSMUSG00000085377;ENSMUSG00000100129;ENSMUSG00000084939	0	NA	NA	NA	1
ENSG00000235215	1	many_to_many_DifferentNumber	ENSMUSG00000085377;ENSMUSG00000100129;ENSMUSG00000084939	0	NA	NA	NA	1
ENSG00000272226	1	many_to_many_DifferentNumber	ENSMUSG00000085377;ENSMUSG00000100129;ENSMUSG00000084939	1	many_to_one	lincSS.up	ENSMUSG00000085377	0
ENSG00000231740	1	many_to_many_DifferentNumber	ENSMUSG00000085377;ENSMUSG00000100129;ENSMUSG00000084939	1	many_to_one	lincSS.up	ENSMUSG00000085377	1
ENSG00000290013	1	many_to_many_DifferentNumber	ENSMUSG00000085377;ENSMUSG00000100129;ENSMUSG00000084939	0	NA	NA	NA	1
ENSG00000235545	1	one_to_one	ENSMUSG00000087395	1	one_to_one	lncgDivg	ENSMUSG00000087395	1
ENSG00000229294	1	one_to_one	ENSMUSG00000120834	1	one_to_one	lncgDivg	ENSMUSG00000120834	1
ENSG00000235446	1	one_to_one	ENSMUSG00000106053	0	NA	NA	NA	1
ENSG00000284808	1	one_to_one	ENSMUSG00000046683	0	NA	NA	NA	0
ENSG00000233973	1	many_to_many_DifferentNumber	ENSMUSG00000104826;ENSMUSG00000085084	0	NA	NA	NA	1
ENSG00000227016	1	many_to_many_DifferentNumber	ENSMUSG00000104826;ENSMUSG00000085084	0	NA	NA	NA	1
ENSG00000223479	1	many_to_many_DifferentNumber	ENSMUSG00000104826;ENSMUSG00000085084	0	NA	NA	NA	1
ENSG00000285808	1	many_to_many_DifferentNumber	ENSMUSG00000104826;ENSMUSG00000085084	0	NA	NA	NA	1
ENSG00000231985	1	many_to_many_DifferentNumber	ENSMUSG00000104826;ENSMUSG00000085084	1	many_to_many_strict	lncgDivg	ENSMUSG00000086708;ENSMUSG00000085084	1
ENSG00000286863	1	many_to_many_DifferentNumber	ENSMUSG00000104826;ENSMUSG00000085084	1	many_to_many_strict	lncgDivg	ENSMUSG00000086708;ENSMUSG00000085084	1
ENSG00000285778	1	many_to_one	ENSMUSG00000104553	0	NA	NA	NA	1
ENSG00000225087	1	many_to_one	ENSMUSG00000104553	0	NA	NA	NA	1
ENSG00000228853	1	many_to_one	ENSMUSG00000104553	0	NA	NA	NA	1
ENSG00000272855	1	one_to_one	ENSMUSG00000105337	0	NA	NA	NA	0
ENSG00000237552	1	one_to_many	ENSMUSG00000090163;ENSMUSG00000090017	0	NA	NA	NA	0
ENSG00000233602	1	one_to_many	ENSMUSG00000085749;ENSMUSG00000086876;ENSMUSG00000087228	0	NA	NA	NA	1
ENSG00000231364	1	many_to_one	ENSMUSG00000103349	0	NA	NA	NA	1
ENSG00000230817	1	many_to_one	ENSMUSG00000103349	0	NA	NA	NA	1
ENSG00000227960	1	many_to_one	ENSMUSG00000103349	0	NA	NA	NA	0
ENSG00000237076	1	many_to_one	ENSMUSG00000103349	0	NA	NA	NA	1
ENSG00000285782	1	many_to_many_DifferentNumber	ENSMUSG00000103334;ENSMUSG00000106023;ENSMUSG00000102569;ENSMUSG00000106285	0	NA	NA	NA	1
ENSG00000236268	1	many_to_many_DifferentNumber	ENSMUSG00000103334;ENSMUSG00000106023;ENSMUSG00000102569;ENSMUSG00000106285	0	NA	NA	NA	1
ENSG00000234953	1	many_to_many_DifferentNumber	ENSMUSG00000103334;ENSMUSG00000106023;ENSMUSG00000102569;ENSMUSG00000106285	1	many_to_one	lncgDivg	ENSMUSG00000104786	0
ENSG00000236676	1	many_to_many_DifferentNumber	ENSMUSG00000103334;ENSMUSG00000106023;ENSMUSG00000102569;ENSMUSG00000106285	1	many_to_one	lncgDivg	ENSMUSG00000104786	0
ENSG00000233290	1	many_to_many_DifferentNumber	ENSMUSG00000103334;ENSMUSG00000106023;ENSMUSG00000102569;ENSMUSG00000106285	0	NA	NA	NA	1
ENSG00000233008	1	many_to_many_DifferentNumber	ENSMUSG00000103334;ENSMUSG00000106023;ENSMUSG00000102569;ENSMUSG00000106285	0	NA	NA	NA	1
ENSG00000285462	1	many_to_many_DifferentNumber	ENSMUSG00000070342;ENSMUSG00000104785;ENSMUSG00000106515	0	NA	NA	NA	0
ENSG00000235011	1	many_to_many_DifferentNumber	ENSMUSG00000070342;ENSMUSG00000104785;ENSMUSG00000106515	0	NA	NA	NA	0
ENSG00000260322	1	many_to_many_DifferentNumber	ENSMUSG00000070342;ENSMUSG00000104785;ENSMUSG00000106515	0	NA	NA	NA	0
ENSG00000285179	1	many_to_many_DifferentNumber	ENSMUSG00000070342;ENSMUSG00000104785;ENSMUSG00000106515	0	NA	NA	NA	0
ENSG00000234184	1	many_to_many_DifferentNumber	ENSMUSG00000070342;ENSMUSG00000104785;ENSMUSG00000106515	0	NA	NA	NA	0
ENSG00000225598	1	many_to_many_DifferentNumber	ENSMUSG00000105797;ENSMUSG00000105190;ENSMUSG00000105125;ENSMUSG00000105401;ENSMUSG00000104786;ENSMUSG00000105876;ENSMUSG00000106157	0	NA	NA	NA	0
ENSG00000224326	1	many_to_many_DifferentNumber	ENSMUSG00000105797;ENSMUSG00000105190;ENSMUSG00000105125;ENSMUSG00000105401;ENSMUSG00000104786;ENSMUSG00000105876;ENSMUSG00000106157	0	NA	NA	NA	0
ENSG00000282898	1	many_to_many_DifferentNumber	ENSMUSG00000105797;ENSMUSG00000105190;ENSMUSG00000105125;ENSMUSG00000105401;ENSMUSG00000104786;ENSMUSG00000105876;ENSMUSG00000106157	0	NA	NA	NA	0
ENSG00000285409	1	many_to_many_DifferentNumber	ENSMUSG00000105797;ENSMUSG00000105190;ENSMUSG00000105125;ENSMUSG00000105401;ENSMUSG00000104786;ENSMUSG00000105876;ENSMUSG00000106157	0	NA	NA	NA	0
ENSG00000288822	1	many_to_many_DifferentNumber	ENSMUSG00000105797;ENSMUSG00000105190;ENSMUSG00000105125;ENSMUSG00000105401;ENSMUSG00000104786;ENSMUSG00000105876;ENSMUSG00000106157	0	NA	NA	NA	0
ENSG00000230027	1	many_to_many_DifferentNumber	ENSMUSG00000105023;ENSMUSG00000104908;ENSMUSG00000062046;ENSMUSG00000086438	0	NA	NA	NA	0
ENSG00000225605	1	many_to_many_DifferentNumber	ENSMUSG00000105023;ENSMUSG00000104908;ENSMUSG00000062046;ENSMUSG00000086438	1	one_to_one	lncgDivg	ENSMUSG00000086438	0
ENSG00000273338	1	many_to_many_sameNumber	ENSMUSG00000104909;ENSMUSG00000104659	1	many_to_one	lncgDivg	ENSMUSG00000105698	1
ENSG00000285928	1	many_to_many_sameNumber	ENSMUSG00000104909;ENSMUSG00000104659	1	many_to_one	lncgDivg	ENSMUSG00000105698	1
ENSG00000286758	1	one_to_many	ENSMUSG00000105000;ENSMUSG00000105279;ENSMUSG00000105811;ENSMUSG00000106367	0	NA	NA	NA	0
ENSG00000237505	1	many_to_many_DifferentNumber	ENSMUSG00000106550;ENSMUSG00000097858;ENSMUSG00000106052;ENSMUSG00000105923;ENSMUSG00000106162;ENSMUSG00000105917;ENSMUSG00000106210;ENSMUSG00000104939;ENSMUSG00000105511;ENSMUSG00000106109;ENSMUSG00000105324;ENSMUSG00000106524;ENSMUSG00000104865;ENSMUSG00000120269;ENSMUSG00000105652	1	one_to_many	lncgDivg	ENSMUSG00000106550;ENSMUSG00000097858	0
ENSG00000227290	1	many_to_many_DifferentNumber	ENSMUSG00000106550;ENSMUSG00000097858;ENSMUSG00000106052;ENSMUSG00000105923;ENSMUSG00000106162;ENSMUSG00000105917;ENSMUSG00000106210;ENSMUSG00000104939;ENSMUSG00000105511;ENSMUSG00000106109;ENSMUSG00000105324;ENSMUSG00000106524;ENSMUSG00000104865;ENSMUSG00000120269;ENSMUSG00000105652	0	NA	NA	NA	0
ENSG00000226759	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSG00000227935	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSG00000235038	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSG00000290536	1	one_to_one	ENSMUSG00000086136	0	NA	NA	NA	0
ENSG00000228436	1	one_to_one	ENSMUSG00000085875	0	NA	NA	NA	1
ENSG00000224613	1	one_to_one	ENSMUSG00000121018	1	one_to_one	lncgDivg	ENSMUSG00000121018	0
ENSG00000230402	1	one_to_many	ENSMUSG00000104653;ENSMUSG00000097362;ENSMUSG00000104607	1	one_to_one	lincDivg	ENSMUSG00000097362	1
ENSG00000266993	1	many_to_one	ENSMUSG00000086483	0	NA	NA	NA	1
ENSG00000272175	1	many_to_one	ENSMUSG00000086483	0	NA	NA	NA	1
ENSG00000288736	1	one_to_many	ENSMUSG00000044522;ENSMUSG00000106036;ENSMUSG00000105767	0	NA	NA	NA	1
ENSG00000223675	1	one_to_many	ENSMUSG00000097124;ENSMUSG00000074248	1	one_to_one	lincSS.up	ENSMUSG00000074248	1
ENSG00000287406	1	many_to_many_DifferentNumber	ENSMUSG00000106483;ENSMUSG00000105508;ENSMUSG00000105531;ENSMUSG00000105618	0	NA	NA	NA	1
ENSG00000287015	1	many_to_many_DifferentNumber	ENSMUSG00000106483;ENSMUSG00000105508;ENSMUSG00000105531;ENSMUSG00000105618	0	NA	NA	NA	1
ENSG00000287372	1	many_to_one	ENSMUSG00000106594	0	NA	NA	NA	1
ENSG00000229201	1	many_to_one	ENSMUSG00000106594	0	NA	NA	NA	1
ENSG00000237435	1	many_to_many_DifferentNumber	ENSMUSG00000106099;ENSMUSG00000098097	0	NA	NA	NA	0
ENSG00000271252	1	many_to_many_DifferentNumber	ENSMUSG00000106099;ENSMUSG00000098097	0	NA	NA	NA	0
ENSG00000233907	1	many_to_many_DifferentNumber	ENSMUSG00000106099;ENSMUSG00000098097	0	NA	NA	NA	0
ENSG00000287919	1	many_to_many_DifferentNumber	ENSMUSG00000106099;ENSMUSG00000098097	0	NA	NA	NA	0
ENSG00000228971	1	many_to_many_DifferentNumber	ENSMUSG00000106099;ENSMUSG00000098097	0	NA	NA	NA	0
ENSG00000232542	1	many_to_many_DifferentNumber	ENSMUSG00000104703;ENSMUSG00000104178;ENSMUSG00000097311;ENSMUSG00000120861	0	NA	NA	NA	1
ENSG00000259946	1	many_to_many_DifferentNumber	ENSMUSG00000104703;ENSMUSG00000104178;ENSMUSG00000097311;ENSMUSG00000120861	0	NA	NA	NA	1
ENSG00000285922	1	many_to_many_DifferentNumber	ENSMUSG00000104703;ENSMUSG00000104178;ENSMUSG00000097311;ENSMUSG00000120861	1	many_to_one	lincSS.up	ENSMUSG00000097311	1
ENSG00000288810	1	many_to_many_DifferentNumber	ENSMUSG00000104703;ENSMUSG00000104178;ENSMUSG00000097311;ENSMUSG00000120861	1	many_to_one	lincSS.up	ENSMUSG00000097311	1
ENSG00000225206	1	many_to_many_DifferentNumber	ENSMUSG00000104703;ENSMUSG00000104178;ENSMUSG00000097311;ENSMUSG00000120861	0	NA	NA	NA	1
ENSG00000230427	1	one_to_one	ENSMUSG00000120588	1	one_to_one	lncgDivg	ENSMUSG00000120588	1
ENSG00000224238	1	many_to_one	ENSMUSG00000085121	0	NA	NA	NA	1
ENSG00000232650	1	many_to_one	ENSMUSG00000085121	1	one_to_one	lincSS.up	ENSMUSG00000085121	1
ENSG00000231365	1	many_to_one	ENSMUSG00000085121	0	NA	NA	NA	1
ENSG00000227712	1	one_to_one	ENSMUSG00000086833	0	NA	NA	NA	1
ENSG00000226419	1	one_to_many	ENSMUSG00000105304;ENSMUSG00000104973;ENSMUSG00000105659	0	NA	NA	NA	1
ENSG00000238198	1	many_to_one	ENSMUSG00000104768	1	one_to_one	lncgDivg	ENSMUSG00000104768	1
ENSG00000287807	1	many_to_one	ENSMUSG00000104768	0	NA	NA	NA	1
ENSG00000203864	1	one_to_one	ENSMUSG00000120088	0	NA	NA	NA	0
ENSG00000235202	1	one_to_many	ENSMUSG00000105824;ENSMUSG00000105137;ENSMUSG00000105561;ENSMUSG00000106184	0	NA	NA	NA	1
ENSG00000271427	1	one_to_many	ENSMUSG00000106227;ENSMUSG00000120363	0	NA	NA	NA	1
ENSG00000273406	1	one_to_one	ENSMUSG00000120205	0	NA	NA	NA	1
ENSG00000226715	1	many_to_one	ENSMUSG00000120078	0	NA	NA	NA	1
ENSG00000231671	1	many_to_one	ENSMUSG00000120078	1	one_to_one	lincSS.dw	ENSMUSG00000120078	1
ENSG00000236866	1	one_to_many	ENSMUSG00000104943;ENSMUSG00000053957	1	one_to_one	lncgDivg	ENSMUSG00000053957	1
ENSG00000287980	1	one_to_one	ENSMUSG00000105689	1	one_to_one	lncgDivg	ENSMUSG00000085244	1
ENSG00000226172	1	many_to_many_sameNumber	ENSMUSG00000105472;ENSMUSG00000106197	0	NA	NA	NA	1
ENSG00000239216	1	many_to_many_sameNumber	ENSMUSG00000105472;ENSMUSG00000106197	0	NA	NA	NA	1
ENSG00000228420	1	many_to_one	ENSMUSG00000106426	0	NA	NA	NA	0
ENSG00000261055	1	many_to_one	ENSMUSG00000106426	0	NA	NA	NA	0
ENSG00000232212	1	many_to_many_DifferentNumber	ENSMUSG00000087627;ENSMUSG00000085822;ENSMUSG00000099629;ENSMUSG00000101011	0	NA	NA	NA	0
ENSG00000285894	1	many_to_many_DifferentNumber	ENSMUSG00000087627;ENSMUSG00000085822;ENSMUSG00000099629;ENSMUSG00000101011	0	NA	NA	NA	0
ENSG00000287472	1	many_to_many_DifferentNumber	ENSMUSG00000087627;ENSMUSG00000085822;ENSMUSG00000099629;ENSMUSG00000101011	0	NA	NA	NA	0
ENSG00000261182	1	many_to_many_DifferentNumber	ENSMUSG00000087627;ENSMUSG00000085822;ENSMUSG00000099629;ENSMUSG00000101011	0	NA	NA	NA	0
ENSG00000226486	1	many_to_many_DifferentNumber	ENSMUSG00000087627;ENSMUSG00000085822;ENSMUSG00000099629;ENSMUSG00000101011	0	NA	NA	NA	0
ENSG00000225006	1	many_to_many_DifferentNumber	ENSMUSG00000087627;ENSMUSG00000085822;ENSMUSG00000099629;ENSMUSG00000101011	0	NA	NA	NA	0
ENSG00000230426	1	many_to_many_DifferentNumber	ENSMUSG00000087627;ENSMUSG00000085822;ENSMUSG00000099629;ENSMUSG00000101011	0	NA	NA	NA	0
ENSG00000238270	1	many_to_one	ENSMUSG00000102074	0	NA	NA	NA	0
ENSG00000237283	1	many_to_one	ENSMUSG00000102074	0	NA	NA	NA	0
ENSG00000238054	1	many_to_one	ENSMUSG00000102074	0	NA	NA	NA	0
ENSG00000231175	1	many_to_one	ENSMUSG00000099964	0	NA	NA	NA	0
ENSG00000228215	1	many_to_one	ENSMUSG00000099964	0	NA	NA	NA	0
ENSG00000261642	1	many_to_one	ENSMUSG00000099964	0	NA	NA	NA	0
ENSG00000225811	1	many_to_one	ENSMUSG00000099964	1	many_to_many_strict	lncgDivg	ENSMUSG00000087627;ENSMUSG00000099964;ENSMUSG00000085822	0
ENSG00000237457	1	many_to_one	ENSMUSG00000099964	1	many_to_many_strict	lncgDivg	ENSMUSG00000087627;ENSMUSG00000099964;ENSMUSG00000085822	0
ENSG00000241505	1	many_to_one	ENSMUSG00000099964	1	many_to_many_strict	lncgDivg	ENSMUSG00000087627;ENSMUSG00000099964;ENSMUSG00000085822	0
ENSG00000225545	1	one_to_one	ENSMUSG00000092188	0	NA	NA	NA	1
ENSG00000260990	1	one_to_many	ENSMUSG00000103719;ENSMUSG00000104111	0	NA	NA	NA	0
ENSG00000230687	1	one_to_one	ENSMUSG00000073528	0	NA	NA	NA	0
ENSG00000260088	1	one_to_one	ENSMUSG00000097403	1	one_to_one	lncgDivg	ENSMUSG00000097403	1
ENSG00000260976	1	one_to_one	ENSMUSG00000100357	1	one_to_one	lincDivg	ENSMUSG00000100357	0
ENSG00000227925	1	many_to_many_DifferentNumber	ENSMUSG00000103305;ENSMUSG00000102743;ENSMUSG00000104022;ENSMUSG00000103451	1	one_to_one	lincSS.up	ENSMUSG00000102743	0
ENSG00000238042	1	many_to_many_DifferentNumber	ENSMUSG00000103305;ENSMUSG00000102743;ENSMUSG00000104022;ENSMUSG00000103451	0	NA	NA	NA	0
ENSG00000232679	1	many_to_many_DifferentNumber	ENSMUSG00000103305;ENSMUSG00000102743;ENSMUSG00000104022;ENSMUSG00000103451	0	NA	NA	NA	0
ENSG00000236230	1	many_to_many_DifferentNumber	ENSMUSG00000103305;ENSMUSG00000102743;ENSMUSG00000104022;ENSMUSG00000103451	0	NA	NA	NA	0
ENSG00000226643	1	many_to_many_DifferentNumber	ENSMUSG00000103305;ENSMUSG00000102743;ENSMUSG00000104022;ENSMUSG00000103451	1	many_to_one	lincSS.dw	ENSMUSG00000103451	0
ENSG00000276997	1	many_to_many_DifferentNumber	ENSMUSG00000103305;ENSMUSG00000102743;ENSMUSG00000104022;ENSMUSG00000103451	1	many_to_one	lincSS.dw	ENSMUSG00000103451	0
ENSG00000287929	1	many_to_one	ENSMUSG00000100394	1	many_to_one	lncgDivg	ENSMUSG00000099969	1
ENSG00000286372	1	many_to_one	ENSMUSG00000100394	1	many_to_one	lncgDivg	ENSMUSG00000099969	0
ENSG00000227940	1	many_to_many_DifferentNumber	ENSMUSG00000097850;ENSMUSG00000103692;ENSMUSG00000121086	0	NA	NA	NA	0
