lncRNAid_Canis_lupus_familiaris	isTable_1_Homo_sapiens	orthology_type_synteny_Homo_sapiens	lncRNA_synteny_id_Homo_sapiens	isTable_2_Homo_sapiens	orthology_type_configuration_Homo_sapiens	configuration_type_configuration_Homo_sapiens	lncRNA_configuration_id_Homo_sapiens	isTable_3_Homo_sapiens
ENSCAFG00845007991	1	many_to_many_DifferentNumber	ENSG00000249453;ENSG00000289902	0	NA	NA	NA	0
ENSCAFG00845007995	1	many_to_many_DifferentNumber	ENSG00000249453;ENSG00000289902	0	NA	NA	NA	0
ENSCAFG00845008018	1	many_to_many_DifferentNumber	ENSG00000249453;ENSG00000289902	0	NA	NA	NA	0
ENSCAFG00845008024	1	many_to_many_DifferentNumber	ENSG00000249453;ENSG00000289902	0	NA	NA	NA	0
ENSCAFG00845008031	1	many_to_many_DifferentNumber	ENSG00000249453;ENSG00000289902	0	NA	NA	NA	0
ENSCAFG00845008038	1	many_to_many_DifferentNumber	ENSG00000249453;ENSG00000289902	0	NA	NA	NA	0
ENSCAFG00845008049	1	many_to_many_DifferentNumber	ENSG00000249453;ENSG00000289902	0	NA	NA	NA	0
ENSCAFG00845008057	1	many_to_many_DifferentNumber	ENSG00000249453;ENSG00000289902	0	NA	NA	NA	0
ENSCAFG00845008063	1	many_to_many_DifferentNumber	ENSG00000249453;ENSG00000289902	0	NA	NA	NA	0
ENSCAFG00845008070	1	many_to_many_DifferentNumber	ENSG00000249453;ENSG00000289902	0	NA	NA	NA	0
ENSCAFG00845008082	1	many_to_many_DifferentNumber	ENSG00000249453;ENSG00000289902	0	NA	NA	NA	0
ENSCAFG00845008696	1	one_to_one	ENSG00000287162	0	NA	NA	NA	0
ENSCAFG00845008707	1	one_to_many	ENSG00000251292;ENSG00000249547	1	one_to_one	lincSS.dw	ENSG00000251292	0
ENSCAFG00845011136	1	one_to_one	ENSG00000251075	0	NA	NA	NA	0
ENSCAFG00845013849	1	many_to_one	ENSG00000250240	0	NA	NA	NA	1
ENSCAFG00845013858	1	many_to_one	ENSG00000250240	0	NA	NA	NA	1
ENSCAFG00845015649	1	many_to_many_DifferentNumber	ENSG00000249776;ENSG00000249984;ENSG00000248528;ENSG00000251361;ENSG00000237187	1	one_to_one	lncgDivg	ENSG00000237187	0
ENSCAFG00845015672	1	many_to_many_DifferentNumber	ENSG00000249776;ENSG00000249984;ENSG00000248528;ENSG00000251361;ENSG00000237187	0	NA	NA	NA	0
ENSCAFG00845015971	1	many_to_many_DifferentNumber	ENSG00000249776;ENSG00000249984;ENSG00000248528;ENSG00000251361;ENSG00000237187	0	NA	NA	NA	0
ENSCAFG00845015690	1	many_to_many_DifferentNumber	ENSG00000250049;ENSG00000249169;ENSG00000286121;ENSG00000248588;ENSG00000286509;ENSG00000281357	0	NA	NA	NA	0
ENSCAFG00845015702	1	many_to_many_DifferentNumber	ENSG00000250049;ENSG00000249169;ENSG00000286121;ENSG00000248588;ENSG00000286509;ENSG00000281357	0	NA	NA	NA	0
ENSCAFG00845015844	1	many_to_many_DifferentNumber	ENSG00000250049;ENSG00000249169;ENSG00000286121;ENSG00000248588;ENSG00000286509;ENSG00000281357	0	NA	NA	NA	0
ENSCAFG00845015911	1	many_to_many_DifferentNumber	ENSG00000250049;ENSG00000249169;ENSG00000286121;ENSG00000248588;ENSG00000286509;ENSG00000281357	0	NA	NA	NA	0
ENSCAFG00845016888	1	one_to_many	ENSG00000250831;ENSG00000248555;ENSG00000253321;ENSG00000260871;ENSG00000288740	0	NA	NA	NA	1
ENSCAFG00845016864	1	many_to_many_DifferentNumber	ENSG00000214942;ENSG00000250437;ENSG00000248309	0	NA	NA	NA	1
ENSCAFG00845016920	1	many_to_many_DifferentNumber	ENSG00000214942;ENSG00000250437;ENSG00000248309	0	NA	NA	NA	1
ENSCAFG00845016935	1	many_to_many_DifferentNumber	ENSG00000214942;ENSG00000250437;ENSG00000248309	0	NA	NA	NA	1
ENSCAFG00845016968	1	many_to_many_DifferentNumber	ENSG00000214942;ENSG00000250437;ENSG00000248309	0	NA	NA	NA	1
ENSCAFG00845016985	1	many_to_many_DifferentNumber	ENSG00000214942;ENSG00000250437;ENSG00000248309	0	NA	NA	NA	1
ENSCAFG00845017006	1	many_to_many_DifferentNumber	ENSG00000214942;ENSG00000250437;ENSG00000248309	0	NA	NA	NA	1
ENSCAFG00845017914	1	many_to_many_DifferentNumber	ENSG00000271904;ENSG00000250156;ENSG00000245526;ENSG00000250377	1	one_to_many	lincSS.dw	ENSG00000250377;ENSG00000245526	1
ENSCAFG00845018034	1	many_to_many_DifferentNumber	ENSG00000271904;ENSG00000250156;ENSG00000245526;ENSG00000250377	0	NA	NA	NA	1
ENSCAFG00845018068	1	many_to_many_DifferentNumber	ENSG00000271904;ENSG00000250156;ENSG00000245526;ENSG00000250377	0	NA	NA	NA	1
ENSCAFG00845017881	1	many_to_many_DifferentNumber	ENSG00000247828;ENSG00000245864;ENSG00000289008;ENSG00000250555	1	many_to_many	lincConv	ENSG00000250555;ENSG00000245864;ENSG00000289008	1
ENSCAFG00845018016	1	many_to_many_DifferentNumber	ENSG00000247828;ENSG00000245864;ENSG00000289008;ENSG00000250555	1	many_to_many	lincConv	ENSG00000250555;ENSG00000245864;ENSG00000289008	1
ENSCAFG00845018054	1	many_to_many_DifferentNumber	ENSG00000247828;ENSG00000245864;ENSG00000289008;ENSG00000250555	1	one_to_one	lncgDivg	ENSG00000247828	1
ENSCAFG00845020010	1	one_to_one	ENSG00000249835	0	NA	NA	NA	1
ENSCAFG00845000960	1	one_to_many	ENSG00000256916;ENSG00000281655	0	NA	NA	NA	1
ENSCAFG00845001084	1	one_to_one	ENSG00000288833	1	one_to_one	lncgDivg	ENSG00000288833	1
ENSCAFG00845002749	1	many_to_many_DifferentNumber	ENSG00000256982;ENSG00000261226	1	many_to_one	lincDivg	ENSG00000256982	0
ENSCAFG00845002775	1	many_to_many_DifferentNumber	ENSG00000256982;ENSG00000261226	1	many_to_one	lincDivg	ENSG00000256982	0
ENSCAFG00845002793	1	many_to_many_DifferentNumber	ENSG00000256982;ENSG00000261226	0	NA	NA	NA	0
ENSCAFG00845002758	1	many_to_many_DifferentNumber	ENSG00000259989;ENSG00000259881;ENSG00000205018	0	NA	NA	NA	0
ENSCAFG00845002788	1	many_to_many_DifferentNumber	ENSG00000259989;ENSG00000259881;ENSG00000205018	1	one_to_one	lincDivg	ENSG00000259989	0
ENSCAFG00845002901	1	one_to_many	ENSG00000263400;ENSG00000285220;ENSG00000266114	0	NA	NA	NA	0
ENSCAFG00845002911	1	one_to_many	ENSG00000264016;ENSG00000284876	1	one_to_one	lincSS.up	ENSG00000264016	0
ENSCAFG00845003031	1	one_to_one	ENSG00000264727	1	one_to_one	lncgSS.dw	ENSG00000264727	1
ENSCAFG00845003485	1	one_to_one	ENSG00000260630	1	one_to_one	lncgConv	ENSG00000260630	1
ENSCAFG00845004265	1	one_to_many	ENSG00000286510;ENSG00000289932	1	one_to_one	lincSS.dw	ENSG00000286510	0
ENSCAFG00845004323	1	one_to_one	ENSG00000286743	0	NA	NA	NA	1
ENSCAFG00845004332	1	one_to_many	ENSG00000287946;ENSG00000270124	0	NA	NA	NA	1
