lncRNAid_Mus_musculus	isTable_1_Canis_lupus_familiaris	orthology_type_synteny_Canis_lupus_familiaris	lncRNA_synteny_id_Canis_lupus_familiaris	isTable_2_Canis_lupus_familiaris	orthology_type_configuration_Canis_lupus_familiaris	configuration_type_configuration_Canis_lupus_familiaris	lncRNA_configuration_id_Canis_lupus_familiaris	isTable_3_Canis_lupus_familiaris
ENSMUSG00000087079	1	many_to_many_DifferentNumber	ENSCAFG00845000985;ENSCAFG00845000988;ENSCAFG00845000994;ENSCAFG00845001001;ENSCAFG00845001005;ENSCAFG00845001008;ENSCAFG00845001012;ENSCAFG00845001018;ENSCAFG00845001022;ENSCAFG00845001027;ENSCAFG00845001034;ENSCAFG00845001038;ENSCAFG00845001043;ENSCAFG00845001048;ENSCAFG00845001052;ENSCAFG00845001055;ENSCAFG00845001061;ENSCAFG00845001067;ENSCAFG00845001069;ENSCAFG00845001073	0	NA	NA	NA	0
ENSMUSG00000099424	1	many_to_many_DifferentNumber	ENSCAFG00845000985;ENSCAFG00845000988;ENSCAFG00845000994;ENSCAFG00845001001;ENSCAFG00845001005;ENSCAFG00845001008;ENSCAFG00845001012;ENSCAFG00845001018;ENSCAFG00845001022;ENSCAFG00845001027;ENSCAFG00845001034;ENSCAFG00845001038;ENSCAFG00845001043;ENSCAFG00845001048;ENSCAFG00845001052;ENSCAFG00845001055;ENSCAFG00845001061;ENSCAFG00845001067;ENSCAFG00845001069;ENSCAFG00845001073	1	one_to_one	lincDivg	ENSCAFG00845000985	0
ENSMUSG00000085580	1	many_to_many_DifferentNumber	ENSCAFG00845000985;ENSCAFG00845000988;ENSCAFG00845000994;ENSCAFG00845001001;ENSCAFG00845001005;ENSCAFG00845001008;ENSCAFG00845001012;ENSCAFG00845001018;ENSCAFG00845001022;ENSCAFG00845001027;ENSCAFG00845001034;ENSCAFG00845001038;ENSCAFG00845001043;ENSCAFG00845001048;ENSCAFG00845001052;ENSCAFG00845001055;ENSCAFG00845001061;ENSCAFG00845001067;ENSCAFG00845001069;ENSCAFG00845001073	0	NA	NA	NA	0
ENSMUSG00000079604	1	many_to_many_DifferentNumber	ENSCAFG00845000985;ENSCAFG00845000988;ENSCAFG00845000994;ENSCAFG00845001001;ENSCAFG00845001005;ENSCAFG00845001008;ENSCAFG00845001012;ENSCAFG00845001018;ENSCAFG00845001022;ENSCAFG00845001027;ENSCAFG00845001034;ENSCAFG00845001038;ENSCAFG00845001043;ENSCAFG00845001048;ENSCAFG00845001052;ENSCAFG00845001055;ENSCAFG00845001061;ENSCAFG00845001067;ENSCAFG00845001069;ENSCAFG00845001073	0	NA	NA	NA	0
ENSMUSG00000075538	1	many_to_one	ENSCAFG00845001071	0	NA	NA	NA	0
ENSMUSG00000062319	1	many_to_one	ENSCAFG00845001071	0	NA	NA	NA	0
ENSMUSG00000085070	1	many_to_one	ENSCAFG00845001071	0	NA	NA	NA	0
ENSMUSG00000079603	1	many_to_one	ENSCAFG00845001071	0	NA	NA	NA	0
ENSMUSG00000085483	1	one_to_one	ENSCAFG00845025537	0	NA	NA	NA	1
ENSMUSG00000102329	1	one_to_one	ENSCAFG00845001923	0	NA	NA	NA	0
ENSMUSG00000087570	1	many_to_many_sameNumber	ENSCAFG00845028545;ENSCAFG00845028553	0	NA	NA	NA	0
ENSMUSG00000064263	1	many_to_many_sameNumber	ENSCAFG00845028545;ENSCAFG00845028553	1	one_to_many	lincSS.up	ENSCAFG00845028545;ENSCAFG00845028553	0
ENSMUSG00000086641	1	many_to_many_DifferentNumber	ENSCAFG00845028758;ENSCAFG00845028768;ENSCAFG00845028776	0	NA	NA	NA	0
ENSMUSG00000084794	1	many_to_many_DifferentNumber	ENSCAFG00845028758;ENSCAFG00845028768;ENSCAFG00845028776	0	NA	NA	NA	0
ENSMUSG00000087445	1	one_to_one	ENSCAFG00845028402	1	one_to_one	lincSS.dw	ENSCAFG00845028402	1
ENSMUSG00000087504	1	many_to_many_DifferentNumber	ENSCAFG00845019596;ENSCAFG00845019608;ENSCAFG00845019631;ENSCAFG00845019779	0	NA	NA	NA	1
ENSMUSG00000100303	1	many_to_many_DifferentNumber	ENSCAFG00845019596;ENSCAFG00845019608;ENSCAFG00845019631;ENSCAFG00845019779	0	NA	NA	NA	1
ENSMUSG00000121212	1	many_to_many_DifferentNumber	ENSCAFG00845019596;ENSCAFG00845019608;ENSCAFG00845019631;ENSCAFG00845019779	1	one_to_many	lincSS.up	ENSCAFG00845019631;ENSCAFG00845019779	0
ENSMUSG00000087333	1	many_to_many_sameNumber	ENSCAFG00845019586;ENSCAFG00845019618;ENSCAFG00845019650;ENSCAFG00845019794	0	NA	NA	NA	1
ENSMUSG00000086044	1	many_to_many_sameNumber	ENSCAFG00845019586;ENSCAFG00845019618;ENSCAFG00845019650;ENSCAFG00845019794	0	NA	NA	NA	1
ENSMUSG00000086576	1	many_to_many_sameNumber	ENSCAFG00845019586;ENSCAFG00845019618;ENSCAFG00845019650;ENSCAFG00845019794	0	NA	NA	NA	1
ENSMUSG00000120684	1	many_to_many_sameNumber	ENSCAFG00845019586;ENSCAFG00845019618;ENSCAFG00845019650;ENSCAFG00845019794	0	NA	NA	NA	1
ENSMUSG00000086416	1	one_to_many	ENSCAFG00845020165;ENSCAFG00845020189;ENSCAFG00845020205	0	NA	NA	NA	1
ENSMUSG00000075027	1	one_to_one	ENSCAFG00845005862	1	one_to_one	lncgDivg	ENSCAFG00845005862	0
ENSMUSG00000087559	1	many_to_one	ENSCAFG00845005873	1	one_to_one	lincSS.up	ENSCAFG00845005873	0
ENSMUSG00000121187	1	many_to_one	ENSCAFG00845005873	0	NA	NA	NA	0
ENSMUSG00000085852	1	one_to_one	ENSCAFG00845005963	0	NA	NA	NA	0
ENSMUSG00000086192	1	one_to_one	ENSCAFG00845019964	0	NA	NA	NA	1
ENSMUSG00000087069	1	one_to_many	ENSCAFG00845019697;ENSCAFG00845019711;ENSCAFG00845019718	0	NA	NA	NA	0
ENSMUSG00000087465	1	one_to_one	ENSCAFG00845020642	1	one_to_one	lncgDivg	ENSCAFG00845020642	0
ENSMUSG00000087061	1	one_to_one	ENSCAFG00845017029	0	NA	NA	NA	1
ENSMUSG00000086957	1	one_to_one	ENSCAFG00845023533	0	NA	NA	NA	1
ENSMUSG00000087544	1	one_to_many	ENSCAFG00845018649;ENSCAFG00845018665	1	one_to_many	lincConv	ENSCAFG00845018649;ENSCAFG00845018665	0
ENSMUSG00000086758	1	one_to_one	ENSCAFG00845018582	0	NA	NA	NA	0
ENSMUSG00000093410	1	one_to_one	ENSCAFG00845018052	0	NA	NA	NA	0
ENSMUSG00000109604	1	one_to_many	ENSCAFG00845018009;ENSCAFG00845018023;ENSCAFG00845018038;ENSCAFG00845018069	1	one_to_many	lncgDivg	ENSCAFG00845018009;ENSCAFG00845018023	0
ENSMUSG00000086411	1	one_to_one	ENSCAFG00845026607	0	NA	NA	NA	1
ENSMUSG00000086783	1	one_to_one	ENSCAFG00845026891	0	NA	NA	NA	1
ENSMUSG00000085444	1	one_to_many	ENSCAFG00845025115;ENSCAFG00845025147;ENSCAFG00845025164	1	one_to_one	lincConv	ENSCAFG00845025115	0
ENSMUSG00000086186	1	one_to_one	ENSCAFG00845025191	0	NA	NA	NA	0
ENSMUSG00000085463	1	one_to_one	ENSCAFG00845008346	1	one_to_one	lincSS.dw	ENSCAFG00845008346	0
ENSMUSG00000027345	1	many_to_many_sameNumber	ENSCAFG00845028074;ENSCAFG00845028099	0	NA	NA	NA	0
ENSMUSG00000086379	1	many_to_many_sameNumber	ENSCAFG00845028074;ENSCAFG00845028099	1	one_to_one	lincConv	ENSCAFG00845028099	0
ENSMUSG00000086250	1	one_to_one	ENSCAFG00845028085	0	NA	NA	NA	0
ENSMUSG00000098977	1	one_to_one	ENSCAFG00845007002	0	NA	NA	NA	1
ENSMUSG00000085383	1	one_to_many	ENSCAFG00845024891;ENSCAFG00845024909	0	NA	NA	NA	0
ENSMUSG00000085448	1	many_to_one	ENSCAFG00845031111	0	NA	NA	NA	0
ENSMUSG00000087545	1	many_to_one	ENSCAFG00845031111	0	NA	NA	NA	0
ENSMUSG00000087106	1	many_to_one	ENSCAFG00845031111	0	NA	NA	NA	0
ENSMUSG00000084798	1	many_to_one	ENSCAFG00845031111	0	NA	NA	NA	1
ENSMUSG00000101266	1	one_to_many	ENSCAFG00845024011;ENSCAFG00845024106	0	NA	NA	NA	1
ENSMUSG00000074753	1	one_to_one	ENSCAFG00845029338	0	NA	NA	NA	1
ENSMUSG00000052248	1	many_to_one	ENSCAFG00845006200	0	NA	NA	NA	0
ENSMUSG00000100135	1	many_to_one	ENSCAFG00845006200	0	NA	NA	NA	0
ENSMUSG00000085591	1	many_to_one	ENSCAFG00845006200	0	NA	NA	NA	0
ENSMUSG00000086202	1	many_to_one	ENSCAFG00845006200	0	NA	NA	NA	0
ENSMUSG00000086710	1	many_to_one	ENSCAFG00845006200	0	NA	NA	NA	0
ENSMUSG00000120385	1	many_to_one	ENSCAFG00845006200	0	NA	NA	NA	0
ENSMUSG00000120320	1	many_to_one	ENSCAFG00845006200	0	NA	NA	NA	0
ENSMUSG00000086447	1	one_to_many	ENSCAFG00845009784;ENSCAFG00845009801	0	NA	NA	NA	0
ENSMUSG00000087455	1	one_to_one	ENSCAFG00845027444	0	NA	NA	NA	0
ENSMUSG00000086196	1	many_to_one	ENSCAFG00845028898	0	NA	NA	NA	1
ENSMUSG00000087283	1	many_to_one	ENSCAFG00845028898	0	NA	NA	NA	1
ENSMUSG00000085471	1	one_to_one	ENSCAFG00845019172	0	NA	NA	NA	0
ENSMUSG00000120033	1	one_to_one	ENSCAFG00845012067	1	one_to_one	lincConv	ENSCAFG00845012067	1
ENSMUSG00000121035	1	many_to_one	ENSCAFG00845027092	0	NA	NA	NA	0
ENSMUSG00000121134	1	many_to_one	ENSCAFG00845027092	0	NA	NA	NA	0
ENSMUSG00000120236	1	one_to_many	ENSCAFG00845027032;ENSCAFG00845027042;ENSCAFG00845027055;ENSCAFG00845027064	1	one_to_many	lincConv	ENSCAFG00845027055;ENSCAFG00845027042;ENSCAFG00845027064	0
ENSMUSG00000120441	1	one_to_one	ENSCAFG00845021588	0	NA	NA	NA	1
ENSMUSG00000087600	1	many_to_one	ENSCAFG00845013079	0	NA	NA	NA	0
ENSMUSG00000121269	1	many_to_one	ENSCAFG00845013079	1	one_to_one	lincDivg	ENSCAFG00845013079	0
ENSMUSG00000086114	1	many_to_one	ENSCAFG00845013079	0	NA	NA	NA	0
ENSMUSG00000085322	1	one_to_one	ENSCAFG00845027744	0	NA	NA	NA	1
ENSMUSG00000120632	1	one_to_one	ENSCAFG00845006024	0	NA	NA	NA	1
ENSMUSG00000120340	1	one_to_many	ENSCAFG00845024951;ENSCAFG00845024960	0	NA	NA	NA	0
ENSMUSG00000121264	1	one_to_one	ENSCAFG00845023213	0	NA	NA	NA	0
ENSMUSG00000056061	1	one_to_many	ENSCAFG00845017267;ENSCAFG00845017277;ENSCAFG00845017322;ENSCAFG00845017394;ENSCAFG00845017436;ENSCAFG00845017477	1	one_to_one	lncgDivg	ENSCAFG00845017267	0
ENSMUSG00000121267	1	many_to_many_DifferentNumber	ENSCAFG00845017290;ENSCAFG00845017300;ENSCAFG00845017408;ENSCAFG00845017427;ENSCAFG00845017452	0	NA	NA	NA	0
ENSMUSG00000084843	1	many_to_many_DifferentNumber	ENSCAFG00845017290;ENSCAFG00845017300;ENSCAFG00845017408;ENSCAFG00845017427;ENSCAFG00845017452	1	one_to_many	lincSS.up	ENSCAFG00845017300;ENSCAFG00845017290	0
ENSMUSG00000057047	1	one_to_one	ENSCAFG00845013385	0	NA	NA	NA	0
ENSMUSG00000073236	1	one_to_one	ENSCAFG00845021034	1	one_to_one	lncgDivg	ENSCAFG00845021034	0
ENSMUSG00000079001	1	one_to_one	ENSCAFG00845021732	0	NA	NA	NA	1
ENSMUSG00000085284	1	one_to_one	ENSCAFG00845024529	1	one_to_one	lncgDivg	ENSCAFG00845024529	1
ENSMUSG00000085568	1	one_to_one	ENSCAFG00845020093	0	NA	NA	NA	1
ENSMUSG00000094763	1	one_to_one	ENSCAFG00845028107	1	one_to_one	lncgDivg	ENSCAFG00845028107	1
ENSMUSG00000102820	1	many_to_one	ENSCAFG00845018201	0	NA	NA	NA	0
ENSMUSG00000103428	1	many_to_one	ENSCAFG00845018201	1	one_to_one	lincDivg	ENSCAFG00845018201	0
ENSMUSG00000102362	1	one_to_many	ENSCAFG00845018262;ENSCAFG00845018284;ENSCAFG00845018302;ENSCAFG00845018312;ENSCAFG00845018328;ENSCAFG00845018337;ENSCAFG00845018346;ENSCAFG00845018357;ENSCAFG00845018364;ENSCAFG00845018378	0	NA	NA	NA	0
ENSMUSG00000068957	1	one_to_one	ENSCAFG00845011913	1	one_to_one	lncgDivg	ENSCAFG00845011913	1
ENSMUSG00000089746	1	many_to_one	ENSCAFG00845011921	1	one_to_one	lncgSS.up	ENSCAFG00845011921	1
ENSMUSG00000120163	1	many_to_one	ENSCAFG00845011921	0	NA	NA	NA	1
ENSMUSG00000106099	1	many_to_one	ENSCAFG00845014363	0	NA	NA	NA	0
ENSMUSG00000098097	1	many_to_one	ENSCAFG00845014363	0	NA	NA	NA	0
ENSMUSG00000105057	1	one_to_one	ENSCAFG00845015901	0	NA	NA	NA	1
ENSMUSG00000102629	1	many_to_one	ENSCAFG00845010126	0	NA	NA	NA	0
ENSMUSG00000105034	1	many_to_one	ENSCAFG00845010126	0	NA	NA	NA	0
ENSMUSG00000103459	1	one_to_one	ENSCAFG00845009507	1	one_to_one	lincSS.dw	ENSCAFG00845009507	0
ENSMUSG00000101334	1	one_to_one	ENSCAFG00845009479	0	NA	NA	NA	0
ENSMUSG00000092522	1	one_to_many	ENSCAFG00845004653;ENSCAFG00845004664	0	NA	NA	NA	0
ENSMUSG00000104553	1	one_to_many	ENSCAFG00845004786;ENSCAFG00845004790;ENSCAFG00845004795	0	NA	NA	NA	1
ENSMUSG00000104826	1	many_to_one	ENSCAFG00845004782	0	NA	NA	NA	1
ENSMUSG00000085084	1	many_to_one	ENSCAFG00845004782	0	NA	NA	NA	1
ENSMUSG00000100799	1	one_to_one	ENSCAFG00845023328	0	NA	NA	NA	0
ENSMUSG00000103965	1	many_to_one	ENSCAFG00845024155	0	NA	NA	NA	0
ENSMUSG00000102785	1	many_to_one	ENSCAFG00845024155	0	NA	NA	NA	0
ENSMUSG00000120422	1	many_to_one	ENSCAFG00845024155	0	NA	NA	NA	0
ENSMUSG00000092405	1	many_to_many_sameNumber	ENSCAFG00845024136;ENSCAFG00845024142;ENSCAFG00845024164	0	NA	NA	NA	0
ENSMUSG00000104109	1	many_to_many_sameNumber	ENSCAFG00845024136;ENSCAFG00845024142;ENSCAFG00845024164	0	NA	NA	NA	0
ENSMUSG00000104401	1	many_to_many_sameNumber	ENSCAFG00845024136;ENSCAFG00845024142;ENSCAFG00845024164	0	NA	NA	NA	0
ENSMUSG00000097428	1	many_to_many_sameNumber	ENSCAFG00845009079;ENSCAFG00845009096	0	NA	NA	NA	0
ENSMUSG00000097156	1	many_to_many_sameNumber	ENSCAFG00845009079;ENSCAFG00845009096	1	one_to_one	lincConv	ENSCAFG00845009096	0
ENSMUSG00000097280	1	many_to_one	ENSCAFG00845009073	0	NA	NA	NA	0
ENSMUSG00000096935	1	many_to_one	ENSCAFG00845009073	1	one_to_one	lncgConv	ENSCAFG00845009073	0
ENSMUSG00000086833	1	one_to_one	ENSCAFG00845006237	0	NA	NA	NA	1
ENSMUSG00000085121	1	one_to_one	ENSCAFG00845006244	1	one_to_one	lincSS.up	ENSCAFG00845006244	1
ENSMUSG00000105085	1	many_to_many_sameNumber	ENSCAFG00845027521;ENSCAFG00845027534;ENSCAFG00845027542	0	NA	NA	NA	0
ENSMUSG00000104556	1	many_to_many_sameNumber	ENSCAFG00845027521;ENSCAFG00845027534;ENSCAFG00845027542	0	NA	NA	NA	0
ENSMUSG00000106139	1	many_to_many_sameNumber	ENSCAFG00845027521;ENSCAFG00845027534;ENSCAFG00845027542	0	NA	NA	NA	0
ENSMUSG00000105952	1	many_to_one	ENSCAFG00845027473	0	NA	NA	NA	0
ENSMUSG00000104645	1	many_to_one	ENSCAFG00845027473	0	NA	NA	NA	0
ENSMUSG00000097911	1	many_to_one	ENSCAFG00845027473	0	NA	NA	NA	0
ENSMUSG00000106069	1	many_to_one	ENSCAFG00845027473	0	NA	NA	NA	0
ENSMUSG00000105472	1	many_to_one	ENSCAFG00845006137	0	NA	NA	NA	1
ENSMUSG00000106197	1	many_to_one	ENSCAFG00845006137	0	NA	NA	NA	1
ENSMUSG00000086923	1	many_to_many_sameNumber	ENSCAFG00845005807;ENSCAFG00845005816	0	NA	NA	NA	1
ENSMUSG00000106639	1	many_to_many_sameNumber	ENSCAFG00845005807;ENSCAFG00845005816	0	NA	NA	NA	1
ENSMUSG00000104943	1	many_to_one	ENSCAFG00845029579	0	NA	NA	NA	1
ENSMUSG00000053957	1	many_to_one	ENSCAFG00845029579	1	one_to_one	lncgDivg	ENSCAFG00845029579	1
ENSMUSG00000100010	1	one_to_one	ENSCAFG00845029642	0	NA	NA	NA	1
ENSMUSG00000103116	1	one_to_many	ENSCAFG00845014581;ENSCAFG00845014605;ENSCAFG00845014615	1	one_to_one	lincDivg	ENSCAFG00845014581	0
ENSMUSG00000105342	1	many_to_one	ENSCAFG00845028029	0	NA	NA	NA	1
ENSMUSG00000106296	1	many_to_one	ENSCAFG00845028029	0	NA	NA	NA	1
ENSMUSG00000089916	1	many_to_one	ENSCAFG00845027875	0	NA	NA	NA	1
