lncRNAid_Canis_lupus_familiaris	isTable_1_Mus_musculus	orthology_type_synteny_Mus_musculus	lncRNA_synteny_id_Mus_musculus	isTable_2_Mus_musculus	orthology_type_configuration_Mus_musculus	configuration_type_configuration_Mus_musculus	lncRNA_configuration_id_Mus_musculus	isTable_3_Mus_musculus
ENSCAFG00845007536	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007547	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007562	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007579	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007595	1	many_to_one	ENSMUSG00000087482	1	many_to_one	lincDivg	ENSMUSG00000087482	1
ENSCAFG00845007606	1	many_to_one	ENSMUSG00000087482	1	many_to_one	lincDivg	ENSMUSG00000087482	1
ENSCAFG00845013503	1	many_to_one	ENSMUSG00000087482	1	many_to_one	lincDivg	ENSMUSG00000087482	1
ENSCAFG00845013508	1	many_to_one	ENSMUSG00000087482	1	many_to_one	lincDivg	ENSMUSG00000087482	1
ENSCAFG00845013510	1	many_to_one	ENSMUSG00000087482	1	many_to_one	lincDivg	ENSMUSG00000087482	1
ENSCAFG00845013519	1	many_to_one	ENSMUSG00000087482	1	many_to_one	lincDivg	ENSMUSG00000087482	1
ENSCAFG00845013523	1	many_to_one	ENSMUSG00000087482	1	many_to_one	lincDivg	ENSMUSG00000087482	1
ENSCAFG00845013530	1	many_to_one	ENSMUSG00000087482	1	many_to_one	lincDivg	ENSMUSG00000087482	1
ENSCAFG00845013537	1	many_to_one	ENSMUSG00000087482	1	many_to_one	lincDivg	ENSMUSG00000087482	1
ENSCAFG00845013538	1	many_to_one	ENSMUSG00000087482	1	many_to_one	lincDivg	ENSMUSG00000087482	1
ENSCAFG00845013543	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845008701	1	many_to_one	ENSMUSG00000110625	1	many_to_one	lincSS.up	ENSMUSG00000110625	0
ENSCAFG00845008709	1	many_to_one	ENSMUSG00000110625	1	many_to_one	lincSS.up	ENSMUSG00000110625	0
ENSCAFG00845009272	1	many_to_one	ENSMUSG00000053889	0	NA	NA	NA	1
ENSCAFG00845009285	1	many_to_one	ENSMUSG00000053889	0	NA	NA	NA	1
ENSCAFG00845009867	1	one_to_one	ENSMUSG00000085464	0	NA	NA	NA	1
ENSCAFG00845011462	1	one_to_one	ENSMUSG00000111439	0	NA	NA	NA	1
ENSCAFG00845012137	1	one_to_many	ENSMUSG00000109848;ENSMUSG00000110340;ENSMUSG00000109699;ENSMUSG00000110053;ENSMUSG00000120064	1	one_to_one	lncgDivg	ENSMUSG00000110053	0
ENSCAFG00845012148	1	one_to_many	ENSMUSG00000109701;ENSMUSG00000110336	0	NA	NA	NA	0
