lncRNAid_Mus_musculus	isTable_1_Homo_sapiens	orthology_type_synteny_Homo_sapiens	lncRNA_synteny_id_Homo_sapiens	isTable_2_Homo_sapiens	orthology_type_configuration_Homo_sapiens	configuration_type_configuration_Homo_sapiens	lncRNA_configuration_id_Homo_sapiens	isTable_3_Homo_sapiens	isTable_1_Canis_lupus_familiaris	orthology_type_synteny_Canis_lupus_familiaris	lncRNA_synteny_id_Canis_lupus_familiaris	isTable_2_Canis_lupus_familiaris	orthology_type_configuration_Canis_lupus_familiaris	configuration_type_configuration_Canis_lupus_familiaris	lncRNA_configuration_id_Canis_lupus_familiaris	isTable_3_Canis_lupus_familiaris	sumIsTable	sumIsTable_1	sumIsTable_2	sumIsTable_3
ENSMUSG00000028612	1	many_to_one	ENSG00000226754	1	many_to_many	lncgDivg	ENSG00000234578;ENSG00000232762;ENSG00000225675;ENSG00000228838	0	0	NA	NA	0	NA	NA	NA	0	2	1	1	0
ENSMUSG00000029092	1	many_to_many_DifferentNumber	ENSG00000249998;ENSG00000250819	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000029331	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	0	1	0	0	1
ENSMUSG00000029360	0	NA	NA	1	one_to_many	lncgDivg	ENSG00000257279;ENSG00000274554	0	0	NA	NA	0	NA	NA	NA	0	1	0	1	0
ENSMUSG00000029409	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	0	1	0	0	1
ENSMUSG00000029837	1	one_to_one	ENSG00000289438	1	one_to_one	lncgDivg	ENSG00000289438	1	1	one_to_one	ENSCAFG00845007260	0	NA	NA	NA	1	5	2	1	2
ENSMUSG00000029878	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	0	1	0	0	1
ENSMUSG00000030623	0	NA	NA	1	one_to_one	lncgDivg	ENSG00000255471	0	0	NA	NA	0	NA	NA	NA	0	1	0	1	0
ENSMUSG00000030664	1	many_to_one	ENSG00000254878	1	many_to_one	lncgDivg	ENSG00000254878	0	0	NA	NA	0	NA	NA	NA	0	2	1	1	0
ENSMUSG00000031270	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000031294	1	many_to_one	ENSG00000247131	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000031510	0	NA	NA	1	one_to_one	lincSS.up	ENSG00000225870	1	0	NA	NA	0	NA	NA	NA	1	3	0	1	2
ENSMUSG00000031559	1	many_to_many_DifferentNumber	ENSG00000251504;ENSG00000249883;ENSG00000287948;ENSG00000287083;ENSG00000248197;ENSG00000287775;ENSG00000250993;ENSG00000249460;ENSG00000251336;ENSG00000251416;ENSG00000289951;ENSG00000177822	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000031736	1	many_to_many_DifferentNumber	ENSG00000283304;ENSG00000261803;ENSG00000286845;ENSG00000283258;ENSG00000289307;ENSG00000245694	1	one_to_many	lncgDivg	ENSG00000289307;ENSG00000245694	0	0	NA	NA	0	NA	NA	NA	0	2	1	1	0
ENSMUSG00000033731	1	many_to_many_DifferentNumber	ENSG00000277801;ENSG00000258920;ENSG00000258752;ENSG00000258380;ENSG00000258699;ENSG00000259073	1	many_to_many	lncgDivg	ENSG00000258920;ENSG00000258380;ENSG00000259073;ENSG00000258699;ENSG00000258752;ENSG00000277801	1	0	NA	NA	0	NA	NA	NA	1	4	1	1	2
ENSMUSG00000034587	0	NA	NA	1	one_to_one	lncgDivg	ENSG00000254835	1	0	NA	NA	0	NA	NA	NA	1	3	0	1	2
ENSMUSG00000034764	1	many_to_one	ENSG00000250748	1	many_to_many_strict	lncgDivg	ENSG00000197301;ENSG00000256083	1	0	NA	NA	0	NA	NA	NA	1	4	1	1	2
ENSMUSG00000035983	1	one_to_one	ENSG00000226851	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000036162	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000037247	1	many_to_many_DifferentNumber	ENSG00000259267;ENSG00000285300	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000037535	0	NA	NA	0	NA	NA	NA	0	0	NA	NA	1	one_to_one	lincSS.dw	ENSCAFG00845005022	0	1	0	1	0
ENSMUSG00000037735	0	NA	NA	1	one_to_many	lncgDivg	ENSG00000235497;ENSG00000224361;ENSG00000283031	1	0	NA	NA	0	NA	NA	NA	1	3	0	1	2
ENSMUSG00000037884	1	many_to_many_DifferentNumber	ENSG00000287101;ENSG00000248491;ENSG00000287021;ENSG00000250945;ENSG00000286251;ENSG00000289869	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	1	2	1	0	1
ENSMUSG00000037910	1	many_to_many_DifferentNumber	ENSG00000248456;ENSG00000261166;ENSG00000251567;ENSG00000248869;ENSG00000249847;ENSG00000250865;ENSG00000248330	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000037982	1	many_to_one	ENSG00000250326	1	one_to_one	lncgDivg	ENSG00000250326	0	0	NA	NA	0	NA	NA	NA	0	2	1	1	0
ENSMUSG00000038152	0	NA	NA	1	many_to_many	lncgDivg	ENSG00000229931;ENSG00000272341	1	0	NA	NA	0	NA	NA	NA	0	2	0	1	1
ENSMUSG00000038408	0	NA	NA	1	one_to_one	lncgDivg	ENSG00000261730	1	0	NA	NA	0	NA	NA	NA	1	3	0	1	2
ENSMUSG00000038491	1	one_to_one	ENSG00000260188	0	NA	NA	NA	1	0	NA	NA	1	one_to_one	lncgDivg	ENSCAFG00845016096	1	4	1	1	2
ENSMUSG00000038917	1	many_to_many_DifferentNumber	ENSG00000285534;ENSG00000229938;ENSG00000236242;ENSG00000289901	1	many_to_one	lincSS.dw	ENSG00000285534	0	0	NA	NA	0	NA	NA	NA	0	2	1	1	0
ENSMUSG00000039098	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000039133	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000039138	1	many_to_many_DifferentNumber	ENSG00000229606;ENSG00000276627;ENSG00000228340;ENSG00000176659	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	1	2	1	0	1
ENSMUSG00000039545	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	0	1	0	0	1
ENSMUSG00000039563	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000039798	1	many_to_one	ENSG00000207955	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	1	2	1	0	1
ENSMUSG00000040467	1	one_to_one	ENSG00000284966	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000040705	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000040840	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000041674	1	many_to_many_DifferentNumber	ENSG00000271239;ENSG00000283517;ENSG00000267109;ENSG00000286387;ENSG00000260785;ENSG00000228639;ENSG00000288605;ENSG00000234899	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000041878	1	many_to_one	ENSG00000235319	1	many_to_one	lncgDivg	ENSG00000235319	1	0	NA	NA	0	NA	NA	NA	0	3	1	1	1
ENSMUSG00000042184	1	one_to_one	ENSG00000247213	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000042579	1	one_to_one	ENSG00000229780	1	one_to_one	lncgDivg	ENSG00000229780	0	0	NA	NA	0	NA	NA	NA	1	3	1	1	1
ENSMUSG00000042874	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000042940	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000042976	1	one_to_one	ENSG00000223734	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000043126	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000043168	1	one_to_many	ENSG00000228835;ENSG00000263765	1	one_to_one	lncgDivg	ENSG00000228835	1	0	NA	NA	0	NA	NA	NA	1	4	1	1	2
ENSMUSG00000043340	1	one_to_many	ENSG00000287702;ENSG00000287568;ENSG00000236340	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000043488	1	many_to_many_DifferentNumber	ENSG00000279243;ENSG00000289740;ENSG00000289259;ENSG00000289883;ENSG00000290061;ENSG00000270117	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000043583	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000043644	1	one_to_many	ENSG00000229848;ENSG00000289182	1	one_to_many	lncgDivg	ENSG00000229848;ENSG00000289182	1	0	NA	NA	0	NA	NA	NA	1	4	1	1	2
ENSMUSG00000043773	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000043794	0	NA	NA	1	one_to_one	lncgDivg	ENSG00000272159	1	0	NA	NA	0	NA	NA	NA	1	3	0	1	2
ENSMUSG00000043833	1	many_to_many_DifferentNumber	ENSG00000242048;ENSG00000239911;ENSG00000290095	1	many_to_many	lncgDivg	ENSG00000290095;ENSG00000239911;ENSG00000242048	0	0	NA	NA	0	NA	NA	NA	1	3	1	1	1
ENSMUSG00000043993	1	many_to_many_DifferentNumber	ENSG00000185332;ENSG00000287431;ENSG00000262877;ENSG00000185168;ENSG00000262223	1	many_to_one	lncgDivg	ENSG00000263271	1	1	many_to_one	ENSCAFG00845010832	0	NA	NA	NA	1	5	2	1	2
ENSMUSG00000044062	1	one_to_one	ENSG00000286424	1	one_to_one	lncgDivg	ENSG00000286424	1	0	NA	NA	0	NA	NA	NA	1	4	1	1	2
ENSMUSG00000044125	1	one_to_one	ENSG00000226883	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000044276	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	0	1	0	0	1
ENSMUSG00000044306	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000044387	1	many_to_one	ENSG00000289159	1	one_to_one	lincSS.up	ENSG00000289159	1	0	NA	NA	0	NA	NA	NA	1	4	1	1	2
ENSMUSG00000044471	1	many_to_many_DifferentNumber	ENSG00000271204;ENSG00000231721	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000044522	1	many_to_one	ENSG00000288736	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	1	2	1	0	1
ENSMUSG00000044544	1	many_to_one	ENSG00000250748	1	one_to_one	lncgConv	ENSG00000250748	1	0	NA	NA	0	NA	NA	NA	1	4	1	1	2
ENSMUSG00000044574	1	one_to_one	ENSG00000224884	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	1	2	1	0	1
ENSMUSG00000044633	0	NA	NA	1	one_to_one	lincSS.dw	ENSG00000246363	0	0	NA	NA	0	NA	NA	NA	0	1	0	1	0
ENSMUSG00000044694	1	one_to_one	ENSG00000196167	1	one_to_one	lncgDivg	ENSG00000196167	1	0	NA	NA	0	NA	NA	NA	1	4	1	1	2
ENSMUSG00000044867	0	NA	NA	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	1	1	0	0	1
ENSMUSG00000044997	1	many_to_many_sameNumber	ENSG00000286041;ENSG00000267489;ENSG00000267204;ENSG00000261400	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000045008	0	NA	NA	1	many_to_one	lncgDivg	ENSG00000234206	1	0	NA	NA	0	NA	NA	NA	1	3	0	1	2
ENSMUSG00000045075	1	many_to_many_DifferentNumber	ENSG00000262039;ENSG00000248714;ENSG00000250948	1	one_to_one	lincDivg	ENSG00000250948	0	0	NA	NA	0	NA	NA	NA	0	2	1	1	0
ENSMUSG00000045178	0	NA	NA	1	many_to_many_strict	lncgDivg	ENSG00000241648;ENSG00000239519	0	0	NA	NA	1	many_to_one	lncgDivg	ENSCAFG00845019009	0	2	0	2	0
ENSMUSG00000045231	1	one_to_one	ENSG00000226482	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000045238	0	NA	NA	1	one_to_one	lncgDivg	ENSG00000248719	1	0	NA	NA	1	one_to_one	lncgDivg	ENSCAFG00845017649	0	3	0	2	1
ENSMUSG00000045339	1	many_to_one	ENSG00000259580	1	many_to_one	lncgSS.dw	ENSG00000259580	1	0	NA	NA	0	NA	NA	NA	1	4	1	1	2
ENSMUSG00000045391	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000045464	1	one_to_one	ENSG00000254907	1	one_to_one	lncgConv	ENSG00000254907	1	0	NA	NA	0	NA	NA	NA	1	4	1	1	2
ENSMUSG00000045815	0	NA	NA	1	one_to_one	lncgDivg	ENSG00000229797	0	0	NA	NA	0	NA	NA	NA	0	1	0	1	0
ENSMUSG00000045877	1	one_to_one	ENSG00000247699	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000045928	0	NA	NA	1	many_to_one	lincDivg	ENSG00000261045	0	0	NA	NA	0	NA	NA	NA	1	2	0	1	1
ENSMUSG00000046005	1	one_to_many	ENSG00000286689;ENSG00000287042;ENSG00000290787	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000046085	1	one_to_many	ENSG00000254508;ENSG00000255272;ENSG00000255169;ENSG00000254619	1	one_to_many	lncgDivg	ENSG00000254508;ENSG00000255272	1	0	NA	NA	0	NA	NA	NA	1	4	1	1	2
ENSMUSG00000046109	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000046219	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000046413	1	many_to_many_DifferentNumber	ENSG00000286357;ENSG00000283689;ENSG00000287885;ENSG00000277559	1	one_to_many	lncgDivg	ENSG00000277559;ENSG00000283689	0	0	NA	NA	0	NA	NA	NA	1	3	1	1	1
ENSMUSG00000046415	0	NA	NA	1	one_to_one	lncgConv	ENSG00000267480	0	0	NA	NA	0	NA	NA	NA	1	2	0	1	1
ENSMUSG00000046463	1	many_to_many_DifferentNumber	ENSG00000286914;ENSG00000232316;ENSG00000232299;ENSG00000223811;ENSG00000231912;ENSG00000288916;ENSG00000230943;ENSG00000289961	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	1	2	1	0	1
ENSMUSG00000046683	1	one_to_one	ENSG00000284808	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000046764	1	one_to_one	ENSG00000288563	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000046840	1	one_to_one	ENSG00000226812	1	one_to_one	lncgConv	ENSG00000226812	1	0	NA	NA	0	NA	NA	NA	0	3	1	1	1
ENSMUSG00000046995	1	one_to_one	ENSG00000251471	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	1	2	1	0	1
ENSMUSG00000047046	0	NA	NA	1	one_to_one	lncgDivg	ENSG00000242049	1	0	NA	NA	0	NA	NA	NA	1	3	0	1	2
ENSMUSG00000047324	1	many_to_many_DifferentNumber	ENSG00000228412;ENSG00000231662	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000047383	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	0	1	0	0	1
ENSMUSG00000047661	1	one_to_many	ENSG00000228686;ENSG00000236021	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000047692	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000047807	1	many_to_one	ENSG00000259631	1	many_to_one	lncgDivg	ENSG00000272384	0	0	NA	NA	0	NA	NA	NA	0	2	1	1	0
ENSMUSG00000047828	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000047935	0	NA	NA	1	one_to_one	lncgSS.up	ENSG00000224243	0	0	NA	NA	0	NA	NA	NA	0	1	0	1	0
ENSMUSG00000047938	1	one_to_many	ENSG00000272834;ENSG00000232564	1	one_to_many	lncgDivg	ENSG00000272834;ENSG00000232564	1	0	NA	NA	0	NA	NA	NA	1	4	1	1	2
ENSMUSG00000047988	1	one_to_one	ENSG00000276170	1	one_to_one	lncgDivg	ENSG00000276170	1	0	NA	NA	0	NA	NA	NA	1	4	1	1	2
ENSMUSG00000048215	1	many_to_one	ENSG00000274373	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000048603	1	one_to_many	ENSG00000251324;ENSG00000272525	1	one_to_one	lncgDivg	ENSG00000272525	0	0	NA	NA	0	NA	NA	NA	1	3	1	1	1
ENSMUSG00000048628	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000048636	1	many_to_many_sameNumber	ENSG00000243149;ENSG00000241158;ENSG00000241684	1	many_to_many	lncgDivg	ENSG00000241158;ENSG00000241684	1	1	many_to_many_DifferentNumber	ENSCAFG00845012707;ENSCAFG00845012740	0	NA	NA	NA	1	5	2	1	2
ENSMUSG00000049349	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000049476	0	NA	NA	1	one_to_one	lncgDivg	ENSG00000253112	0	0	NA	NA	0	NA	NA	NA	0	1	0	1	0
ENSMUSG00000050066	1	one_to_many	ENSG00000287609;ENSG00000235180	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000050179	0	NA	NA	0	NA	NA	NA	0	1	many_to_many_DifferentNumber	ENSCAFG00845001884;ENSCAFG00845001894;ENSCAFG00845001903	1	one_to_one	lncgSS.up	ENSCAFG00845001903	1	3	1	1	1
ENSMUSG00000050189	1	one_to_many	ENSG00000285715;ENSG00000285973	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000050334	1	many_to_many_DifferentNumber	ENSG00000271904;ENSG00000250156;ENSG00000245526;ENSG00000250377	1	one_to_many	lincSS.dw	ENSG00000250377;ENSG00000245526	1	1	many_to_many_DifferentNumber	ENSCAFG00845017914;ENSCAFG00845018034;ENSCAFG00845018068	1	one_to_one	lincSS.dw	ENSCAFG00845017914	1	6	2	2	2
ENSMUSG00000050765	1	many_to_many_DifferentNumber	ENSG00000204446;ENSG00000288968;ENSG00000226237	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000050936	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000051008	1	one_to_many	ENSG00000226746;ENSG00000237328	1	one_to_many	lncgDivg	ENSG00000226746;ENSG00000237328;ENSG00000223979	1	0	NA	NA	0	NA	NA	NA	1	4	1	1	2
ENSMUSG00000051074	1	one_to_one	ENSG00000248932	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000051198	1	many_to_many_DifferentNumber	ENSG00000255402;ENSG00000287942;ENSG00000253717;ENSG00000253434;ENSG00000253122	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000051295	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000051606	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000051616	1	many_to_many_sameNumber	ENSG00000235056;ENSG00000271893;ENSG00000234919;ENSG00000232227	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000051638	0	NA	NA	1	one_to_one	lncgDivg	ENSG00000285923	1	0	NA	NA	0	NA	NA	NA	1	3	0	1	2
ENSMUSG00000051729	0	NA	NA	1	one_to_one	lncgDivg	ENSG00000241359	0	0	NA	NA	0	NA	NA	NA	0	1	0	1	0
ENSMUSG00000051758	1	many_to_one	ENSG00000285831	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000051788	1	one_to_many	ENSG00000232558;ENSG00000231246	1	one_to_one	lincDivg	ENSG00000231246	1	0	NA	NA	0	NA	NA	NA	1	4	1	1	2
ENSMUSG00000051805	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000051844	1	one_to_one	ENSG00000237883	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	3	1	0	2
