PCG.Mus_musculus	lncRNA.Mus_musculus	conf.Mus_musculus	class.Mus_musculus	distance.Mus_musculus	PCG.Canis_lupus_familiaris	lncRNA.Canis_lupus_familiaris	conf.Canis_lupus_familiaris	class.Canis_lupus_familiaris	distance.Canis_lupus_familiaris
ENSMUSG00000019256	ENSMUSG00000113548	lincDivg	1.1.1	67506	ENSCAFG00845005867	ENSCAFG00845005851	lincDivg	1.1.1	77454
ENSMUSG00000019256	ENSMUSG00000113548	lincDivg	1.1.1	67506	ENSCAFG00845005867	ENSCAFG00845005842	lincDivg	1.1.1	97635
ENSMUSG00000019577	ENSMUSG00000120672	lincDivg	1.1.1	14862	ENSCAFG00845021015	ENSCAFG00845021189	lincDivg	1.1.1	39574
ENSMUSG00000019790	ENSMUSG00000101621	lincDivg	n.1.1	75548	ENSCAFG00845014465	ENSCAFG00845013934	lincDivg	n.n.n	76679
ENSMUSG00000019843	ENSMUSG00000111183	lincDivg	1.1.1	45438	ENSCAFG00845017640	ENSCAFG00845018173	lincDivg	1.1.1	13292
ENSMUSG00000019843	ENSMUSG00000111183	lincDivg	1.1.1	45438	ENSCAFG00845017640	ENSCAFG00845018158	lincDivg	1.1.1	6862
ENSMUSG00000019843	ENSMUSG00000119997	lncgDivg	n.n.1	0	ENSCAFG00845017640	ENSCAFG00845018124	lncgDivg	1.1.1	1495
ENSMUSG00000019843	ENSMUSG00000087014	lncgDivg	1.1.1	0	ENSCAFG00845017640	ENSCAFG00845018124	lncgDivg	1.1.1	1495
ENSMUSG00000019960	ENSMUSG00000120240	lncgSS.up	1.1.1	274	ENSCAFG00845018644	ENSCAFG00845018680	lncgSS.up	1.1.1	926
ENSMUSG00000019986	ENSMUSG00000111227	lncgDivg	1.1.1	0	ENSCAFG00845005265	ENSCAFG00845005394	lncgDivg	n.1.1	235
ENSMUSG00000020019	ENSMUSG00000111366	lincSS.up	1.1.1	6358	ENSCAFG00845023731	ENSCAFG00845023880	lincSS.up	1.1.1	11618
ENSMUSG00000020019	ENSMUSG00000111366	lincSS.up	1.1.1	6358	ENSCAFG00845023731	ENSCAFG00845023906	lincSS.up	1.1.1	18407
ENSMUSG00000020023	ENSMUSG00000053420	lincDivg	1.1.1	13246	ENSCAFG00845022396	ENSCAFG00845022473	lincDivg	1.1.1	66060
ENSMUSG00000020032	ENSMUSG00000111583	lncgDivg	n.1.1	182	ENSCAFG00845005700	ENSCAFG00845005687	lncgDivg	1.1.1	786
ENSMUSG00000020102	ENSMUSG00000109803	lncgDivg	1.1.1	0	ENSCAFG00845007615	ENSCAFG00845007560	lncgDivg	1.1.1	4492
ENSMUSG00000020123	ENSMUSG00000112774	lincSS.up	n.1.1	13466	ENSCAFG00845009998	ENSCAFG00845010028	lincSS.up	1.1.1	49690
ENSMUSG00000020123	ENSMUSG00000112774	lincSS.up	n.1.1	13466	ENSCAFG00845009998	ENSCAFG00845010040	lincSS.up	n.1.1	65104
ENSMUSG00000020205	ENSMUSG00000097082	lincConv	1.1.1	78118	ENSCAFG00845005752	ENSCAFG00845005712	lincConv	1.1.1	12102
ENSMUSG00000020205	ENSMUSG00000097082	lincConv	1.1.1	78118	ENSCAFG00845005752	ENSCAFG00845027451	lincConv	1.1.1	54184
ENSMUSG00000020212	ENSMUSG00000112470	lincSS.up	1.1.1	17717	ENSCAFG00845013780	ENSCAFG00845013863	lincSS.up	1.1.1	29503
ENSMUSG00000020212	ENSMUSG00000112684	lncgDivg	1.1.1	0	ENSCAFG00845013780	ENSCAFG00845013855	lncgDivg	n.n.n	4917
ENSMUSG00000020315	ENSMUSG00000119981	lncgDivg	n.1.1	128	ENSCAFG00845009556	ENSCAFG00845009426	lncgDivg	1.1.1	981
ENSMUSG00000020315	ENSMUSG00000101872	lncgDivg	1.1.1	0	ENSCAFG00845009556	ENSCAFG00845009426	lncgDivg	1.1.1	981
ENSMUSG00000020315	ENSMUSG00000073073	lncgDivg	1.1.1	0	ENSCAFG00845009556	ENSCAFG00845009426	lncgDivg	1.1.1	981
ENSMUSG00000020415	ENSMUSG00000084889	lincConv	1.1.1	33067	ENSCAFG00845001057	ENSCAFG00845001039	lincConv	n.1.1	62128
ENSMUSG00000020461	ENSMUSG00000086707	lincSS.dw	1.1.1	17420	ENSCAFG00845010710	ENSCAFG00845010646	lincSS.dw	1.1.1	56141
ENSMUSG00000020461	ENSMUSG00000086707	lincSS.dw	1.1.1	17420	ENSCAFG00845010710	ENSCAFG00845010660	lincSS.dw	n.1.1	12373
ENSMUSG00000020485	ENSMUSG00000120559	lncgConv	1.1.1	3910	ENSCAFG00845020393	ENSCAFG00845020376	lncgConv	1.1.1	1598
ENSMUSG00000020522	ENSMUSG00000086028	lincSS.dw	1.1.1	38697	ENSCAFG00845005006	ENSCAFG00845005001	lincSS.dw	1.1.1	8073
ENSMUSG00000020564	ENSMUSG00000085664	lncgConv	1.1.1	0	ENSCAFG00845027389	ENSCAFG00845027513	lncgConv	1.1.1	566
ENSMUSG00000020610	ENSMUSG00000085326	lncgDivg	1.1.1	0	ENSCAFG00845028913	ENSCAFG00845028878	lncgDivg	1.1.1	893
ENSMUSG00000020823	ENSMUSG00000086859	lincSS.up	n.1.1	36204	ENSCAFG00845015759	ENSCAFG00845015826	lincSS.up	1.1.1	61720
ENSMUSG00000020823	ENSMUSG00000086859	lincSS.up	n.1.1	36204	ENSCAFG00845015759	ENSCAFG00845015799	lincSS.up	1.1.1	32035
ENSMUSG00000020823	ENSMUSG00000085104	lincSS.up	1.1.1	54900	ENSCAFG00845015759	ENSCAFG00845015826	lincSS.up	1.1.1	61720
ENSMUSG00000020823	ENSMUSG00000085104	lincSS.up	1.1.1	54900	ENSCAFG00845015759	ENSCAFG00845015799	lincSS.up	1.1.1	32035
ENSMUSG00000020950	ENSMUSG00000112763	lncgDivg	n.1.1	775	ENSCAFG00845009198	ENSCAFG00845009182	lncgDivg	1.1.1	1865
ENSMUSG00000021010	ENSMUSG00000099407	lncgConv	1.1.1	0	ENSCAFG00845012355	ENSCAFG00845012553	lncgConv	1.1.1	1024
ENSMUSG00000021192	ENSMUSG00000113265	lncgSS.up	1.1.1	1526	ENSCAFG00845022111	ENSCAFG00845022083	lncgSS.up	1.1.1	170
ENSMUSG00000021301	ENSMUSG00000113654	lncgDivg	n.n.1	0	ENSCAFG00845017152	ENSCAFG00845017845	lncgDivg	1.1.1	960
ENSMUSG00000021375	ENSMUSG00000114917	lncgDivg	1.1.1	0	ENSCAFG00845026182	ENSCAFG00845028220	lncgDivg	1.1.1	21
ENSMUSG00000021413	ENSMUSG00000113170	lncgDivg	1.1.1	0	ENSCAFG00845018389	ENSCAFG00845018340	lncgDivg	1.1.1	3326
ENSMUSG00000021466	ENSMUSG00000113453	lincSS.up	n.1.1	47902	ENSCAFG00845003905	ENSCAFG00845003835	lincSS.up	1.1.1	8811
ENSMUSG00000021466	ENSMUSG00000113459	lncgDivg	n.1.1	1453	ENSCAFG00845003905	ENSCAFG00845003833	lncgDivg	1.1.1	3509
ENSMUSG00000021557	ENSMUSG00000114787	lincConv	n.1.1	22581	ENSCAFG00845005286	ENSCAFG00845005320	lincConv	n.1.1	24923
ENSMUSG00000021557	ENSMUSG00000114787	lincConv	n.1.1	22581	ENSCAFG00845005286	ENSCAFG00845005325	lincConv	1.1.1	73131
ENSMUSG00000021557	ENSMUSG00000114787	lincConv	n.1.1	22581	ENSCAFG00845005286	ENSCAFG00845005315	lincConv	1.1.1	9270
ENSMUSG00000021557	ENSMUSG00000114200	lincSS.dw	1.1.1	36441	ENSCAFG00845005286	ENSCAFG00845005327	lincSS.dw	1.1.1	74697
ENSMUSG00000021557	ENSMUSG00000114623	lincSS.dw	n.1.1	26488	ENSCAFG00845005286	ENSCAFG00845005327	lincSS.dw	1.1.1	74697
ENSMUSG00000021709	ENSMUSG00000114276	lincSS.up	1.1.1	25414	ENSCAFG00845010758	ENSCAFG00845010488	lincSS.up	1.1.1	16069
ENSMUSG00000021709	ENSMUSG00000114276	lincSS.up	1.1.1	25414	ENSCAFG00845010758	ENSCAFG00845010460	lincSS.up	1.1.1	35766
ENSMUSG00000021709	ENSMUSG00000114276	lincSS.up	1.1.1	25414	ENSCAFG00845010758	ENSCAFG00845010467	lincSS.up	1.1.1	30493
ENSMUSG00000021709	ENSMUSG00000114276	lincSS.up	1.1.1	25414	ENSCAFG00845010758	ENSCAFG00845010522	lincSS.up	1.1.1	8864
ENSMUSG00000021838	ENSMUSG00000072589	lncgConv	n.n.1	0	ENSCAFG00845004567	ENSCAFG00845014683	lncgConv	1.1.1	2040
ENSMUSG00000021838	ENSMUSG00000089870	lncgSS.dw	1.1.1	0	ENSCAFG00845004567	ENSCAFG00845014675	lncgSS.dw	1.1.1	1977
ENSMUSG00000021848	ENSMUSG00000098682	lncgDivg	n.n.1	0	ENSCAFG00845017045	ENSCAFG00845017086	lncgDivg	1.1.1	1132
ENSMUSG00000021944	ENSMUSG00000114898	lincDivg	n.n.n	45990	ENSCAFG00845019258	ENSCAFG00845019352	lincDivg	1.1.1	18993
ENSMUSG00000021991	ENSMUSG00000114815	lincDivg	n.1.1	13480	ENSCAFG00845026635	ENSCAFG00845027201	lincDivg	1.1.1	55453
ENSMUSG00000021991	ENSMUSG00000114570	lincSS.up	1.1.1	10502	ENSCAFG00845026635	ENSCAFG00845027164	lincSS.up	1.1.1	25687
ENSMUSG00000021991	ENSMUSG00000114774	lincSS.up	n.1.1	64964	ENSCAFG00845026635	ENSCAFG00845027164	lincSS.up	1.1.1	25687
ENSMUSG00000022012	ENSMUSG00000120850	lncgSS.dw	1.1.1	0	ENSCAFG00845010105	ENSCAFG00845010162	lncgSS.dw	1.1.1	3847
ENSMUSG00000022106	ENSMUSG00000120611	lincSS.up	1.1.1	15132	ENSCAFG00845025268	ENSCAFG00845025224	lincSS.up	1.1.1	5645
ENSMUSG00000022297	ENSMUSG00000115508	lncgSS.dw	1.1.1	2244	ENSCAFG00845008513	ENSCAFG00845008547	lncgSS.dw	1.1.1	275
ENSMUSG00000022332	ENSMUSG00000069996	lincSS.up	n.1.1	44844	ENSCAFG00845011046	ENSCAFG00845010957	lincSS.up	n.1.1	27780
ENSMUSG00000022346	ENSMUSG00000097039	lincSS.dw	n.1.1	47594	ENSCAFG00845012475	ENSCAFG00845012649	lincSS.dw	1.1.1	47755
ENSMUSG00000022346	ENSMUSG00000097039	lincSS.dw	n.1.1	47594	ENSCAFG00845012475	ENSCAFG00845012589	lincSS.dw	n.1.1	45154
ENSMUSG00000022404	ENSMUSG00000115970	lincSS.dw	n.n.n	6045	ENSCAFG00845019500	ENSCAFG00845019637	lincSS.dw	1.1.1	10854
ENSMUSG00000022546	ENSMUSG00000120401	lncgDivg	1.1.1	0	ENSCAFG00845011384	ENSCAFG00845011361	lncgDivg	1.1.1	1658
ENSMUSG00000022587	ENSMUSG00000116380	lincSS.up	1.1.1	18735	ENSCAFG00845014604	ENSCAFG00845014572	lincSS.up	n.1.1	10992
ENSMUSG00000022617	ENSMUSG00000079242	lncgDivg	1.1.1	0	ENSCAFG00845027398	ENSCAFG00845027295	lncgDivg	n.1.1	246
ENSMUSG00000022637	ENSMUSG00000116725	lincDivg	n.1.1	25730	ENSCAFG00845022767	ENSCAFG00845023181	lincDivg	1.1.1	47182
ENSMUSG00000022708	ENSMUSG00000116903	lncgDivg	1.1.1	0	ENSCAFG00845015177	ENSCAFG00845015227	lncgDivg	n.1.1	30068
ENSMUSG00000022708	ENSMUSG00000055370	lncgDivg	1.1.1	0	ENSCAFG00845015177	ENSCAFG00845015227	lncgDivg	n.1.1	30068
ENSMUSG00000022708	ENSMUSG00000085499	lncgDivg	1.1.1	0	ENSCAFG00845015177	ENSCAFG00845015227	lncgDivg	n.1.1	30068
ENSMUSG00000022708	ENSMUSG00000075070	lncgDivg	n.1.1	119	ENSCAFG00845015177	ENSCAFG00845015227	lncgDivg	n.1.1	30068
ENSMUSG00000022883	ENSMUSG00000116769	lincDivg	n.1.1	73979	ENSCAFG00845020071	ENSCAFG00845019932	lincDivg	1.1.1	34751
ENSMUSG00000022883	ENSMUSG00000116769	lincDivg	n.1.1	73979	ENSCAFG00845020071	ENSCAFG00845019893	lincDivg	1.1.1	59068
ENSMUSG00000022883	ENSMUSG00000116769	lincDivg	n.1.1	73979	ENSCAFG00845020071	ENSCAFG00845019904	lincDivg	1.1.1	54550
ENSMUSG00000022883	ENSMUSG00000116769	lincDivg	n.1.1	73979	ENSCAFG00845020071	ENSCAFG00845019942	lincDivg	1.1.1	20570
ENSMUSG00000022883	ENSMUSG00000116769	lincDivg	n.1.1	73979	ENSCAFG00845020071	ENSCAFG00845019915	lincDivg	1.1.1	44301
ENSMUSG00000022883	ENSMUSG00000116769	lincDivg	n.1.1	73979	ENSCAFG00845020071	ENSCAFG00845019958	lincDivg	1.1.1	15092
ENSMUSG00000022892	ENSMUSG00000115469	lncgDivg	1.1.1	0	ENSCAFG00845015660	ENSCAFG00845017653	lncgDivg	n.1.1	3
ENSMUSG00000022892	ENSMUSG00000114988	lncgDivg	1.1.1	0	ENSCAFG00845015660	ENSCAFG00845017653	lncgDivg	n.1.1	3
ENSMUSG00000022892	ENSMUSG00000115518	lncgDivg	1.1.1	0	ENSCAFG00845015660	ENSCAFG00845017653	lncgDivg	n.1.1	3
ENSMUSG00000022898	ENSMUSG00000116589	lncgConv	1.1.1	0	ENSCAFG00845028583	ENSCAFG00845028522	lncgConv	1.1.1	366
ENSMUSG00000022967	ENSMUSG00000116987	lincDivg	n.n.n	20349	ENSCAFG00845026778	ENSCAFG00845026725	lincDivg	1.1.1	14565
ENSMUSG00000022967	ENSMUSG00000084866	lincSS.up	n.1.1	15110	ENSCAFG00845026778	ENSCAFG00845026718	lincSS.up	1.1.1	11886
ENSMUSG00000024085	ENSMUSG00000091160	lncgDivg	1.1.1	0	ENSCAFG00845004163	ENSCAFG00845000171	lncgDivg	n.n.n	903
ENSMUSG00000024087	ENSMUSG00000117426	lincDivg	1.1.1	18813	ENSCAFG00845020438	ENSCAFG00845020563	lincDivg	1.1.1	48313
ENSMUSG00000024087	ENSMUSG00000117616	lincDivg	1.1.1	56901	ENSCAFG00845020438	ENSCAFG00845020563	lincDivg	1.1.1	48313
ENSMUSG00000024098	ENSMUSG00000117229	lincConv	n.1.1	5490	ENSCAFG00845004527	ENSCAFG00845004593	lincConv	1.1.1	12693
ENSMUSG00000024135	ENSMUSG00000117501	lincSS.dw	n.1.1	56058	ENSCAFG00845027248	ENSCAFG00845027133	lincSS.dw	1.1.1	28850
ENSMUSG00000024135	ENSMUSG00000117501	lincSS.dw	n.1.1	56058	ENSCAFG00845027248	ENSCAFG00845027119	lincSS.dw	1.1.1	96169
ENSMUSG00000024206	ENSMUSG00000121209	lncgDivg	1.1.1	0	ENSCAFG00845011818	ENSCAFG00845011782	lncgDivg	1.1.1	1
ENSMUSG00000024268	ENSMUSG00000114511	lncgDivg	1.1.1	0	ENSCAFG00845004209	ENSCAFG00845004142	lncgDivg	n.1.1	1550
ENSMUSG00000024268	ENSMUSG00000114306	lncgDivg	1.1.1	0	ENSCAFG00845004209	ENSCAFG00845004142	lncgDivg	n.1.1	1550
ENSMUSG00000024268	ENSMUSG00000120137	lncgDivg	n.1.1	227	ENSCAFG00845004209	ENSCAFG00845004142	lncgDivg	n.1.1	1550
ENSMUSG00000024304	ENSMUSG00000085575	lncgDivg	1.1.1	0	ENSCAFG00845012116	ENSCAFG00845012049	lncgDivg	1.1.1	250
ENSMUSG00000024335	ENSMUSG00000117772	lncgConv	1.1.1	2200	ENSCAFG00845018726	ENSCAFG00845018903	lncgConv	1.1.1	3207
ENSMUSG00000024347	ENSMUSG00000120345	lncgSS.up	1.1.1	4563	ENSCAFG00845001040	ENSCAFG00845001011	lncgSS.up	1.1.1	2813
ENSMUSG00000024376	ENSMUSG00000087590	lncgConv	n.1.1	330	ENSCAFG00845003607	ENSCAFG00845003724	lncgConv	1.1.1	4296
ENSMUSG00000024381	ENSMUSG00000097413	lncgDivg	n.n.1	0	ENSCAFG00845023270	ENSCAFG00845022927	lncgDivg	1.1.1	2156
ENSMUSG00000024411	ENSMUSG00000117645	lincConv	1.1.1	27190	ENSCAFG00845012372	ENSCAFG00845012449	lincConv	1.1.1	37343
ENSMUSG00000024524	ENSMUSG00000117868	lincDivg	1.1.1	56698	ENSCAFG00845004832	ENSCAFG00845004812	lincDivg	1.1.1	59734
ENSMUSG00000024565	ENSMUSG00000098720	lncgDivg	1.1.1	685	ENSCAFG00845000191	ENSCAFG00845000262	lncgDivg	1.1.1	1739
ENSMUSG00000024578	ENSMUSG00000120623	lincDivg	1.1.1	38208	ENSCAFG00845009566	ENSCAFG00845009524	lincDivg	n.1.1	24367
