PCG.Canis_lupus_familiaris	lncRNA.Canis_lupus_familiaris	conf.Canis_lupus_familiaris	class.Canis_lupus_familiaris	distance.Canis_lupus_familiaris	PCG.Homo_sapiens	lncRNA.Homo_sapiens	conf.Homo_sapiens	class.Homo_sapiens	distance.Homo_sapiens
ENSCAFG00845000590	ENSCAFG00845000571	lncgDivg	1.1.1	575	ENSG00000101493	ENSG00000263982	lncgDivg	1.1.1	0
ENSCAFG00845000590	ENSCAFG00845000571	lncgDivg	1.1.1	575	ENSG00000101493	ENSG00000275763	lncgDivg	1.1.1	279
ENSCAFG00845000590	ENSCAFG00845000566	lncgDivg	1.1.1	3911	ENSG00000101493	ENSG00000265778	lncgDivg	n.1.1	0
ENSCAFG00845000590	ENSCAFG00845000566	lncgDivg	1.1.1	3911	ENSG00000101493	ENSG00000263982	lncgDivg	1.1.1	0
ENSCAFG00845000590	ENSCAFG00845000566	lncgDivg	1.1.1	3911	ENSG00000101493	ENSG00000275763	lncgDivg	1.1.1	279
ENSCAFG00845000654	ENSCAFG00845000661	lncgConv	1.1.1	630	ENSG00000152475	ENSG00000269054	lncgConv	n.1.n	0
ENSCAFG00845000698	ENSCAFG00845000678	lncgConv	1.1.1	1438	ENSG00000215421	ENSG00000278607	lncgConv	n.1.1	4521
ENSCAFG00845000705	ENSCAFG00845000750	lncgDivg	1.1.1	21	ENSG00000205832	ENSG00000261789	lncgDivg	1.1.1	0
ENSCAFG00845000708	ENSCAFG00845000739	lncgConv	1.1.1	2369	ENSG00000169744	ENSG00000248138	lncgConv	n.n.1	0
ENSCAFG00845000843	ENSCAFG00845000864	lncgConv	1.1.1	263	ENSG00000140548	ENSG00000259291	lncgConv	n.1.1	0
ENSCAFG00845000843	ENSCAFG00845000870	lncgSS.dw	1.1.1	1151	ENSG00000140548	ENSG00000273691	lncgSS.dw	1.1.1	0
ENSCAFG00845000922	ENSCAFG00845000781	lincSS.up	n.1.1	18958	ENSG00000007062	ENSG00000286280	lincSS.up	1.1.1	29855
ENSCAFG00845000981	ENSCAFG00845000967	lincSS.up	1.1.1	7311	ENSG00000131508	ENSG00000286403	lincSS.up	1.1.1	15057
ENSCAFG00845001004	ENSCAFG00845000956	lncgSS.dw	1.1.1	1257	ENSG00000116731	ENSG00000289380	lncgSS.dw	1.1.1	0
ENSCAFG00845001046	ENSCAFG00845001084	lncgDivg	1.1.1	2634	ENSG00000110330	ENSG00000288833	lncgDivg	1.1.1	1
ENSCAFG00845001189	ENSCAFG00845001172	lincConv	1.1.1	18107	ENSG00000170677	ENSG00000266304	lincConv	1.1.1	5302
ENSCAFG00845001189	ENSCAFG00845001172	lincConv	1.1.1	18107	ENSG00000170677	ENSG00000266278	lincConv	1.1.1	49941
ENSCAFG00845001189	ENSCAFG00845001135	lincSS.dw	n.1.1	77075	ENSG00000170677	ENSG00000266258	lincSS.dw	n.1.1	5240
ENSCAFG00845001189	ENSCAFG00845001162	lincSS.dw	n.1.1	19413	ENSG00000170677	ENSG00000266258	lincSS.dw	n.1.1	5240
ENSCAFG00845001243	ENSCAFG00845001284	lncgSS.dw	1.1.1	2851	ENSG00000130338	ENSG00000274023	lncgSS.dw	1.1.1	0
ENSCAFG00845001353	ENSCAFG00845001367	lincDivg	1.1.1	12489	ENSG00000126603	ENSG00000288935	lincDivg	1.1.1	7137
ENSCAFG00845001461	ENSCAFG00845001477	lincDivg	1.1.1	12248	ENSG00000164691	ENSG00000224478	lincDivg	n.n.n	48941
ENSCAFG00845001525	ENSCAFG00845001515	lncgSS.dw	1.1.1	971	ENSG00000197714	ENSG00000288899	lncgSS.dw	1.1.1	3442
ENSCAFG00845001601	ENSCAFG00845001870	lincDivg	1.1.1	90067	ENSG00000145730	ENSG00000250682	lincDivg	n.1.1	82216
ENSCAFG00845001601	ENSCAFG00845001811	lincDivg	1.1.1	45459	ENSG00000145730	ENSG00000250682	lincDivg	n.1.1	82216
ENSCAFG00845001601	ENSCAFG00845001779	lincDivg	1.1.1	27675	ENSG00000145730	ENSG00000250682	lincDivg	n.1.1	82216
ENSCAFG00845001601	ENSCAFG00845001817	lincDivg	1.1.1	58772	ENSG00000145730	ENSG00000250682	lincDivg	n.1.1	82216
ENSCAFG00845001601	ENSCAFG00845001772	lincDivg	1.1.1	9326	ENSG00000145730	ENSG00000250682	lincDivg	n.1.1	82216
ENSCAFG00845001601	ENSCAFG00845001792	lincDivg	1.1.1	32324	ENSG00000145730	ENSG00000250682	lincDivg	n.1.1	82216
ENSCAFG00845001601	ENSCAFG00845001857	lincDivg	1.1.1	84023	ENSG00000145730	ENSG00000250682	lincDivg	n.1.1	82216
ENSCAFG00845001601	ENSCAFG00845001849	lincDivg	1.1.1	74382	ENSG00000145730	ENSG00000250682	lincDivg	n.1.1	82216
ENSCAFG00845001601	ENSCAFG00845001764	lincSS.up	1.1.1	7525	ENSG00000145730	ENSG00000286338	lincSS.up	1.1.1	27383
ENSCAFG00845001601	ENSCAFG00845001784	lincSS.up	1.1.1	27993	ENSG00000145730	ENSG00000286338	lincSS.up	1.1.1	27383
ENSCAFG00845001601	ENSCAFG00845001863	lincSS.up	1.1.1	86863	ENSG00000145730	ENSG00000286338	lincSS.up	1.1.1	27383
ENSCAFG00845001601	ENSCAFG00845001787	lincSS.up	1.1.1	32271	ENSG00000145730	ENSG00000286338	lincSS.up	1.1.1	27383
ENSCAFG00845001601	ENSCAFG00845001826	lincSS.up	1.1.1	59229	ENSG00000145730	ENSG00000286338	lincSS.up	1.1.1	27383
ENSCAFG00845001601	ENSCAFG00845001844	lincSS.up	1.1.1	74377	ENSG00000145730	ENSG00000286338	lincSS.up	1.1.1	27383
ENSCAFG00845001601	ENSCAFG00845001834	lincSS.up	1.1.1	65672	ENSG00000145730	ENSG00000286338	lincSS.up	1.1.1	27383
ENSCAFG00845001601	ENSCAFG00845001804	lincSS.up	1.1.1	45459	ENSG00000145730	ENSG00000286338	lincSS.up	1.1.1	27383
ENSCAFG00845001606	ENSCAFG00845001573	lincDivg	n.1.1	35827	ENSG00000117707	ENSG00000281664	lincDivg	1.1.1	56527
ENSCAFG00845001606	ENSCAFG00845001588	lncgDivg	n.1.1	283	ENSG00000117707	ENSG00000272167	lncgDivg	1.1.1	0
ENSCAFG00845001606	ENSCAFG00845001588	lncgDivg	n.1.1	283	ENSG00000117707	ENSG00000274895	lncgDivg	1.1.1	0
ENSCAFG00845001606	ENSCAFG00845001588	lncgDivg	n.1.1	283	ENSG00000117707	ENSG00000230461	lncgDivg	n.n.1	0
ENSCAFG00845001754	ENSCAFG00845001701	lincSS.dw	1.1.1	33623	ENSG00000291237	ENSG00000286533	lincSS.dw	1.1.1	6442
ENSCAFG00845001754	ENSCAFG00845001701	lincSS.dw	1.1.1	33623	ENSG00000291237	ENSG00000237927	lincSS.dw	1.1.1	79900
ENSCAFG00845001754	ENSCAFG00845001707	lincSS.dw	1.1.1	25527	ENSG00000291237	ENSG00000286533	lincSS.dw	1.1.1	6442
ENSCAFG00845001754	ENSCAFG00845001707	lincSS.dw	1.1.1	25527	ENSG00000291237	ENSG00000237927	lincSS.dw	1.1.1	79900
ENSCAFG00845001754	ENSCAFG00845001689	lincSS.dw	1.1.1	62049	ENSG00000291237	ENSG00000286533	lincSS.dw	1.1.1	6442
ENSCAFG00845001754	ENSCAFG00845001689	lincSS.dw	1.1.1	62049	ENSG00000291237	ENSG00000237927	lincSS.dw	1.1.1	79900
ENSCAFG00845001755	ENSCAFG00845001767	lncgConv	1.1.1	339	ENSG00000121931	ENSG00000232811	lncgConv	1.1.1	0
ENSCAFG00845001755	ENSCAFG00845001745	lncgDivg	1.1.1	129	ENSG00000121931	ENSG00000273010	lncgDivg	1.1.1	0
ENSCAFG00845001755	ENSCAFG00845001760	lncgSS.dw	1.1.1	338	ENSG00000121931	ENSG00000261654	lncgSS.dw	1.1.1	4837
ENSCAFG00845001915	ENSCAFG00845001956	lincConv	1.1.1	14832	ENSG00000116685	ENSG00000285646	lincConv	n.1.1	10261
ENSCAFG00845001961	ENSCAFG00845001762	lncgConv	n.1.1	3353	ENSG00000137449	ENSG00000249252	lncgConv	n.n.1	0
ENSCAFG00845001964	ENSCAFG00845001893	lincDivg	1.1.1	29882	ENSG00000205359	ENSG00000250958	lincDivg	1.1.1	82352
ENSCAFG00845002013	ENSCAFG00845002048	lncgDivg	1.1.1	238	ENSG00000213918	ENSG00000263235	lncgDivg	1.1.1	0
ENSCAFG00845002033	ENSCAFG00845002120	lncgSS.dw	1.1.1	177	ENSG00000103404	ENSG00000260566	lncgSS.dw	1.1.1	0
ENSCAFG00845002090	ENSCAFG00845002068	lncgDivg	1.1.1	140	ENSG00000188827	ENSG00000261938	lncgDivg	1.1.1	0
ENSCAFG00845002159	ENSCAFG00845002235	lncgSS.dw	1.1.1	945	ENSG00000134470	ENSG00000232807	lncgSS.dw	n.n.n	0
ENSCAFG00845002161	ENSCAFG00845002071	lncgDivg	1.1.1	1811	ENSG00000080503	ENSG00000236199	lncgDivg	1.1.1	0
ENSCAFG00845002170	ENSCAFG00845002155	lincConv	1.1.1	8820	ENSG00000174132	ENSG00000250806	lincConv	1.1.1	67371
ENSCAFG00845002170	ENSCAFG00845002139	lincConv	1.1.1	27556	ENSG00000174132	ENSG00000250806	lincConv	1.1.1	67371
ENSCAFG00845002170	ENSCAFG00845002148	lincConv	1.1.1	21411	ENSG00000174132	ENSG00000250806	lincConv	1.1.1	67371
ENSCAFG00845002239	ENSCAFG00845002216	lincConv	1.1.1	6194	ENSG00000155719	ENSG00000260306	lincConv	1.1.1	32160
ENSCAFG00845002272	ENSCAFG00845002299	lincConv	1.1.1	74576	ENSG00000141433	ENSG00000272461	lincConv	1.1.1	50420
ENSCAFG00845002272	ENSCAFG00845002299	lincConv	1.1.1	74576	ENSG00000141433	ENSG00000259837	lincConv	1.1.1	13911
ENSCAFG00845002309	ENSCAFG00845002343	lncgConv	1.1.1	1211	ENSG00000070770	ENSG00000260927	lncgConv	n.1.1	0
ENSCAFG00845002371	ENSCAFG00845002398	lincSS.up	1.1.1	32089	ENSG00000184371	ENSG00000228420	lincSS.up	1.1.1	38806
ENSCAFG00845002371	ENSCAFG00845002398	lincSS.up	1.1.1	32089	ENSG00000184371	ENSG00000261055	lincSS.up	1.1.1	12381
ENSCAFG00845002386	ENSCAFG00845002373	lincDivg	1.1.1	19244	ENSG00000002587	ENSG00000251152	lincDivg	1.1.1	39686
ENSCAFG00845002386	ENSCAFG00845002377	lncgDivg	1.1.1	3452	ENSG00000002587	ENSG00000287778	lncgDivg	n.n.1	0
ENSCAFG00845002440	ENSCAFG00845002471	lncgDivg	1.1.1	1612	ENSG00000080608	ENSG00000289552	lncgDivg	1.1.1	219
ENSCAFG00845002465	ENSCAFG00845002505	lncgSS.dw	1.1.1	2411	ENSG00000138336	ENSG00000260400	lncgSS.dw	1.1.1	4013
ENSCAFG00845002583	ENSCAFG00845002599	lincConv	1.1.1	20502	ENSG00000112530	ENSG00000285726	lincConv	1.1.1	32519
ENSCAFG00845002583	ENSCAFG00845002599	lincConv	1.1.1	20502	ENSG00000112530	ENSG00000285564	lincConv	n.1.1	22863
ENSCAFG00845002602	ENSCAFG00845002582	lncgSS.dw	1.1.1	99	ENSG00000135823	ENSG00000243155	lncgSS.dw	1.1.1	0
ENSCAFG00845002667	ENSCAFG00845002656	lncgDivg	1.1.1	3901	ENSG00000178163	ENSG00000287154	lncgDivg	1.1.1	0
ENSCAFG00845002697	ENSCAFG00845002831	lncgDivg	1.1.1	2474	ENSG00000183032	ENSG00000258708	lncgDivg	1.1.1	0
ENSCAFG00845002697	ENSCAFG00845002831	lncgDivg	1.1.1	2474	ENSG00000183032	ENSG00000258601	lncgDivg	1.1.1	0
ENSCAFG00845002697	ENSCAFG00845002831	lncgDivg	1.1.1	2474	ENSG00000183032	ENSG00000258690	lncgDivg	1.1.1	0
ENSCAFG00845002697	ENSCAFG00845002836	lncgSS.up	1.1.1	2478	ENSG00000183032	ENSG00000258827	lncgSS.up	1.1.1	0
ENSCAFG00845002712	ENSCAFG00845002775	lincDivg	n.n.n	22639	ENSG00000176715	ENSG00000256982	lincDivg	n.1.1	35400
ENSCAFG00845002712	ENSCAFG00845002749	lincDivg	1.1.1	5819	ENSG00000176715	ENSG00000256982	lincDivg	n.1.1	35400
ENSCAFG00845002724	ENSCAFG00845002708	lncgSS.dw	1.1.1	2124	ENSG00000065135	ENSG00000225113	lncgSS.dw	1.1.1	0
ENSCAFG00845002735	ENSCAFG00845002702	lncgConv	1.1.1	21	ENSG00000158816	ENSG00000236963	lncgConv	n.1.1	1061
ENSCAFG00845002783	ENSCAFG00845002828	lncgDivg	1.1.1	1962	ENSG00000113361	ENSG00000254138	lncgDivg	1.1.1	0
ENSCAFG00845002783	ENSCAFG00845002828	lncgDivg	1.1.1	1962	ENSG00000113361	ENSG00000289601	lncgDivg	n.1.1	0
ENSCAFG00845002794	ENSCAFG00845002716	lincDivg	1.1.1	56218	ENSG00000162618	ENSG00000285462	lincDivg	1.1.1	42884
ENSCAFG00845002794	ENSCAFG00845002716	lincDivg	1.1.1	56218	ENSG00000162618	ENSG00000235011	lincDivg	1.1.1	41645
ENSCAFG00845002794	ENSCAFG00845002707	lincSS.up	1.1.1	56193	ENSG00000162618	ENSG00000282898	lincSS.up	1.1.1	41645
ENSCAFG00845002810	ENSCAFG00845002780	lincDivg	1.1.1	15938	ENSG00000033170	ENSG00000258760	lincDivg	n.1.1	91802
ENSCAFG00845002810	ENSCAFG00845002798	lincDivg	1.1.1	5835	ENSG00000033170	ENSG00000258760	lincDivg	n.1.1	91802
ENSCAFG00845002810	ENSCAFG00845002737	lincDivg	n.1.1	91520	ENSG00000033170	ENSG00000258760	lincDivg	n.1.1	91802
ENSCAFG00845002810	ENSCAFG00845002764	lincDivg	1.1.1	52020	ENSG00000033170	ENSG00000258760	lincDivg	n.1.1	91802
ENSCAFG00845002810	ENSCAFG00845002772	lincDivg	1.1.1	43793	ENSG00000033170	ENSG00000258760	lincDivg	n.1.1	91802
ENSCAFG00845002881	ENSCAFG00845002911	lincSS.up	1.1.1	22131	ENSG00000187824	ENSG00000264016	lincSS.up	n.n.n	11234
ENSCAFG00845002887	ENSCAFG00845002908	lncgDivg	1.1.1	3266	ENSG00000101751	ENSG00000277324	lncgDivg	1.1.1	0
ENSCAFG00845002896	ENSCAFG00845002889	lncgSS.up	1.1.1	1675	ENSG00000081818	ENSG00000272108	lncgSS.up	1.1.1	1053
ENSCAFG00845002912	ENSCAFG00845002920	lncgConv	1.1.1	3422	ENSG00000113209	ENSG00000280029	lncgConv	n.n.n	0
ENSCAFG00845002914	ENSCAFG00845002788	lincDivg	1.1.1	17200	ENSG00000129993	ENSG00000259989	lincDivg	1.1.1	6825
ENSCAFG00845002945	ENSCAFG00845002954	lncgSS.dw	1.1.1	973	ENSG00000113211	ENSG00000290893	lncgSS.dw	1.1.1	2709
ENSCAFG00845002947	ENSCAFG00845002869	lncgDivg	1.1.1	449	ENSG00000150093	ENSG00000229656	lncgDivg	n.n.1	0
ENSCAFG00845002978	ENSCAFG00845003031	lncgSS.dw	1.1.1	623	ENSG00000188803	ENSG00000264727	lncgSS.dw	1.1.1	0
ENSCAFG00845002986	ENSCAFG00845003020	lncgSS.dw	1.1.1	965	ENSG00000166716	ENSG00000259415	lncgSS.dw	1.1.1	0
ENSCAFG00845003083	ENSCAFG00845003150	lincConv	1.1.1	30866	ENSG00000067082	ENSG00000229672	lincConv	n.1.1	12284
ENSCAFG00845003083	ENSCAFG00845003150	lincConv	1.1.1	30866	ENSG00000067082	ENSG00000228353	lincConv	1.1.1	7245
ENSCAFG00845003120	ENSCAFG00845003046	lncgDivg	1.1.1	241	ENSG00000178188	ENSG00000261766	lncgDivg	1.1.1	0
ENSCAFG00845003207	ENSCAFG00845003236	lncgSS.up	1.1.1	3380	ENSG00000143473	ENSG00000234233	lncgSS.up	1.1.1	0
ENSCAFG00845003273	ENSCAFG00845003223	lncgConv	1.1.1	36	ENSG00000185742	ENSG00000255028	lncgConv	n.1.1	0
ENSCAFG00845003276	ENSCAFG00845003269	lncgDivg	1.1.1	3115	ENSG00000215277	ENSG00000289968	lncgDivg	1.1.1	0
ENSCAFG00845003311	ENSCAFG00845003316	lncgDivg	1.1.1	1192	ENSG00000176788	ENSG00000215196	lncgDivg	n.n.1	0
ENSCAFG00845003311	ENSCAFG00845003316	lncgDivg	1.1.1	1192	ENSG00000176788	ENSG00000271892	lncgDivg	1.1.1	0
ENSCAFG00845003318	ENSCAFG00845003359	lncgSS.dw	1.1.1	941	ENSG00000273540	ENSG00000259636	lncgSS.dw	1.1.1	0
ENSCAFG00845003431	ENSCAFG00845003440	lincDivg	1.1.1	10330	ENSG00000198081	ENSG00000264254	lincDivg	1.1.1	13343
ENSCAFG00845003441	ENSCAFG00845003450	lincSS.up	1.1.1	6897	ENSG00000103479	ENSG00000262714	lincSS.up	1.1.1	44892
ENSCAFG00845003473	ENSCAFG00845003485	lncgConv	1.1.1	1139	ENSG00000185669	ENSG00000260630	lncgConv	n.n.n	0
ENSCAFG00845003515	ENSCAFG00845003575	lincSS.dw	1.1.1	38755	ENSG00000065559	ENSG00000265400	lincSS.dw	1.1.1	57770
ENSCAFG00845003515	ENSCAFG00845003570	lincSS.dw	1.1.1	31623	ENSG00000065559	ENSG00000265400	lincSS.dw	1.1.1	57770
ENSCAFG00845003525	ENSCAFG00845003499	lincDivg	1.1.1	16899	ENSG00000113594	ENSG00000251189	lincDivg	1.1.1	73716
ENSCAFG00845003525	ENSCAFG00845003505	lncgDivg	1.1.1	4496	ENSG00000113594	ENSG00000244968	lncgDivg	n.n.1	0
ENSCAFG00845003529	ENSCAFG00845003460	lncgSS.dw	1.1.1	14	ENSG00000177200	ENSG00000261291	lncgSS.dw	1.1.1	0
ENSCAFG00845003608	ENSCAFG00845003590	lncgSS.dw	1.1.1	707	ENSG00000066739	ENSG00000258729	lncgSS.dw	n.1.1	2472
ENSCAFG00845003624	ENSCAFG00845004062	lincDivg	1.1.1	66030	ENSG00000145934	ENSG00000254130	lincDivg	1.1.1	52659
ENSCAFG00845003624	ENSCAFG00845004083	lincDivg	1.1.1	90353	ENSG00000145934	ENSG00000254130	lincDivg	1.1.1	52659
ENSCAFG00845003624	ENSCAFG00845004030	lincDivg	1.1.1	28094	ENSG00000145934	ENSG00000254130	lincDivg	1.1.1	52659
ENSCAFG00845003624	ENSCAFG00845004051	lincDivg	1.1.1	39609	ENSG00000145934	ENSG00000254130	lincDivg	1.1.1	52659
ENSCAFG00845003624	ENSCAFG00845004057	lincDivg	1.1.1	57136	ENSG00000145934	ENSG00000254130	lincDivg	1.1.1	52659
ENSCAFG00845003624	ENSCAFG00845004019	lncgDivg	1.1.1	2032	ENSG00000145934	ENSG00000254365	lncgDivg	1.1.1	0
ENSCAFG00845003624	ENSCAFG00845004019	lncgDivg	1.1.1	2032	ENSG00000145934	ENSG00000253947	lncgDivg	1.1.1	0
ENSCAFG00845003624	ENSCAFG00845004019	lncgDivg	1.1.1	2032	ENSG00000145934	ENSG00000253713	lncgDivg	1.1.1	0
ENSCAFG00845003624	ENSCAFG00845004019	lncgDivg	1.1.1	2032	ENSG00000145934	ENSG00000253527	lncgDivg	1.1.1	0
ENSCAFG00845003624	ENSCAFG00845004019	lncgDivg	1.1.1	2032	ENSG00000145934	ENSG00000253925	lncgDivg	1.1.1	0
ENSCAFG00845003624	ENSCAFG00845004019	lncgDivg	1.1.1	2032	ENSG00000145934	ENSG00000254187	lncgDivg	1.1.1	0
ENSCAFG00845003624	ENSCAFG00845004019	lncgDivg	1.1.1	2032	ENSG00000145934	ENSG00000253660	lncgDivg	1.1.1	0
ENSCAFG00845003624	ENSCAFG00845004019	lncgDivg	1.1.1	2032	ENSG00000145934	ENSG00000253469	lncgDivg	1.1.1	0
ENSCAFG00845003624	ENSCAFG00845004019	lncgDivg	1.1.1	2032	ENSG00000145934	ENSG00000254297	lncgDivg	1.1.1	0
ENSCAFG00845003745	ENSCAFG00845003755	lncgConv	1.1.1	4950	ENSG00000134986	ENSG00000246859	lncgConv	n.n.1	0
ENSCAFG00845003787	ENSCAFG00845003795	lncgDivg	1.1.1	402	ENSG00000183580	ENSG00000250250	lncgDivg	n.1.1	0
ENSCAFG00845003843	ENSCAFG00845003855	lncgDivg	1.1.1	416	ENSG00000165355	ENSG00000258526	lncgDivg	n.1.1	133
ENSCAFG00845003856	ENSCAFG00845003841	lincSS.dw	1.1.1	7771	ENSG00000077420	ENSG00000290444	lincSS.dw	1.1.1	22062
ENSCAFG00845003872	ENSCAFG00845003869	lncgConv	1.1.1	1130	ENSG00000145777	ENSG00000253613	lncgConv	1.1.1	0
ENSCAFG00845003905	ENSCAFG00845003835	lincSS.up	1.1.1	8811	ENSG00000185920	ENSG00000229345	lincSS.up	n.1.1	82381
ENSCAFG00845003905	ENSCAFG00845003833	lncgDivg	1.1.1	3509	ENSG00000185920	ENSG00000271314	lncgDivg	1.1.1	0
ENSCAFG00845003905	ENSCAFG00845003833	lncgDivg	1.1.1	3509	ENSG00000185920	ENSG00000271155	lncgDivg	1.1.1	0
ENSCAFG00845003905	ENSCAFG00845003833	lncgDivg	1.1.1	3509	ENSG00000185920	ENSG00000271659	lncgDivg	1.1.1	0
ENSCAFG00845003925	ENSCAFG00845003886	lncgConv	1.1.1	1575	ENSG00000186628	ENSG00000252690	lncgConv	1.1.1	0
ENSCAFG00845003925	ENSCAFG00845003886	lncgConv	1.1.1	1575	ENSG00000186628	ENSG00000250988	lncgConv	n.n.1	0
ENSCAFG00845003940	ENSCAFG00845003969	lncgDivg	n.n.n	1052	ENSG00000205476	ENSG00000258749	lncgDivg	1.1.1	0
ENSCAFG00845003940	ENSCAFG00845003969	lncgDivg	n.n.n	1052	ENSG00000205476	ENSG00000247970	lncgDivg	1.1.1	310
ENSCAFG00845003971	ENSCAFG00845003952	lincDivg	1.1.1	19077	ENSG00000081177	ENSG00000258957	lincDivg	n.n.1	0
ENSCAFG00845004136	ENSCAFG00845004150	lncgDivg	n.1.1	1254	ENSG00000106236	ENSG00000288889	lncgDivg	1.1.1	135
ENSCAFG00845004137	ENSCAFG00845004119	lincSS.dw	1.1.1	67535	ENSG00000151025	ENSG00000280809	lincSS.dw	n.1.1	49483
ENSCAFG00845004154	ENSCAFG00845004167	lncgSS.dw	1.1.1	4497	ENSG00000100647	ENSG00000273797	lncgSS.dw	1.1.1	0
ENSCAFG00845004161	ENSCAFG00845004193	lincDivg	n.1.1	30309	ENSG00000140521	ENSG00000255571	lincDivg	n.1.1	26718
ENSCAFG00845004161	ENSCAFG00845004193	lincDivg	n.1.1	30309	ENSG00000140521	ENSG00000289128	lincDivg	1.1.1	65312
ENSCAFG00845004161	ENSCAFG00845000235	lincSS.up	1.1.1	42527	ENSG00000140521	ENSG00000287717	lincSS.up	1.1.1	26296
ENSCAFG00845004161	ENSCAFG00845000244	lincSS.up	1.1.1	52404	ENSG00000140521	ENSG00000287717	lincSS.up	1.1.1	26296
ENSCAFG00845004161	ENSCAFG00845004187	lncgDivg	1.1.1	1331	ENSG00000140521	ENSG00000261441	lncgDivg	n.1.1	192
ENSCAFG00845004163	ENSCAFG00845000171	lncgDivg	n.n.n	903	ENSG00000112893	ENSG00000271849	lncgDivg	1.1.1	1598
ENSCAFG00845004209	ENSCAFG00845004142	lncgDivg	n.1.1	1550	ENSG00000101489	ENSG00000267707	lncgDivg	1.1.1	0
ENSCAFG00845004209	ENSCAFG00845004142	lncgDivg	n.1.1	1550	ENSG00000101489	ENSG00000267202	lncgDivg	n.1.1	0
ENSCAFG00845004209	ENSCAFG00845004142	lncgDivg	n.1.1	1550	ENSG00000101489	ENSG00000285940	lncgDivg	n.n.1	0
