PCG.Mus_musculus	lncRNA.Mus_musculus	conf.Mus_musculus	class.Mus_musculus	distance.Mus_musculus	PCG.Homo_sapiens	lncRNA.Homo_sapiens	conf.Homo_sapiens	class.Homo_sapiens	distance.Homo_sapiens
ENSMUSG00000000567	ENSMUSG00000075437	lncgConv	1.1.1	4971	ENSG00000125398	ENSG00000288605	lncgConv	n.n.1	0
ENSMUSG00000000568	ENSMUSG00000091623	lncgDivg	n.n.1	0	ENSG00000138668	ENSG00000272677	lncgDivg	n.n.1	0
ENSMUSG00000000628	ENSMUSG00000108015	lincDivg	n.1.1	48760	ENSG00000159399	ENSG00000287687	lincDivg	n.n.n	55385
ENSMUSG00000000628	ENSMUSG00000109556	lincSS.up	1.1.1	29311	ENSG00000159399	ENSG00000286739	lincSS.up	n.n.n	28148
ENSMUSG00000000628	ENSMUSG00000090293	lncgDivg	1.1.1	0	ENSG00000159399	ENSG00000272711	lncgDivg	1.1.1	140
ENSMUSG00000000673	ENSMUSG00000121087	lncgDivg	1.1.1	0	ENSG00000162882	ENSG00000288886	lncgDivg	n.n.1	0
ENSMUSG00000000673	ENSMUSG00000121087	lncgDivg	1.1.1	0	ENSG00000162882	ENSG00000289082	lncgDivg	1.1.1	2733
ENSMUSG00000000686	ENSMUSG00000072673	lncgDivg	1.1.1	0	ENSG00000168792	ENSG00000264031	lncgDivg	1.1.1	0
ENSMUSG00000000759	ENSMUSG00000074469	lincSS.up	1.1.1	34696	ENSG00000126216	ENSG00000277159	lincSS.up	1.1.1	14623
ENSMUSG00000000823	ENSMUSG00000010492	lncgConv	n.n.n	0	ENSG00000196700	ENSG00000280213	lncgConv	1.1.1	0
ENSMUSG00000000861	ENSMUSG00000086117	lincConv	1.1.1	24614	ENSG00000119866	ENSG00000287640	lincConv	1.1.1	64726
ENSMUSG00000000861	ENSMUSG00000085579	lincSS.dw	1.1.1	27295	ENSG00000119866	ENSG00000228590	lincSS.dw	n.1.1	10692
ENSMUSG00000000861	ENSMUSG00000120674	lincSS.dw	n.1.1	81537	ENSG00000119866	ENSG00000228590	lincSS.dw	n.1.1	10692
ENSMUSG00000000861	ENSMUSG00000086612	lncgDivg	1.1.1	0	ENSG00000119866	ENSG00000233953	lncgDivg	1.1.1	0
ENSMUSG00000000861	ENSMUSG00000085516	lncgDivg	n.n.1	0	ENSG00000119866	ENSG00000233953	lncgDivg	1.1.1	0
ENSMUSG00000000976	ENSMUSG00000120523	lncgDivg	1.1.1	26	ENSG00000068097	ENSG00000267416	lncgDivg	n.1.1	387
ENSMUSG00000001014	ENSMUSG00000110790	lncgConv	1.1.1	0	ENSG00000105371	ENSG00000267607	lncgConv	1.1.1	0
ENSMUSG00000001036	ENSMUSG00000085459	lncgDivg	1.1.1	0	ENSG00000072134	ENSG00000235397	lncgDivg	1.1.1	0
ENSMUSG00000001039	ENSMUSG00000060808	lncgDivg	1.1.1	85	ENSG00000108641	ENSG00000286799	lncgDivg	1.1.1	0
ENSMUSG00000001134	ENSMUSG00000086877	lncgDivg	n.n.1	0	ENSG00000126756	ENSG00000267064	lncgDivg	n.n.1	0
ENSMUSG00000001138	ENSMUSG00000102845	lncgDivg	1.1.1	0	ENSG00000168763	ENSG00000289135	lncgDivg	1.1.1	167
ENSMUSG00000001175	ENSMUSG00000113362	lincConv	n.1.1	27940	ENSG00000198668	ENSG00000258678	lincConv	n.1.1	43795
ENSMUSG00000001175	ENSMUSG00000072884	lincSS.up	n.1.1	5895	ENSG00000198668	ENSG00000275198	lincSS.up	1.1.1	8529
ENSMUSG00000001247	ENSMUSG00000097750	lncgConv	n.1.1	0	ENSG00000105699	ENSG00000288942	lncgConv	1.1.1	0
ENSMUSG00000001247	ENSMUSG00000090357	lncgConv	1.1.1	0	ENSG00000105699	ENSG00000288942	lncgConv	1.1.1	0
ENSMUSG00000001248	ENSMUSG00000097149	lncgDivg	1.1.1	0	ENSG00000089351	ENSG00000269303	lncgDivg	1.1.1	0
ENSMUSG00000001248	ENSMUSG00000097149	lncgDivg	1.1.1	0	ENSG00000089351	ENSG00000271032	lncgDivg	1.1.1	0
ENSMUSG00000001248	ENSMUSG00000100985	lncgDivg	n.n.1	0	ENSG00000089351	ENSG00000269303	lncgDivg	1.1.1	0
ENSMUSG00000001248	ENSMUSG00000100985	lncgDivg	n.n.1	0	ENSG00000089351	ENSG00000271032	lncgDivg	1.1.1	0
ENSMUSG00000001419	ENSMUSG00000097428	lincSS.dw	n.1.1	28537	ENSG00000116604	ENSG00000125462	lincSS.dw	n.n.n	33026
ENSMUSG00000001419	ENSMUSG00000120112	lncgDivg	1.1.1	176	ENSG00000116604	ENSG00000288835	lncgDivg	1.1.1	2304
ENSMUSG00000001419	ENSMUSG00000120121	lncgDivg	1.1.1	2904	ENSG00000116604	ENSG00000288835	lncgDivg	1.1.1	2304
ENSMUSG00000001436	ENSMUSG00000112773	lncgDivg	1.1.1	2666	ENSG00000173638	ENSG00000288885	lncgDivg	1.1.1	0
ENSMUSG00000001440	ENSMUSG00000121247	lncgDivg	1.1.1	0	ENSG00000108424	ENSG00000264558	lncgDivg	1.1.1	0
ENSMUSG00000001440	ENSMUSG00000084936	lncgDivg	1.1.1	0	ENSG00000108424	ENSG00000264558	lncgDivg	1.1.1	0
ENSMUSG00000001496	ENSMUSG00000098172	lncgDivg	n.n.1	0	ENSG00000136352	ENSG00000253563	lncgDivg	1.1.1	0
ENSMUSG00000001497	ENSMUSG00000089894	lncgDivg	1.1.1	0	ENSG00000198807	ENSG00000258661	lncgDivg	1.1.1	0
ENSMUSG00000001504	ENSMUSG00000093587	lncgDivg	1.1.1	181	ENSG00000170561	ENSG00000186493	lncgDivg	n.1.1	454
ENSMUSG00000001504	ENSMUSG00000093587	lncgDivg	1.1.1	181	ENSG00000170561	ENSG00000289075	lncgDivg	1.1.1	4788
ENSMUSG00000001507	ENSMUSG00000120792	lncgDivg	1.1.1	146	ENSG00000005884	ENSG00000246640	lncgDivg	n.1.1	222
ENSMUSG00000001741	ENSMUSG00000085080	lncgDivg	1.1.1	0	ENSG00000172349	ENSG00000271725	lncgDivg	1.1.1	0
ENSMUSG00000001794	ENSMUSG00000097817	lncgDivg	n.1.1	0	ENSG00000126247	ENSG00000270760	lncgDivg	1.1.1	0
ENSMUSG00000001833	ENSMUSG00000120169	lncgDivg	1.1.1	0	ENSG00000122545	ENSG00000228878	lncgDivg	n.n.1	0
ENSMUSG00000001844	ENSMUSG00000089889	lncgDivg	n.n.1	0	ENSG00000136247	ENSG00000232581	lncgDivg	1.1.1	0
ENSMUSG00000001855	ENSMUSG00000086192	lncgDivg	1.1.1	0	ENSG00000126883	ENSG00000246851	lncgDivg	1.1.1	0
ENSMUSG00000001855	ENSMUSG00000086192	lncgDivg	1.1.1	0	ENSG00000126883	ENSG00000288727	lncgDivg	1.1.1	0
ENSMUSG00000001855	ENSMUSG00000086192	lncgDivg	1.1.1	0	ENSG00000126883	ENSG00000236986	lncgDivg	n.n.1	0
ENSMUSG00000001891	ENSMUSG00000087253	lncgDivg	1.1.1	0	ENSG00000169764	ENSG00000289943	lncgDivg	1.1.1	128
ENSMUSG00000001911	ENSMUSG00000074203	lncgDivg	1.1.1	0	ENSG00000008441	ENSG00000267417	lncgDivg	1.1.1	0
ENSMUSG00000001911	ENSMUSG00000074203	lncgDivg	1.1.1	0	ENSG00000008441	ENSG00000267610	lncgDivg	1.1.1	0
ENSMUSG00000002020	ENSMUSG00000120627	lncgDivg	n.1.1	0	ENSG00000119681	ENSG00000258425	lncgDivg	1.1.1	0
ENSMUSG00000002020	ENSMUSG00000092130	lncgDivg	n.1.1	0	ENSG00000119681	ENSG00000258425	lncgDivg	1.1.1	0
ENSMUSG00000002068	ENSMUSG00000108334	lincConv	1.1.1	21883	ENSG00000105173	ENSG00000286538	lincConv	1.1.1	14220
ENSMUSG00000002105	ENSMUSG00000120441	lncgDivg	1.1.1	0	ENSG00000165915	ENSG00000255197	lncgDivg	n.n.n	0
ENSMUSG00000002107	ENSMUSG00000087079	lncgDivg	1.1.1	0	ENSG00000048740	ENSG00000229240	lncgDivg	n.1.1	0
ENSMUSG00000002107	ENSMUSG00000087079	lncgDivg	1.1.1	0	ENSG00000048740	ENSG00000230322	lncgDivg	1.1.1	0
ENSMUSG00000002107	ENSMUSG00000087079	lncgDivg	1.1.1	0	ENSG00000048740	ENSG00000237986	lncgDivg	n.1.1	0
ENSMUSG00000002107	ENSMUSG00000087079	lncgDivg	1.1.1	0	ENSG00000048740	ENSG00000181800	lncgDivg	1.1.1	0
ENSMUSG00000002107	ENSMUSG00000087079	lncgDivg	1.1.1	0	ENSG00000048740	ENSG00000228027	lncgDivg	1.1.1	0
ENSMUSG00000002107	ENSMUSG00000087079	lncgDivg	1.1.1	0	ENSG00000048740	ENSG00000229206	lncgDivg	1.1.1	0
ENSMUSG00000002107	ENSMUSG00000087079	lncgDivg	1.1.1	0	ENSG00000048740	ENSG00000225383	lncgDivg	n.1.1	3350
ENSMUSG00000002109	ENSMUSG00000120340	lncgDivg	n.1.1	142	ENSG00000134574	ENSG00000256897	lncgDivg	1.1.1	0
ENSMUSG00000002221	ENSMUSG00000120915	lncgDivg	1.1.1	38	ENSG00000157212	ENSG00000273344	lncgDivg	1.1.1	297
ENSMUSG00000002221	ENSMUSG00000120915	lncgDivg	1.1.1	38	ENSG00000157212	ENSG00000273183	lncgDivg	1.1.1	0
ENSMUSG00000002221	ENSMUSG00000120915	lncgDivg	1.1.1	38	ENSG00000157212	ENSG00000272760	lncgDivg	1.1.1	0
ENSMUSG00000002416	ENSMUSG00000086582	lncgDivg	1.1.1	0	ENSG00000090266	ENSG00000240889	lncgDivg	1.1.1	0
ENSMUSG00000002459	ENSMUSG00000085623	lncgDivg	1.1.1	0	ENSG00000147509	ENSG00000272457	lncgDivg	1.1.1	0
ENSMUSG00000002475	ENSMUSG00000097387	lncgDivg	1.1.1	89	ENSG00000158201	ENSG00000265656	lncgDivg	1.1.1	0
ENSMUSG00000002489	ENSMUSG00000120080	lncgDivg	1.1.1	205	ENSG00000156299	ENSG00000237594	lncgDivg	1.1.1	0
ENSMUSG00000002489	ENSMUSG00000120080	lncgDivg	1.1.1	205	ENSG00000156299	ENSG00000286643	lncgDivg	1.1.1	0
ENSMUSG00000002578	ENSMUSG00000097372	lncgDivg	1.1.1	0	ENSG00000123411	ENSG00000273890	lncgDivg	1.1.1	0
ENSMUSG00000002668	ENSMUSG00000119983	lncgDivg	1.1.1	61	ENSG00000205744	ENSG00000275234	lncgDivg	1.1.1	0
ENSMUSG00000002844	ENSMUSG00000097576	lncgDivg	n.n.1	0	ENSG00000144843	ENSG00000272967	lncgDivg	1.1.1	0
ENSMUSG00000002846	ENSMUSG00000120288	lncgDivg	1.1.1	83	ENSG00000113845	ENSG00000272662	lncgDivg	1.1.1	366
ENSMUSG00000002871	ENSMUSG00000055403	lincSS.dw	n.1.1	38445	ENSG00000163870	ENSG00000239921	lincSS.dw	n.1.1	33415
ENSMUSG00000003031	ENSMUSG00000107730	lncgConv	1.1.1	3479	ENSG00000111276	ENSG00000256658	lncgConv	1.1.1	928
ENSMUSG00000003032	ENSMUSG00000120546	lncgDivg	1.1.1	270	ENSG00000136826	ENSG00000289987	lncgDivg	1.1.1	0
ENSMUSG00000003033	ENSMUSG00000120692	lincSS.dw	1.1.1	11226	ENSG00000072958	ENSG00000289333	lincSS.dw	1.1.1	37914
ENSMUSG00000003123	ENSMUSG00000053714	lncgConv	n.n.n	0	ENSG00000079435	ENSG00000213904	lncgConv	n.n.n	0
ENSMUSG00000003161	ENSMUSG00000086528	lncgDivg	1.1.1	0	ENSG00000075142	ENSG00000254003	lncgDivg	1.1.1	0
ENSMUSG00000003271	ENSMUSG00000109602	lncgDivg	1.1.1	0	ENSG00000088002	ENSG00000287603	lncgDivg	1.1.1	0
ENSMUSG00000003279	ENSMUSG00000097282	lncgDivg	1.1.1	0	ENSG00000170579	ENSG00000261520	lncgDivg	n.1.1	0
ENSMUSG00000003279	ENSMUSG00000097282	lncgDivg	1.1.1	0	ENSG00000170579	ENSG00000262001	lncgDivg	n.1.1	0
ENSMUSG00000003279	ENSMUSG00000097282	lncgDivg	1.1.1	0	ENSG00000170579	ENSG00000266401	lncgDivg	n.1.1	0
ENSMUSG00000003279	ENSMUSG00000097282	lncgDivg	1.1.1	0	ENSG00000170579	ENSG00000177337	lncgDivg	n.1.1	0
ENSMUSG00000003279	ENSMUSG00000097282	lncgDivg	1.1.1	0	ENSG00000170579	ENSG00000263724	lncgDivg	n.n.1	0
ENSMUSG00000003279	ENSMUSG00000097282	lncgDivg	1.1.1	0	ENSG00000170579	ENSG00000263878	lncgDivg	n.n.1	0
ENSMUSG00000003279	ENSMUSG00000117231	lncgDivg	n.n.1	0	ENSG00000170579	ENSG00000261520	lncgDivg	n.1.1	0
ENSMUSG00000003279	ENSMUSG00000117231	lncgDivg	n.n.1	0	ENSG00000170579	ENSG00000262001	lncgDivg	n.1.1	0
ENSMUSG00000003279	ENSMUSG00000117231	lncgDivg	n.n.1	0	ENSG00000170579	ENSG00000266401	lncgDivg	n.1.1	0
ENSMUSG00000003279	ENSMUSG00000117231	lncgDivg	n.n.1	0	ENSG00000170579	ENSG00000177337	lncgDivg	n.1.1	0
ENSMUSG00000003279	ENSMUSG00000117231	lncgDivg	n.n.1	0	ENSG00000170579	ENSG00000263724	lncgDivg	n.n.1	0
ENSMUSG00000003279	ENSMUSG00000117231	lncgDivg	n.n.1	0	ENSG00000170579	ENSG00000263878	lncgDivg	n.n.1	0
ENSMUSG00000003418	ENSMUSG00000104354	lncgDivg	1.1.1	0	ENSG00000148488	ENSG00000204832	lncgDivg	n.1.1	0
ENSMUSG00000003452	ENSMUSG00000096299	lncgSS.dw	n.1.1	2720	ENSG00000151746	ENSG00000276115	lncgSS.dw	1.1.1	0
ENSMUSG00000003452	ENSMUSG00000096299	lncgSS.dw	n.1.1	2720	ENSG00000151746	ENSG00000274964	lncgSS.dw	1.1.1	0
ENSMUSG00000003452	ENSMUSG00000096299	lncgSS.dw	n.1.1	2720	ENSG00000151746	ENSG00000277342	lncgSS.dw	1.1.1	0
ENSMUSG00000003528	ENSMUSG00000120128	lncgSS.dw	1.1.1	3303	ENSG00000100075	ENSG00000289481	lncgSS.dw	1.1.1	3967
ENSMUSG00000003534	ENSMUSG00000086867	lncgDivg	1.1.1	0	ENSG00000204580	ENSG00000237775	lncgDivg	1.1.1	503
ENSMUSG00000003534	ENSMUSG00000120061	lncgDivg	1.1.1	286	ENSG00000204580	ENSG00000237775	lncgDivg	1.1.1	503
ENSMUSG00000003644	ENSMUSG00000084789	lincConv	1.1.1	29676	ENSG00000117676	ENSG00000289452	lincConv	1.1.1	45677
ENSMUSG00000003680	ENSMUSG00000120814	lncgDivg	1.1.1	0	ENSG00000162227	ENSG00000269176	lncgDivg	1.1.1	0
ENSMUSG00000003680	ENSMUSG00000120814	lncgDivg	1.1.1	0	ENSG00000162227	ENSG00000267811	lncgDivg	1.1.1	0
ENSMUSG00000003721	ENSMUSG00000101700	lincConv	1.1.1	76827	ENSG00000125629	ENSG00000226856	lincConv	n.1.1	21131
ENSMUSG00000003746	ENSMUSG00000097069	lncgDivg	1.1.1	0	ENSG00000111885	ENSG00000287100	lncgDivg	n.1.1	125
ENSMUSG00000003746	ENSMUSG00000112824	lncgDivg	1.1.1	0	ENSG00000111885	ENSG00000287100	lncgDivg	n.1.1	125
ENSMUSG00000003814	ENSMUSG00000087685	lncgDivg	n.1.1	254	ENSG00000179218	ENSG00000267458	lncgDivg	1.1.1	0
ENSMUSG00000003992	ENSMUSG00000099340	lincDivg	1.1.1	85989	ENSG00000145687	ENSG00000249483	lincDivg	1.1.1	99804
ENSMUSG00000003992	ENSMUSG00000099340	lincDivg	1.1.1	85989	ENSG00000145687	ENSG00000287938	lincDivg	1.1.1	65734
ENSMUSG00000003992	ENSMUSG00000097182	lincDivg	n.1.1	72154	ENSG00000145687	ENSG00000249483	lincDivg	1.1.1	99804
ENSMUSG00000003992	ENSMUSG00000097182	lincDivg	n.1.1	72154	ENSG00000145687	ENSG00000287938	lincDivg	1.1.1	65734
ENSMUSG00000004018	ENSMUSG00000120289	lncgDivg	1.1.1	0	ENSG00000115392	ENSG00000273063	lncgDivg	1.1.1	0
ENSMUSG00000004113	ENSMUSG00000085330	lincSS.dw	1.1.1	37190	ENSG00000148408	ENSG00000290588	lincSS.dw	n.1.1	25451
ENSMUSG00000004113	ENSMUSG00000085330	lincSS.dw	1.1.1	37190	ENSG00000148408	ENSG00000290585	lincSS.dw	n.1.1	92444
ENSMUSG00000004264	ENSMUSG00000087327	lncgConv	1.1.1	0	ENSG00000215021	ENSG00000257084	lncgConv	1.1.1	880
ENSMUSG00000004264	ENSMUSG00000087327	lncgConv	1.1.1	0	ENSG00000215021	ENSG00000271969	lncgConv	1.1.1	0
ENSMUSG00000004591	ENSMUSG00000106550	lncgDivg	1.1.1	0	ENSG00000065243	ENSG00000237505	lncgDivg	n.1.1	0
ENSMUSG00000004591	ENSMUSG00000097858	lncgDivg	1.1.1	491	ENSG00000065243	ENSG00000237505	lncgDivg	n.1.1	0
ENSMUSG00000004633	ENSMUSG00000073067	lncgConv	n.n.n	0	ENSG00000106069	ENSG00000223813	lncgConv	n.n.n	0
ENSMUSG00000004633	ENSMUSG00000087670	lncgDivg	1.1.1	0	ENSG00000106069	ENSG00000235669	lncgDivg	1.1.1	0
ENSMUSG00000004633	ENSMUSG00000121002	lncgDivg	1.1.1	0	ENSG00000106069	ENSG00000235669	lncgDivg	1.1.1	0
ENSMUSG00000004633	ENSMUSG00000086946	lncgDivg	n.n.1	0	ENSG00000106069	ENSG00000235669	lncgDivg	1.1.1	0
ENSMUSG00000004637	ENSMUSG00000089797	lncgDivg	1.1.1	0	ENSG00000186153	ENSG00000260969	lncgDivg	n.1.1	0
ENSMUSG00000004637	ENSMUSG00000089797	lncgDivg	1.1.1	0	ENSG00000186153	ENSG00000287106	lncgDivg	1.1.1	0
ENSMUSG00000004637	ENSMUSG00000089797	lncgDivg	1.1.1	0	ENSG00000186153	ENSG00000285918	lncgDivg	1.1.1	0
ENSMUSG00000004637	ENSMUSG00000089797	lncgDivg	1.1.1	0	ENSG00000186153	ENSG00000277954	lncgDivg	1.1.1	0
ENSMUSG00000004637	ENSMUSG00000089797	lncgDivg	1.1.1	0	ENSG00000186153	ENSG00000260733	lncgDivg	1.1.1	0
ENSMUSG00000004637	ENSMUSG00000089797	lncgDivg	1.1.1	0	ENSG00000186153	ENSG00000260694	lncgDivg	1.1.1	0
ENSMUSG00000004637	ENSMUSG00000089797	lncgDivg	1.1.1	0	ENSG00000186153	ENSG00000286894	lncgDivg	1.1.1	0
ENSMUSG00000004637	ENSMUSG00000090217	lncgDivg	1.1.1	0	ENSG00000186153	ENSG00000260969	lncgDivg	n.1.1	0
ENSMUSG00000004637	ENSMUSG00000090217	lncgDivg	1.1.1	0	ENSG00000186153	ENSG00000287106	lncgDivg	1.1.1	0
ENSMUSG00000004637	ENSMUSG00000090217	lncgDivg	1.1.1	0	ENSG00000186153	ENSG00000285918	lncgDivg	1.1.1	0
ENSMUSG00000004637	ENSMUSG00000090217	lncgDivg	1.1.1	0	ENSG00000186153	ENSG00000277954	lncgDivg	1.1.1	0
ENSMUSG00000004637	ENSMUSG00000090217	lncgDivg	1.1.1	0	ENSG00000186153	ENSG00000260733	lncgDivg	1.1.1	0
ENSMUSG00000004637	ENSMUSG00000090217	lncgDivg	1.1.1	0	ENSG00000186153	ENSG00000260694	lncgDivg	1.1.1	0
ENSMUSG00000004637	ENSMUSG00000090217	lncgDivg	1.1.1	0	ENSG00000186153	ENSG00000286894	lncgDivg	1.1.1	0
ENSMUSG00000004637	ENSMUSG00000089723	lncgDivg	1.1.1	0	ENSG00000186153	ENSG00000260969	lncgDivg	n.1.1	0
ENSMUSG00000004637	ENSMUSG00000089723	lncgDivg	1.1.1	0	ENSG00000186153	ENSG00000287106	lncgDivg	1.1.1	0
ENSMUSG00000004637	ENSMUSG00000089723	lncgDivg	1.1.1	0	ENSG00000186153	ENSG00000285918	lncgDivg	1.1.1	0
ENSMUSG00000004637	ENSMUSG00000089723	lncgDivg	1.1.1	0	ENSG00000186153	ENSG00000277954	lncgDivg	1.1.1	0
ENSMUSG00000004637	ENSMUSG00000089723	lncgDivg	1.1.1	0	ENSG00000186153	ENSG00000260733	lncgDivg	1.1.1	0
ENSMUSG00000004637	ENSMUSG00000089723	lncgDivg	1.1.1	0	ENSG00000186153	ENSG00000260694	lncgDivg	1.1.1	0
ENSMUSG00000004637	ENSMUSG00000089723	lncgDivg	1.1.1	0	ENSG00000186153	ENSG00000286894	lncgDivg	1.1.1	0
ENSMUSG00000004872	ENSMUSG00000120041	lncgDivg	n.1.1	4063	ENSG00000135903	ENSG00000163081	lncgDivg	n.n.1	0
ENSMUSG00000004880	ENSMUSG00000056699	lincSS.up	1.1.1	8528	ENSG00000143815	ENSG00000234476	lincSS.up	n.n.n	18308
ENSMUSG00000004939	ENSMUSG00000085779	lncgConv	n.1.n	0	ENSG00000077009	ENSG00000289254	lncgConv	1.1.1	0
ENSMUSG00000005087	ENSMUSG00000121264	lncgDivg	1.1.1	0	ENSG00000026508	ENSG00000255521	lncgDivg	n.n.1	0
ENSMUSG00000005087	ENSMUSG00000121264	lncgDivg	1.1.1	0	ENSG00000026508	ENSG00000255443	lncgDivg	1.1.1	0
ENSMUSG00000005089	ENSMUSG00000087185	lncgDivg	n.n.1	0	ENSG00000110436	ENSG00000255004	lncgDivg	1.1.1	0
ENSMUSG00000005089	ENSMUSG00000087185	lncgDivg	n.n.1	0	ENSG00000110436	ENSG00000255542	lncgDivg	1.1.1	0
ENSMUSG00000005103	ENSMUSG00000121120	lncgDivg	1.1.1	0	ENSG00000071127	ENSG00000289865	lncgDivg	1.1.1	117
ENSMUSG00000005220	ENSMUSG00000093771	lncgSS.up	1.1.1	0	ENSG00000145244	ENSG00000259959	lncgSS.up	1.1.1	2016
ENSMUSG00000005312	ENSMUSG00000119985	lncgDivg	1.1.1	13	ENSG00000135018	ENSG00000254473	lncgDivg	n.n.1	0
ENSMUSG00000005417	ENSMUSG00000086330	lncgDivg	n.n.1	0	ENSG00000133030	ENSG00000225442	lncgDivg	1.1.1	0
ENSMUSG00000005417	ENSMUSG00000086330	lncgDivg	n.n.1	0	ENSG00000133030	ENSG00000287910	lncgDivg	1.1.1	152
ENSMUSG00000005417	ENSMUSG00000086330	lncgDivg	n.n.1	0	ENSG00000133030	ENSG00000263624	lncgDivg	1.1.1	0
ENSMUSG00000005417	ENSMUSG00000086536	lncgDivg	1.1.1	0	ENSG00000133030	ENSG00000225442	lncgDivg	1.1.1	0
ENSMUSG00000005417	ENSMUSG00000086536	lncgDivg	1.1.1	0	ENSG00000133030	ENSG00000287910	lncgDivg	1.1.1	152
ENSMUSG00000005417	ENSMUSG00000086536	lncgDivg	1.1.1	0	ENSG00000133030	ENSG00000263624	lncgDivg	1.1.1	0
ENSMUSG00000005503	ENSMUSG00000086126	lncgDivg	n.1.1	0	ENSG00000106038	ENSG00000253308	lncgDivg	1.1.1	1472
ENSMUSG00000005503	ENSMUSG00000086126	lncgDivg	n.1.1	0	ENSG00000106038	ENSG00000253405	lncgDivg	n.1.1	0
ENSMUSG00000005583	ENSMUSG00000097265	lincConv	n.n.1	0	ENSG00000081189	ENSG00000250555	lincConv	1.1.1	24258
ENSMUSG00000005583	ENSMUSG00000097265	lincConv	n.n.1	0	ENSG00000081189	ENSG00000245864	lincConv	n.n.1	0
ENSMUSG00000005583	ENSMUSG00000097265	lincConv	n.n.1	0	ENSG00000081189	ENSG00000289008	lincConv	1.1.1	30958
ENSMUSG00000005583	ENSMUSG00000050334	lincSS.dw	n.1.1	48182	ENSG00000081189	ENSG00000250377	lincSS.dw	n.1.1	22076
ENSMUSG00000005583	ENSMUSG00000050334	lincSS.dw	n.1.1	48182	ENSG00000081189	ENSG00000245526	lincSS.dw	n.1.1	26060
ENSMUSG00000005615	ENSMUSG00000116714	lncgDivg	1.1.1	0	ENSG00000161217	ENSG00000228028	lncgDivg	n.1.1	0
ENSMUSG00000005672	ENSMUSG00000106726	lincConv	1.1.1	96834	ENSG00000157404	ENSG00000249727	lincConv	n.1.1	95258
ENSMUSG00000005698	ENSMUSG00000098120	lncgDivg	n.1.1	0	ENSG00000102974	ENSG00000261386	lncgDivg	n.n.n	0
ENSMUSG00000005698	ENSMUSG00000098120	lncgDivg	n.1.1	0	ENSG00000102974	ENSG00000237718	lncgDivg	1.1.1	0
ENSMUSG00000005698	ENSMUSG00000098120	lncgDivg	n.1.1	0	ENSG00000102974	ENSG00000259804	lncgDivg	1.1.1	158
ENSMUSG00000005705	ENSMUSG00000104168	lncgConv	n.n.1	0	ENSG00000159723	ENSG00000270049	lncgConv	n.n.n	0
